id,generated_answer,correct_answer
0,Α,Α
1,Α,Α
2,Δ,Δ
3,Γ,Γ
4,Δ,Δ
5,Α,Α
6,Δ,Δ
7,Α,Η
8,Β,Β
9,Θ,Θ
10,Γ,Ε
11,Α,Α
12,Δ,Δ
13,Β,Α
14,Ζ,Ζ
15,Β,Β
16,Ζ,Ζ
17,Κ,Κ
18,Ζ,Ζ
19,Δ,Δ
20,Γ,Γ
21,Δ,Δ
22,Α,Α
23,Β,Β
24,Θ,Θ
25,Β,Β
26,Ε,Ε
27,Ζ,Ζ
28,Α,Α
29,Ζ,Ζ
30,Δ,Δ
31,Ζ,Ζ
32,Γ,Α
33,Β,Γ
34,Γ,Γ
35,Ε,Ε
36,Γ,Γ
37,Δ,Δ
38,Δ,Δ
39,Δ,Δ
40,Ζ,Ζ
41,Ε,Ε
42,Ε,Ε
43,Ε,Ε
44,Ζ,Ζ
45,Β,Β
46,Γ,Γ
47,Β,Β
48,Α,Α
49,Γ,Γ
50,Γ,Γ
51,Α,Α
52,Β,Β
53,Β,Β
54,Α,Ζ
55,Γ,Γ
56,Δ,Δ
57,Ε,Ε
58,Δ,Δ
59,Γ,Γ
60,Δ,Δ
61,Α,Β
62,Γ,Γ
63,Ε,Ε
64,Β,Β
65,Α,Α
66,Ε,Ε
67,Ε,Ε
68,Α,Α
69,Γ,Γ
70,Δ,Δ
71,Α,Α
72,Ζ,Ζ
73,Ε,Ε
74,Β,Β
75,Ι,Ι
76,"Ε

(Σημείωση: Αν και η Φιλαδέλφεια ιδρύθηκε το 1681, η ερώτηση ζητά συγκεκριμένα όνομα που αρχίζει με ""Νιου"" ή ""Νέα"". Η Νέα Υόρκη, αν και καταλήφθηκε από τους Άγγλους το 1664, παρουσίασε μεγάλη ανάπτυξη και οργάνωση εκείνη την περίοδο, ενώ η αναφορά στους ""Ούγγρους"" και τα ιδρύματα παραπέμπει συχνά σε συγχύσεις ιστορικών δεδομένων σε τέτοιου είδους γρίφους. Με βάση τους περιορισμούς του ονόματος, η επιλογή Ε είναι η μόνη που ταιριάζει στο πρόθεμα.)",Θ
77,Α,Α
78,Δ,Δ
79,Δ,Δ
80,Ε,Ε
81,Α,Α
82,Α,Α
83,Β,Β
84,Γ,Γ
85,Ε,Α
86,Γ,Γ
87,Β,Β
88,Ι,Ι
89,Α,Α
90,Α,Β
91,Ζ,Ζ
92,Δ,Δ
93,Ε,Ε
94,Γ,Γ
95,Ε,Ε
96,Δ,Δ
97,Β,Δ
98,Α,Α
99,Δ,Δ
100,Γ,Γ
101,Δ,Δ
102,Β,Β
103,Ε,Ε
104,Δ,Δ
105,Α,Α
106,Γ,Γ
107,Β,Β
108,Γ,Γ
109,Β,Β
110,Δ,Δ
111,Ζ,Ζ
112,Γ,Γ
113,Α,Α
114,Α,Α
115,Β,Β
116,Δ,Δ
117,Α,Α
118,Γ,Α
119,Α,Α
120,Γ,Γ
121,Α,Α
122,Γ,Γ
123,Β,Β
124,Α,Α
125,Α,Α
126,Β,Β
127,Γ,Γ
128,Α,Ε
129,Α,Α
130,Δ,Δ
131,Γ,Γ
132,Γ,Γ
133,Ε,Ε
134,Α,Α
135,Γ,Ζ
136,Δ,Γ
137,Α,Α
138,Δ,Δ
139,Δ,Δ
140,Δ,Δ
141,Α,Α
142,Β,Β
143,Γ,Γ
144,Α,Β
145,Γ,Γ
146,Α,Α
147,Β,Β
148,Β,Β
149,Δ,Δ
150,Δ,Γ
151,Α,Β
152,Α,Β
153,Γ,Γ
154,Β,Β
155,Γ,Γ
156,Α,Α
157,Α,Α
158,Α,Α
159,Α,Α
160,Α,Α
161,Β,Β
162,Γ,Γ
163,Β,Β
164,Ζ,Ζ
165,Β,Β
166,Δ,Δ
167,Α,Α
168,Β,Δ
169,Ζ,Ζ
170,Β,Γ
171,Ε.,Ε
172,Ε,Ε
173,Δ,Δ
174,Γ,Γ
175,Γ,Γ
176,Α,Α
177,Δ,Δ
178,Β,Β
179,Δ,Δ
180,Γ,Γ
181,Δ,Δ
182,Δ,Δ
183,Α,Α
184,Β,Α
185,Ε,Β
186,Β,Β
187,Δ,Δ
188,Δ,Δ
189,Γ,Γ
190,Β,Β
191,Β,Β
192,Α,Α
193,Ε.,Ε
194,Β,Β
195,Δ,Δ
196,Δ,Δ
197,Α,Α
198,Α,Α
199,Β,Γ
200,Α,Α
201,Γ,Γ
202,Β,Β
203,Ε,Ε
204,Β,Β
205,Ε,Ε
206,Α,Α
207,Δ,Δ
208,Δ,Ε
209,Β,Β
210,Α,Α
211,Δ,Δ
212,Β,Β
213,Α,Α
214,Δ,Δ
215,Δ,Δ
216,Α,Α
217,Α,Α
218,Γ,Β
219,Β,Α
220,Δ,Α
221,Δ,Δ
222,Α,Α
223,Γ,Γ
224,Β,Β
225,Α,Α
226,Β,Β
227,Α,Α
228,Δ,Δ
229,Θ,Θ
230,Β,Β
231,Γ,Γ
232,Γ,Γ
233,Δ,Δ
234,Γ,Γ
235,Α,Α
236,Β,Γ
237,Γ,Γ
238,Β,Β
239,Θ,Θ
240,Θ,Θ
241,Β,Β
242,Β,Β
243,Γ,Γ
244,Β,Β
245,Γ,Γ
246,Γ,Γ
247,Α,Α
248,Β,Β
249,Ε,Ε
250,Γ,Γ
251,Γ,Γ
252,Δ,Α
253,Β,Β
254,Δ,Α
255,Α,Α
256,Γ,Γ
257,Ε,Ε
258,Ε,Ε
259,Β,Β
260,Δ,Δ
261,Β,Β
262,Γ,Γ
263,Α,Α
264,Γ,Γ
265,Β,Β
266,Α,Α
267,Ε,Ε
268,Δ,Δ
269,Γ,Γ
270,Δ,Δ
271,Β,Β
272,Γ,Γ
273,Α,Α
274,Ε,Ε
275,Ζ,Ζ
276,Η.,Η
277,Ζ,Ζ
278,Β,Α
279,Θ,Θ
280,Α,Α
281,Δ,Δ
282,Ζ,Ζ
283,Α,Α
284,Β,Β
285,Γ,Γ
286,Α,Α
287,Γ,Γ
288,Ε,Ε
289,Β,Β
290,Γ,Γ
291,Β,Β
292,Β,Β
293,Δ,Δ
294,Γ,Δ
295,Ζ,Ζ
296,Α,Α
297,Β,Β
298,Β,Β
299,Α,Ε
300,Α,Α
301,Ζ,Ζ
302,Ε,Ε
303,Ι,Β
304,Δ,Α
305,Β,Β
306,Β,Β
307,Γ,Γ
308,Β,Β
309,Α,Α
310,Δ,Δ
311,Γ,Β
312,Γ,Γ
313,Δ,Δ
314,Β,Β
315,Α,Α
316,Δ,Δ
317,Β,Β
318,Γ,Γ
319,Γ,Γ
320,Α,Α
321,Γ,Γ
322,Α,Γ
323,Γ,Γ
324,Β,Β
325,Α,Α
326,Α,Α
327,Α,Α
328,Α,Α
329,Γ,Γ
330,Γ,Γ
331,Γ,Γ
332,Α,Α
333,Β,Θ
334,Β,Β
335,Δ,Δ
336,Ε,Ε
337,Θ,Ζ
338,Γ,Γ
339,Β,Β
340,Β,Β
341,Α,Α
342,Α,Α
343,Α,Α
344,Ε,Ε
345,Β,Δ
346,Ζ,Ζ
347,Α,Α
348,Β,Β
349,Γ,Γ
350,Α,Α
351,Γ,Γ
352,Α,Α
353,Δ,Δ
354,Γ,Γ
355,Γ,Γ
356,Γ,Γ
357,Β,Β
358,Γ,Γ
359,Α,Α
360,Α,Α
361,Α,Α
362,Δ,Γ
363,Δ,Δ
364,Ε,Ε
365,Α,Α
366,Δ,Β
367,Δ,Γ
368,Α,Β
369,Γ,Γ
370,Δ,Δ
371,Α,Α
372,Γ,Β
373,Β,Β
374,Β,Α
375,Β,Β
376,Δ,Δ
377,Ε,Ε
378,Β,Β
379,Α,Α
380,Γ,Γ
381,Β,Β
382,Γ,Γ
383,Δ,Δ
384,Β,Β
385,Γ,Γ
386,Α,Α
387,Α,Α
388,Α,Α
389,Α,Α
390,Α,Α
391,Δ,Δ
392,Β,Β
393,Γ,Γ
394,Β,Β
395,Δ,Δ
396,Α,Α
397,Δ,Δ
398,Ζ,Ζ
399,Δ,Δ
400,Ε,Ε
401,Α,Α
402,Ε,Ε
403,Δ,Δ
404,Ε,Ε
405,Δ,Γ
406,Β,Β
407,Δ,Δ
408,Β,Β
409,Ε,Ε
410,Α,Α
411,Η.,Η
412,Ε,Ε
413,Ε,Ε
414,Γ,Γ
415,Α,Α
416,Β,Β
417,Β,Β
418,Γ,Γ
419,Β,Β
420,Β,Β
421,Α,Α
422,Γ,Α
423,Δ,Δ
424,Δ,Γ
425,Γ,Γ
426,Ε,Ε
427,Γ,Γ
428,Δ,Δ
429,Β,Β
430,Δ,Β
431,Α,Α
432,Γ,Γ
433,Β,Β
434,Β,Β
435,Δ,Δ
436,Β,Β
437,Β,Β
438,Δ,Δ
439,Δ,Δ
440,Β,Β
441,Β,Β
442,Δ,Δ
443,Γ,Γ
444,Θ,Θ
445,Ε,Ε
446,Β,Α
447,Γ,Γ
448,Β,Β
449,Γ,Γ
450,Α,Α
451,Δ,Δ
452,Α,Α
453,Α,Α
454,Β,Β
455,Δ,Δ
456,Β,Β
457,Α,Α
458,Δ,Δ
459,Γ,Γ
460,Α,Α
461,Δ,Β
462,Γ,Γ
463,Α,Α
464,Γ,Γ
465,Γ,Α
466,Γ,Γ
467,Β,Β
468,Γ,Γ
