id,generated_answer,correct_answer
1Γ-2025-20250527-1-1,"Η σωστή απάντηση είναι η **Α: ""Από τους/τις Έλληνες/ίδες πολίτες""**

Αιτιολόγηση: 

Η ελευθερία έκφρασης γνώμης αποτελεί θεμελιώδες δικαίωμα που προστατεύεται από το Σύνταγμα και τις δημοκρατικές αρχές μιας χώρας. Στην Ελλάδα, αυτό το δικαίωμα ασκείται πρωτίστως από τους πολίτες που έχουν πλήρη πολιτικά δικαιώματα. 

Αν και οι ομογενείς (Γ) και οι κάτοχοι της Ευρωπαϊκής ιθαγένειας (Δ) έχουν επίσης σημαντικά δικαιώματα, η βασική εγγύηση και άσκηση του δικαιώματος της ελευθερίας έκφρασης συνδέεται πρωτίστως με την ιδιότητα του πολίτη ενός κράτους.",Β
1Γ-2025-20250527-1-2,"Β. ""Δεν επιτρέπονται σε καμία περίπτωση""

Η απάντηση αυτή αντικατοπτρίζει τον Παγκόσμιο Χάρτη του ΟΗΕ για τα Δικαιώματα του Ανθρώπου και συγκεκριμένα το άρθρο 5, το οποίο απαγορεύει ρητά τα βασανιστήρια υπό οποιεσδήποτε συνθήκες.",Β
1Γ-2025-20250527-1-3,"Η σωστή απάντηση είναι η **Δ. ""Είναι ειδική μορφή της οικονομικής ελευθερίας""**.

Το δικαίωμα επιλογής επαγγέλματος αποτελεί θεμελιώδη πτυχή της οικονομικής ελευθερίας, καθώς επιτρέπει στους πολίτες να επιλέγουν το επάγγελμα που επιθυμούν να ασκήσουν, να συμμετέχουν στην οικονομική ζωή και να επιδιώκουν την επαγγελματική τους ανάπτυξη. 

Αν και συνδέεται με την ευρύτερη κοινωνική ζωή, η φύση του ως δικαίωμα πηγάζει κυρίως από την οικονομική του διάσταση και την ελευθερία επιλογής που αυτή συνεπάγεται.",Δ
1Γ-2025-20250527-1-4,"Η σωστή απάντηση είναι η **Β: ""Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς""**

Αιτιολόγηση: Το άρθρο 5 παρ. 1 του Συντάγματος προστατεύει την ελευθερία ανάπτυξης της προσωπικότητας και εφαρμόζεται σε όλους/ες τους ανθρώπους που βρίσκονται στην Ελληνική επικράτεια, ανεξαρτήτως ιθαγένειας. 

- Οι Έλληνες πολίτες, ως μέρος του σώματος του έθνους,
- Οι Ευρωπαίοι πολίτες λόγω των δικαιωμάτων που απορρέουν από την ευρωπαϊκή ιθαγένεια και τη λειτουργία της ΕΕ
- Οι αλλοδαποί και οι ανιθαγενείς προστατεύονται από το διεθνές δίκαιο και την ελληνική συνταγματική αρχή της ισότητας και των ανθρωπίνων δικαιωμάτων.",Β
1Γ-2025-20250527-1-5,"Η σωστή απάντηση είναι η **Α: ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως και εργασίας""**

Αιτιολόγηση:
Η κατοικία κατά το άρθρο 9 του Συντάγματος προστατεύει τον ιδιωτικό, οικογενειακό και επαγγελματικό βίο του ατόμου. Επομένως, περιλαμβάνει τόσο τον χώρο διαμονής (διαβίωσης) όσο και τον χώρο άσκησης επαγγελματικής δραστηριότητας. Η επιλογή Α καλύπτει και τις δύο αυτές βασικές πτυχές της έννοιας της κατοικίας.

Η επιλογή Β και Γ είναι ελλιπείς καθώς αναφέρονται μόνο σε μία από τις δύο βασικές λειτουργίες της κατοικίας. Η επιλογή Δ, αν και περιλαμβάνει την έννοια της προσωρινής διαμονής, δεν καλύπτει απαραίτητα τον χαρακτήρα της ως χώρου μόνιμης κατοικίας και επαγγελματικής βάσης.",Δ
1Γ-2025-20250527-1-6,"Η σωστή απάντηση είναι η Γ: ""Δεν αναγνωρίζεται στο ελληνικό δίκαιο""

Η ευθανασία δεν αποτελεί αναγνωρισμένο δικαίωμα σύμφωνα με το ελληνικό νομικό πλαίσιο. Παρόλο που σε άλλες χώρες ή σε συνταγματικά κείμενα άλλων χωρών μπορεί να υπάρχει διαφορετική αντιμετώπιση και να αναγνωρίζεται ως δικαίωμα, στην ελληνική νομοθεσία δεν είναι κατοχυρωμένη ούτε ως ατομικό ούτε ως κοινωνικό δικαίωμα.",Γ
1Γ-2025-20250527-1-7,"Η σωστή απάντηση είναι η Β: ""Αντικειμενική συνταγματική αρχή""

Η αξία του ανθρώπου αναγνωρίζεται ως θεμελιώδης αρχή από το Σύνταγμα και αποτελεί βάση για όλα τα δικαιώματα. Είναι αντικειμενική, καθώς δεν εξαρτάται από προσωπικές πεποιθήσεις, και συνταγματική, καθώς κατοχυρώνεται στο άρθρο 2 παρ. 1 του ελληνικού Συντάγματος. Δεν μπορεί να χαρακτηριστεί απλά ως δικαίωμα, αλλά ως η θεμελιώδης αρχή επί της οποίας στηρίζονται όλα τα δικαιώματα των ανθρώπων.",Β
1Γ-2025-20250527-1-8,"Η σωστή απάντηση είναι η **Β. ""Πολιτικό δικαίωμα""**.

Το δικαίωμα στο εκλέγειν και το εκλέγεσθαι αποτελεί θεμελιώδες πολιτικό δικαίωμα, καθώς αφορά τη συμμετοχή των πολιτών στη διακυβέρνηση και στη λήψη αποφάσεων για τα κοινά, που είναι χαρακτηριστικό στοιχείο των πολιτικών δικαιωμάτων.",Β
1Γ-2025-20250527-1-9,"Η σωστή απάντηση είναι η Β: ""Δεν εξαρτάται από τα χρηστά ήθη""

Αιτιολόγηση:
- Η ελεύθερη ανάπτυξη της προσωπικότητας είναι θεμελιώδες δικαίωμα που προστατεύεται από το Σύνταγμα
- Δεν μπορεί να περιορίζεται από αυθαίρετα κριτήρια όπως τα ""χρηστά ήθη""
- Τα χρηστά ήθη δεν μπορούν να αποτελέσουν κριτήριο περιορισμού ατομικών δικαιωμάτων

Οι υπόλοιπες προτάσεις, αν και περιέχουν στοιχεία αλήθειας, δεν αποτελούν την πλήρη και ακριβή διατύπωση του περιεχομένου του δικαιώματος:
- Η σεξουαλική ελευθερία είναι ένα μέρος της προσωπικής ανάπτυξης
- Το δικαίωμα είναι ατομικό και όχι αποκλειστικά συλλογικό
- Το δικαίωμα δεν είναι απόλυτο, υπόκειται σε περιορισμούς που προβλέπονται από το Σύνταγμα και τους νόμους (π.χ. δημόσιο συμφέρον, δικαιώματα των άλλων)",Α
1Γ-2025-20250527-1-10,"Η σωστή απάντηση είναι το **Α: ""Κατάλυσης του Συντάγματος""**.

Το άρθρο 120 του Συντάγματος αναφέρεται στο δικαίωμα αντίστασης και το συνδέει κυρίως με την περίπτωση κατάλυσης του Συντάγματος. 

Αν και οι άλλες περιπτώσεις (αναθεώρησης, αντισυνταγματικότητας νόμου, περιορισμού δικαιωμάτων) αφορούν συνταγματικά ζητήματα, δεν αποτελούν περιπτώσεις άσκησης του δικαιώματος αντίστασης όπως αυτό ορίζεται συνταγματικά.",Α
