id,question,answers,best_answer,best_answer_index
16,Ο πνευμονικός σύνδεσμος,"Α. ""συνδέει μεταξύ τους δύο πνεύμονες""

Β. ""συνδέει το κάτω χείλος των πνευμόνων με το διάφραγμα""

Γ. ""συνδέει την εξωτερική επιφάνέια των πνευμόνων με το θωρακικό τοίχωμα""

Δ. ""αποτελεί ανάκαμψη των δύο πετάλων του υπεζωκότα, από τις πύλες και κάτω""

Ε. ""τίποτε από τα ανωτέρω""","αποτελεί ανάκαμψη των δύο πετάλων του υπεζωκότα, από τις πύλες και κάτω",Δ
28,Η 1η μεσοπλεύρια αρτηρία πορεύεται:,"Α. ""στο 1ο μεσοπλεύριο διάστημα""

Β. ""στο 2ο μεσοπλεύριο διάστημα""

Γ. ""στο 3ο μεσοπλεύριο διάστημα""

Δ. ""στο διάστημα μεταξύ κλείδας και 1ης πλευράς""

Ε. ""όλα τα παραπάνω είναι λάθος""",στο 3ο μεσοπλεύριο διάστημα,Γ
30,Οι παρακάτω αρτηρίες ανήκουν στους κλάδους της έσω λαγόνιας αρτηρίας εκτός από την :,"Α. ""λαγονοοσφυική αρτηρία""

Β. ""κάτω επιγάστρια αρτηρία""

Γ. ""θυροειδή αρτηρία""

Δ. ""πλάγια ιερή αρτηρία""

Ε. ""άνω γλουτιαία αρτηρία""",κάτω επιγάστρια αρτηρία,Β
37,Η κεφαλή της μεδούσης αποτελεί διόγκωση των:,"Α. ""αιμορροϊδικών φλεβών""

Β. ""κατώτερων οισοφαγικών φλεβών""

Γ. ""περιομφαλικών φλεβών""

Δ. ""εντερικών φλεβών""

Ε. ""κυστικών φλεβών""",περιομφαλικών φλεβών,Γ
40,Η λέμφος από την πύελο διοχετεύεται στη χυλοφόρο δεξαμενή με:,"Α. ""το εντερικό στέλεχος""

Β. ""τα μεσοπλεύρια στελέχη""

Γ. ""τα οσφυικά στελέχη""

Δ. ""τα οπίσθια μεσοπνευμόνια λεμφαγγεία""

Ε. ""τίποτε από τα παραπάνω""",τα οσφυικά στελέχη,Γ
57,Η κάτω παγκρεατοδωδεκαδακτυλική αρτηρία είναι κλάδος της:,"Α. ""Κοινής ηπατικής αρτηρίας""

Β. ""Σπληνικής αρτηρίας""

Γ. ""Γαστροδωδεκαδακτυλικής αρτηρίας""

Δ. ""Αριστερής γαστρεπιπλοϊκής αρτηρίας""

Ε. ""Άνω μεσεντέριας αρτηρίας""",Άνω μεσεντέριας αρτηρίας,Ε
58,Οδηγό σημείο για τον εντοπισμό της γαστροδωδεκαδακτυλικής συμβολής είναι:,"Α. ""Η γαστροδωδεκαδακτυλική αρτηρία""

Β. ""Η προπυλωρική φλέβα""

Γ. ""Ο κρεμαστήρας μυς του δωδεκαδακτύλου""

Δ. ""Ο ηπατογαστρικός σύνδεσμος""

Ε. ""Ο σφιγκτήρας του πυλωρού""",Η προπυλωρική φλέβα,Β
65,Ποιο είναι σωστό;,"Α. ""Το περιτόναιο καλύπτει το μέσο και κάτω 3μόριο του δεξιού νεφρού""

Β. ""Το περιτόναιο καλύπτει το άνω 3μόριο του δεξιού νεφρού""

Γ. ""Το περιτόναιο καλύπτει το κάτω 3μόριο του δεξιού νεφρού""

Δ. ""Το περιτόναιο καλύπτει το μέσο 3μόριο του δεξιού νεφρού""

Ε. ""Το περιτόναιο καλύπτει το άνω και μέσο 3μόριο του δεξιού νεφρού""",Το περιτόναιο καλύπτει το άνω και μέσο 3μόριο του δεξιού νεφρού,Ε
67,Ποιο είναι σωστό;,"Α. ""Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση, στα άνω 1/3 με ήπαρ, στο κάτω 1/3 με τη δεξιά κολική καμπή και κατά το έσω χείλος με το 12λο.""

Β. ""Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση, στα άνω 2/3 με το ήπαρ, στο κάτω 1/3 με τη δεξιά κολική καμπή και κατά το έσω χείλος με τη νήστιδα.""

Γ. ""Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση, στα άνω 2/3 με το ήπαρ, στο κάτω 1/3 με τη δεξιά κολική καμπή και κατά το έσω χείλος με το 12/λο""

Δ. ""Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση στα άνω 2/3 με το ήπαρ, το κάτω 1/3 με το ανιόν κόλο και κατά το έσω χείλος με τη νήστιδα""

Ε. ""Τίποτε από τα παραπάνω""","Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση, στα άνω 2/3 με το ήπαρ, στο κάτω 1/3 με τη δεξιά κολική καμπή και κατά το έσω χείλος με το 12/λο",Γ
70,Ποιά από τις ακόλουθες δομές δημιουργεί εντύπωμα στον δεξιό πνεύμονα,"Α. ""Η άζυγος φλέβα""

Β. ""Το δεξιό φρενικό νεύρο""

Γ. ""Η δεξιά κοινή καρωτίδα""

Δ. ""Το δεξιό πνευμονογαστρικό νεύρο""

Ε. ""Η κατιούσα θωρακική αορτή""",Η άζυγος φλέβα,Α
