id,generated_answer,correct_answer
1Γ-2025-20250527-1-1,"Γ. ""Από τους/τις Έλληνες/ίδες πολίτες και τους/τις Έλληνες/ίδες ομογενείς""  

Η ελευθερία έκφρασης είναι δικαίωμα που ανήκει σε όλους τους πολίτες μιας χώρας, συμπεριλαμβανομένων των ομογενών που βρίσκονται εκτός των συνόρων. Οι επιλογές Α και Β είναι περιοριστικές, καθώς δεν περιλαμβάνουν όλους τους πολίτες, ενώ η επιλογή Δ αναφέρεται σε ευρωπαϊκή ιθαγένεια, η οποία δεν είναι απαραίτητα συνώνυμη με την ελληνική ιθαγένεια.",Β
1Γ-2025-20250527-1-2,"Β. ""Δεν επιτρέπονται σε καμία περίπτωση""",Β
1Γ-2025-20250527-1-3,"Γ. ""Δεν αποτελεί δικαίωμα""",Δ
1Γ-2025-20250527-1-4,"Β. ""Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς""",Β
1Γ-2025-20250527-1-5,"Γ. ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο εργασίας μόνο""",Δ
1Γ-2025-20250527-1-6,"Γ. ""Δεν αναγνωρίζεται στο ελληνικό δίκαιο""",Γ
1Γ-2025-20250527-1-7,"Γ. ""Νομοθετικός κανόνας""",Β
1Γ-2025-20250527-1-8,"Β. ""Πολιτικό δικαίωμα""",Β
1Γ-2025-20250527-1-9,"Γ. ""Είναι συλλογικό δικαίωμα""",Α
1Γ-2025-20250527-1-10,"Α. ""Κατάλυσης του Συντάγματος""",Α
1Γ-2025-20250527-1-11,"Γ. ""Μπορεί να ακυρωθεί από κάθε δικαστήριο""",Α
1Γ-2025-20250527-1-12,"Β. ""Θεμελιώδης συνταγματική αρχή""",Β
1Γ-2025-20250527-1-13,"Γ. ""Δεν δημιουργεί υποχρέωση της διοίκησης να απαντήσει""",Α
1Γ-2025-20250527-1-14,"Α. ""Εκτός εάν εξυπηρετείται υπέρτερο δημόσιο συμφέρον""",Α
1Γ-2025-20250527-1-15,"Γ. ""Ικανότητα εκλέγειν άνω των 21 ετών""  

Σύμφωνα με το Ελληνικό Σύνταγμα (άρθρο 51), το δικαίωμα του εκλέγειν (και άρα και του εκλέγεσθαι) για βουλευτές είναι για πολίτες άνω των 25 ετών.  

Οι άλλες επιλογές είναι λανθασμένες:  
- Β (35) και Γ (21) δεν αντιστοιχούν στην τρέχουσα ηλικία.  
- Δ (ποινική απαλλαγή) δεν είναι προϋπόθεση για το δικαίωμα εκλέγειν.",Α
