id,generated_answer,correct_answer
1,"Α. ""χρειάζεται να ανέβει τους έξι ορόφους του πύργου (μέσω του εσωτερικού κλιμακοστάσιου, το οποίο ελίσσεται κοχλιωτά και σε επαφή με τον εξωτερικό τοίχο).""",Α
2,"Γ. ""το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο δυτικό άκρο του Φαληρικού Όρμου.""",Β
3,"Γ. ""λογικά θα περάσει πρώτα από το Ρίο και μετά από το Αντίρριο.""",Α
4,"Γ. ""Ακαδημία, Πανεπιστήμιο, Βιβλιοθήκη.""",Α
5,"Γ. ""το νησί Καστελλόριζο.""

Η καλύτερη απάντηση είναι η (Α). Το ανατολικότερο άκρο της Ελλάδας είναι το νησί Καστελλόριζο, το οποίο βρίσκεται στην ανατολική Μεσόγειο, κοντά στην Τουρκία. Το Καστελλόριζο είναι επίσης γνωστό ως Μεγίστη και είναι το ανατολικότερο σημείο της ηπειρωτικής Ελλάδας.

Η επιλογή (Β) ""το νησί Στρογγύλη"" δεν είναι το ανατολικότερο άκρο της Ελλάδας. Η Στρογγύλη είναι ένα μικρό νησί στην Ελλάδα, αλλά βρίσκεται στη θάλασσα των Σποράδων, δυτικά του Καστελλόριζου.",Β
6,"Γ. ""το νησί Οθωνοί.""

Η σωστή απάντηση είναι η Α. ""το νησί Οθωνοί.""  

Το δυτικότερο σημείο της Ελλάδας βρίσκεται στο νησί Οθωνοί, το οποίο ανήκει στο σύμπλεγμα των νησιών Οθωνοί (ή Οθωνιάδες) και βρίσκεται κοντά στην Κέρκυρα.  

Η επιλογή Β. ""το νησί Ερείκουσα"" δεν είναι η σωστή, καθώς η Ερείκουσα είναι ένα μικρό νησί κοντά στην Κέρκυρα, αλλά όχι το δυτικότερο σημείο της χώρας.",Α
7,"Γ. ""η βορειότερη περιοχή της Ελλάδας.""

Η σωστή απάντηση είναι η Β. Το Ορμένιο είναι η βορειότερη περιοχή της Ελλάδας, και όχι η βορειότερη κατοικημένη περιοχή. Η βορειότερη κατοικημένη περιοχή της Ελλάδας είναι το χωριό Οξάδες στην Περιφέρεια Δυτικής Μακεδονίας.",Α
8,"Γ. ""Το νησί Γαύδος.""",Β
9,"Γ. ""Η μαιανδρικότητα του Α είναι μεγαλύτερη από αυτή του Β.""

Η μαιανδρικότητα ενός ποταμού είναι το μήκος του ποταμού σε σχέση με το μήκος της κοίτης του. Επειδή ο ποταμός Α έχει μεγαλύτερη απόσταση από τις πηγές του μέχρι την εκβολή του (10 χιλιόμετρα) σε σχέση με τον ποταμό Β (18 χιλιόμετρα), αλλά και επειδή οι πηγές του Α απέχουν λιγότερο από την εκβολή του (8 χιλιόμετρα) σε σχέση με τον ποταμό Β (16 χιλιόμετρα), συμπεραίνουμε ότι ο ποταμός Α έχει μεγαλύτερη μαιανδρικότητα από τον ποταμό Β. Αυτό συμβαίνει επειδή ο ποταμός Α έχει περισσότερα εμπόδια και στροφές κατά μήκος της διαδρομής του, γεγονός που οδηγεί σε μεγαλύτερη απόσταση από τις πηγές μέχρι την εκβολή του.",Α
10,"Γ. ""Το μέλι.""

Δ. ""Το τυρί.""",Α
11,"Γ. ""από άγριο ή ήμερο ζώο.""",Β
12,"Γ. ""τότε ο τραχανάς γίνεται πιο αραιός.""",Α
13,"Γ. ""τότε ο τραχανάς γίνεται πιο πηχτός.""",Β
14,"Γ. ""Όταν βράσει καλά και πήξει.""",Β
15,"Γ. ""Γιατί η διαδικασία ολοκληρώνεται πιο εύκολα με τον ήλιο επειδή έχει ζέστη.""",Α
16,"Γ. ""το βάζουν σε τσαντίλα και το κρεμάνε ψηλά.""",Α
17,"Γ. ""Το ξινόγαλο βράζει και η μυζήθρα μένει στον πάτο του δοχείου.""",Α
18,"Γ. ""Να έχει αλειφθεί με λάδι.""

Δ. ""Να έχει αλειφθεί με βούτυρο.""

Η σωστή απάντηση είναι:

Γ. ""Να έχει αλειφθεί με λάδι.""",Β
19,"Γ. ""σε υψόμετρο άνω των 1.500 μέτρων.""",Α
20,"Γ. ""Βρασμένο πλιγούρι και τυρί.""",Α
21,"Γ. ""σπάνια είχαν αυστηρά γεωμετρικά σχέδια.""",Α
22,Α.,Α
23,"Γ. ""α) η κλίση του γηπέδου προς το νότο, β) η μικρή υψομετρική διαφορά μεταξύ ανατολικής και δυτικής πλευράς και γ) οι γειτονικές παρεμποδίσεις να βρίσκονται στο βορρά""",Β
24,"Γ. ""προτιμάται ο χυτοχάλυβας από τον χυτοσίδηρο, καθώς ο πρώτος είναι περισσότερο παχύρρευστος.""",Α
25,"Α.  

**Αιτιολόγηση:**  
Όταν η γωνία κ (γωνία τοποθέτησης) είναι μικρή, το πάχος του αποβλίττου (κόπας) είναι μικρό, αλλά η κατανομή της φόρτισης στο εργαλείο γίνεται σε μια πολύ μικρή περιοχή. Αυτό αυξάνει την τοπική πίεση και οδηγεί σε γρήγορη φθορά του εργαλείου, μειώνοντας τη διάρκεια ζωής του.  

Η επιλογή Β είναι λανθασμένη, καθώς μια μεγάλη γωνία κ αυξάνει το πάχος του αποβλίττου, όχι το αντίστροφο.  

**Απάντηση:** Α.",Β
26,"Γ. ""χρησιμοποιούνται διεισδυτές από διαμάντι για τη σκληρομέτρηση.""",Α
27,"Γ. ""παράγονται κόντρα πλακέ θαλάσσης από καπλαμάδες.""",Α
28,"Γ. ""συνήθως αποτελείται από κωνικόμορφα κορμοτεμάχια.""",Α
29,"Α. ""το ξύλο έχει διαφορετική μηχανική αντοχή σε διαφορετικές αυξητικές διευθύνσεις (αξονικά, εγκάρσια).""",Α
30,"Γ. ""Από τον δείκτη του θερμομέτρου.""

Δ. ""Από τον δείκτη του μανόμετρου.""",Α
31,"Γ. ""αλλάζω τα λάδια του κινητήρα.""",Α
32,"Β. ""ίδια μορφή πέλματος και ίδιο βαθμό φθοράς.""",Β
33,"Γ. ""ενώ ο τροχός βρίσκεται στον αέρα.""",Α
34,"Γ. ""σε ένδειξη υψηλής θερμοκρασίας.""",Β
35,"Γ. ""Νερό με αντιψυκτικό.""

Δ. ""Φυσικό νερό.""",Β
36,"Γ. ""βλάβη σε κάποια ασφάλεια.""",Α
37,"Γ. ""Να χρησιμοποιώ προστατευτικό κάλυμμα για τα μάτια.""

Δ. ""Να χρησιμοποιώ προστατευτικό κάλυμμα για τα αυτιά.""",Β
38,"Γ. ""που έχουν ζημιές στην καλωδίωση ή διαρροές μπαταρίας.""",Α
39,"Γ. ""δεν πρέπει να υπάρχει μειωμένη στάθμη καυσίμου.""",Α
40,"Γ. ""1 με 2 εκατοστά.""",Β
41,"Γ. ""Το αυτοκίνητο σταμάτησε σε μικρότερη απόσταση αφού πλέον η επιβράδυνση οφειλόταν στην τριβή ολίσθησης και όχι στην στατική τριβή.""",Α
42,"Γ. ""Εκείνος όμως έπλυνε και το παρμπρίζ.""",Α
43,"Α.

Η σωστή απάντηση είναι η επιλογή Α.  

**Εξήγηση:**  
Όταν η σκιά του ξύλου μετακινείται προς τα δυτικά (με την ηλιακή κατεύθυνση), το πρώτο σημάδι αντιπροσωπεύει τη Δύση και το δεύτερο τη Δύση. Η ευθεία μεταξύ τους δείχνει τον άξονα Ανατολής-Δύσης.  

Η επιλογή Β είναι λανθασμένη, καθώς υποθέτει ότι η σκιά μετακινείται προς τα ανατολικά, κάτι που δεν είναι σωστό για τον προσανατολισμό.",Β
44,"Α. ""απαγορεύεται να τα πλύνουμε σε πλυντήριο ρούχων.""",Β
45,"Γ. ""τοποθετώντας τον αντίχειρα, τον δείκτη και τον μέσο στις δύο τρύπες.""",Α
46,"Γ. ""κοντομάνικα και μακρυμάνικα πουκάμισα.""",Β
47,"Γ. ""η πόρτα του μπάνιου.""",Α
48,"Γ. ""μήπως ο σκύλος ξηλώσει την οπτική ίνα από το σοβατεπί του τοίχου.""",Α
49,"Γ. ""κλείνουμε τις στρόφιγγες κατά τη φορά των δεικτών του ρολογιού.""",Β
50,"Γ. ""παντελόνι και φράκο.""",Α
51,"Γ. ""είναι προτιμότερο να προσθέσετε απλόχερα και να αφαιρέσετε αργότερα.""",Β
52,"Γ. ""ψηλό, ξερακιανό με μεγάλη μύτη.""",Β
53,"Γ. ""προσέχω να έχουν στραγγίξει καλά πριν να τις ρίξω στο τηγάνι.""",Β
54,"Γ. ""Μέσα στο οινόπνευμα διαλύονται οι μικροΐνες του μαρκαδόρου για να φανεί το αποτύπωμά του.""",Β
55,"Γ. ""είναι υπεύθυνη μια ξηρή ρητίνη.""",Α
56,"Γ. ""Γιατί ο αέρας που περιέχει έχει μικρότερη πίεση από τον εξωτερικό αέρα της ατμόσφαιρας.""",Β
57,"Γ. ""στράφηκε δεξιά για να ανάψει ένα κερί. Στη συνέχεια κοίταξε προς τ' αριστερά για να θαυμάσει το τέμπλο του ιερού.""",Α
58,"Γ. ""επειδή η πίεση του αέρα στα επιμέρους τμήματά του διαφέρει.""",Β
59,"Γ. ""εάν δεν είναι κούφιο.""",Α
60,"Γ. ""Οι πυροσβέστες αποφασίζουν να προσεγγίσουν τη φωτιά από το βορρά.""",Β
61,"Α. ""Το αντιπύρ καταναλώνει το διαθέσιμο οξυγόνο στην πορεία της κύριας πυρκαγιάς. Ως αποτέλεσμα το κύριο μέτωπο στερείται οξυγόνου, ενός από τα τρία στοιχεία του «τριγώνου της φωτιάς», και έτσι σβήνει ή επιβραδύνεται δραματικά.""",Β
62,"Γ. ""Με τα άνθη.""

Δ. ""Με το ξύλο.""

Απάντηση: Β. ""Με τα φύλλα.""",Β
63,"Α. ""Η μικρότερη κλίμακα που μπορεί να χρησιμοποιήσει ο πυροσβέστης είναι η πρώτη.""",Α
64,"Γ. ""Σε φυσικά ή τεχνητά κλαδιά.""

Οι μεταξοσκώληκες αναρριχώνται σε φυσικά ή τεχνητά κλαδιά για να πλέξουν το κουκούλι τους στη σηροτροφία. Τα κλαδιά παρέχουν την απαραίτητη υποστήριξη και επιφάνεια για την κατασκευή του κουκουλιού.",Β
65,"Α. ""Στο επάνω μέρος αναγράφεται ο αριθμός αναγνώρισης κινδύνου που ενέχει η ουσία που μεταφέρει το όχημα. Στο κάτω μέρος αναγράφεται ο αριθμός αναγνώρισης της ουσίας που μεταφέρει το όχημα.""",Α
66,"Γ. ""ξετυλίγεται η κλωστή από το κουκούλι και τυλίγεται σε ανέμες.""",Α
67,"Α.  

**Αιτιολόγηση:**  
- Οι πυρκαγιές της **πρώτης κατηγορίας** (στερεά καύσιμα) σβήνουν με νερό ή ξηρή σκόνη, αλλά **όχι** με διοξείδιο του άνθρακα (CO₂), καθώς το CO₂ δεν είναι αποτελεσματικό σε στερεά.  
- Οι πυρκαγιές της **τρίτης κατηγορίας** (υγρά καύσιμα) απαιτούν πυροσβεστήρες ξηράς σκόνης ή CO₂, καθώς το νερό μπορεί να εξαπλώσει τη φωτιά σε υγρά.  

Η επιλογή **Α** είναι σωστή, καθώς:  
1. Για την **πρώτη κατηγορία**, η ξηρή σκόνη ή CO₂ είναι κατάλληλη, αλλά **όχι** το νερό.  
2. Για την **τρίτη κατηγορία**, το νερό **δεν** είναι κατάλληλο, αλλά οι ξηρές σκόνες ή CO₂ είναι.  

Η επιλογή **Β** είναι λανθασμένη, καθώς:  
- Σε πυρκαγιές της **τρίτης κατηγορίας**, το νερό **δεν** είναι κατάλληλο.  

**Απάντηση:** Α.",Β
68,"Γ. ""πρέπει να βραστεί καλά σε καυτό νερό, σαπούνι και σόδα.""",Α
69,"Γ. ""κατά τους χειμερινούς μήνες.""

Δ. ""κατά τους εαρινούς μήνες.""",Β
70,"Γ. ""τεντώνονται και δένονται παράλληλα στις επάνω και κάτω ράβδους του αργαλειού.""",Α
71,"Γ. ""Τον ξεχώνουν από το χώμα, τον κοπανούν να γίνει ψιλός, τον πλένουν και τέλος τον κοσκινίζουν.""",Β
72,"Γ. ""κλαδέψτε τα ξερά κλαδιά από τα δένδρα και τους θάμνους.""",Α
73,"Γ. ""Σε ένα πλαίσιο.""

Δ. ""Σε ένα άγκιστρο.""",Β
74,"Γ. ""είναι προτιμότερο να φτιάχνονται από ξύλο.""",Β
75,"Γ. ""από επάνω προς τα κάτω.""",Β
76,"Γ. ""καλέστε την πυροσβεστική.""",Α
77,"Γ. ""Είναι τυλιγμένο σε σχήμα οχταριού.""",Α
78,"Γ. ""Γυρνάμε το κεφάλι έτσι ώστε το αυτί που βρίσκεται το ξένο σώμα να είναι προς τα πάνω, τραβώντας το λοβό του αυτιού προς τα μπρος και πάνω. Αν πρόκειται για έντομο που πετάει, γυρνάμε το κεφάλι έτσι ώστε το αυτί στο οποίο βρίσκεται το έντομο να είναι προς τα κάτω.""",Α
79,"Α. ""το ένα βρίσκεται στο επάνω μέρος και το άλλο στο κάτω μέρος, ενώ έχει ίδιο σχήμα, μέγεθος και δέσιμο με το πρώτο.""",Α
80,"Γ. ""Επίσης, ένα από τα μέτρα αντιμετώπισης είναι η ακινητοποίηση του άκρου πάνω από το ύψος της καρδιάς.""",Β
81,"Γ. ""να μην αφήσουν τα νήματα του αργαλειού να μπερδευτούν.""",Β
82,"Α. ""από σχισμές, που εμφανίζονται κάθετα και στα δύο άκρα και σχηματίζουν ένα σχήμα σαν χτένα.""",Α
83,"Γ. ""με μεγάλα λοβώδη φύλλα και δυνατό κορμό.""",Α
84,"Γ. ""μπαίνει στο στόμα των στημονιών.""",Α
85,"Γ. ""πιάνονται από τους ώμους.""",Α
86,"Γ. ""από καυτό νερό και άνθη χαμομηλιού.""",Β
87,"Γ. ""το νούμερο βελόνας που πρέπει να χρησιμοποιηθεί.""",Β
88,"Γ. ""Την αυγή.""

Δ. ""Την ώρα του μεσημεριού.""",Α
89,"Γ. ""κάνουμε θηλιά γύρω από μία βελόνα.""",Α
90,"Γ. ""η αριστερή βελόνα περνά μέσα από τους πόντους της δεξιάς.""",Α
91,"Γ. ""το κόβουμε σε πολύ μικρά κομματάκια και το ρίχνουμε στο μείγμα.""",Α
92,"Γ. ""τα στραγγίζουμε καλά.""",Β
93,"Γ. ""τα ζεματίζουμε με λάδι στο τηγάνι.""",Β
94,"Γ. ""το κρέας απλώνεται κάθετα προς το έδαφος.""",Β
95,"Γ. ""Το μετάξι.""",Α
96,"Γ. ""από ασκό και από ξύλινο μέρος.""",Β
97,"Α. ""Για εκσκαφή κάτω από την επιφάνεια είναι κατάλληλος ένας εκσκαφέας με ανεστραμμένο κάδο. Αντίθετα για εκσκαφή χαλαρών εδαφών και φόρτωση υλικών πάνω από την επιφάνεια καταλληλότερος είναι ένας εκσκαφέας με μετωπικό κάδο φόρτωσης.""",Α
98,"Γ. ""Πραγματοποιούμε πρίση κάθετα προς τις ίνες του ξυλοτεμαχίου.""",Β
99,"Γ. ""είναι πιθανόν να χρησιμοποιήσουμε τις κλίμακες 1:200 και 1:5, αντίστοιχα.""",Α
100,"Α. ""Η κλίση αυτή πρέπει να είναι μεγαλύτερη του 1:20 ή του 5%, δηλαδή στο 1 m μήκος το κατέβασμα να υπερβαίνει τα 5 εκατοστά, ώστε να μην παρατηρείται θόρυβος στους σωλήνες από την οριζόντια κίνηση των λυμάτων.""",Β
101,"Γ. ""πρέπει να υπερβαίνει τα 0,7 m/s προκειμένου να αυτοκαθαρίζονται οι σωλήνες (αποφυγή συγκέντρωσης στερεών αποβλήτων).""",Α
102,"Γ. ""Γι' αυτό το λόγο οι διάμετροι των προβλεπόμενων σωληνώσεων πρέπει να είναι τουλάχιστον 20% μεγαλύτερες από αυτές των πλαστικών σωλήνων οδηγών.""",Β
103,"Γ. ""πορτοκαλί.""

Δ. ""πράσινο.""

Απάντηση: Α. ""λευκό ή υποκίτρινο.""",Β
104,"Γ. ""δεν σπάει σε μεγάλα κομμάτια και θρυμματίζεται.""",Α
105,"Γ. ""σε μεγάλα κυκλικά κομμάτια.""",Α
106,"Γ. ""Πράσινο.""

Δ. ""Κόκκινο.""

Απάντηση: Α. ""Κίτρινο.""",Α
107,"Γ. ""Βυθίζοντάς τη σε άλμη.""

Η καλύτερη απάντηση είναι η Β. ""Βυθίζοντάς τη σε άλμη."" Η άλμη (αλάτινο νερό) βοηθά στη διατήρηση της φέτας εμποδίζοντας την ανάπτυξη βακτηρίων και την αποξήρανση. Το σπορέλαιο (Α) δεν είναι η καλύτερη επιλογή για τη διατήρηση της φέτας.",Β
108,"Γ. ""για να ψήνεται ομοιόμορφα παντού.""",Β
109,"Α. ""εκείνο που δέχεται τον άνεμο από την δεξιά πλευρά οφείλει να απομακρύνεται από την πορεία του άλλου.""",Β
110,"Α. ""κάθε πλοίο πρέπει να μεταβάλει πορεία προς τα δεξιά ώστε να διέλθουν ασφαλώς.""",Α
111,"Γ. ""δύο βραχέα σφυρίγματα σηματοδοτούν αλλαγή πορείας προς τα δεξιά.""",Α
112,"Α. ""χάρτινες συσκευασίες και χαρτοκιβώτια, αλουμινένια ή λευκοσιδηρικά κουτάκια και πλαστικές κατασκευές.""",Α
113,"Α. ""τη μετάβαση από ένα σημείο σε ένα άλλο με την αποφυγή περιοχών υψηλού κυματισμού και την όσο το δυνατό μικρότερη κατανάλωση καυσίμου.""",Α
114,"Γ. ""απομακρύνονται οι επικίνδυνες ουσίες από τα ανακυκλώσιμα υλικά.""",Β
