id,generated_answer,correct_answer
1Γ-2025-20250527-1-1,Η σωστή απάντηση είναι η Γ: 'Από τους/τις Έλληνες/ίδες πολίτες και τους/τις Έλληνες/ίδες ομογενείς'.,Β
1Γ-2025-20250527-1-2,"Β. ""Δεν επιτρέπονται σε καμία περίπτωση""",Β
1Γ-2025-20250527-1-3,"Δ. ""Είναι ειδική μορφή της οικονομικής ελευθερίας""",Δ
1Γ-2025-20250527-1-4,"Β. ""Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς""",Β
1Γ-2025-20250527-1-5,"Η σωστή απάντηση είναι η Β: ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως μόνο"".",Δ
1Γ-2025-20250527-1-6,"Η σωστή απάντηση είναι η Γ: ""Δεν αναγνωρίζεται στο ελληνικό δίκαιο"".",Γ
1Γ-2025-20250527-1-7,"Β. ""Αντικειμενική συνταγματική αρχή""",Β
1Γ-2025-20250527-1-8,"Το δικαίωμα στο εκλέγειν και το εκλέγεσθαι είναι: Β. ""Πολιτικό δικαίωμα""",Β
1Γ-2025-20250527-1-9,Η σωστή απάντηση είναι η Β. 'Δεν εξαρτάται από τα χρηστά ήθη'.,Α
1Γ-2025-20250527-1-10,"Α. ""Κατάλυσης του Συντάγματος""",Α
1Γ-2025-20250527-1-11,Η σωστή απάντηση είναι η Δ. 'Μπορεί να ακυρωθεί μόνο από τα ανώτατα δικαστήρια'.,Α
1Γ-2025-20250527-1-12,"Β. ""Θεμελιώδης συνταγματική αρχή""",Β
1Γ-2025-20250527-1-13,Η σωστή απάντηση είναι η Γ. 'Δεν δημιουργεί υποχρέωση της διοίκησης να απαντήσει'.,Α
1Γ-2025-20250527-1-14,"Η σωστή απάντηση είναι η Γ: ""Χωρίς νόμο ψηφισμένο από τα 3/5 των μελών της Βουλής"".",Α
1Γ-2025-20250527-1-15,"Γ. ""Ικανότητα εκλέγειν άνω των 21 ετών""",Α
1Γ-2025-20250527-1-16,"Η σωστή απάντηση είναι η επιλογή Β: ""Μόνο κατά την άσκηση των καθηκόντων τους"".",Γ
1Γ-2025-20250527-1-17,"Η σωστή απάντηση είναι η Γ: ""Χωρίς αποζημίωση"".",Γ
1Γ-2025-20250527-1-18,Η σωστή απάντηση είναι η Δ. 'Στην αρχή της δικαιολογημένης εμπιστοσύνης του/της διοικούμενου/ης'.,Δ
1Γ-2025-20250527-1-19,"Η σωστή απάντηση είναι η Β. 'Συγκαταλέγονται μόνο οι τρεις συντεταγμένες εξουσίες του κράτους (νομοθετική, εκτελεστική, δικαστική)'.",Γ
1Γ-2025-20250527-1-20,"Α. ""Ότι η Κυβέρνηση οφείλει να απολαμβάνει την εμπιστοσύνη της Βουλής""",Α
1Γ-2025-20250527-1-21,"Η σωστή απάντηση είναι η Γ: ""Ο/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων παρά μόνο για συκοφαντική δυσφήμηση, κατά τον νόμο, ύστερα από άδεια της Βουλής"".",Γ
1Γ-2025-20250527-1-22,"Η σωστή απάντηση είναι η επιλογή Α: ""Αποτελεί τη γενική αρχή που κατοχυρώνει την αυτονομία των οργανισμών τοπικής αυτοδιοίκησης"".",Δ
1Γ-2025-20250527-1-23,"Β. ""Αρχή της διάκρισης των λειτουργιών""",Β
1Γ-2025-20250527-1-24,"Β. ""Να εκλεγεί κάποιος/α βουλευτής""",Α
1Γ-2025-20250527-1-25,"Δ. ""Σε καμία από τις λοιπές περιπτώσεις""",Γ
1Γ-2025-20250527-1-26,Η σωστή απάντηση είναι η Α. 'Η ενισχυμένη αναλογική'.,Α
1Γ-2025-20250527-1-27,"Β. ""Με πράξεις νομοθετικού περιεχομένου""",Β
1Γ-2025-20250527-1-28,"Β. ""Ότι τροποποιείται δυσκολότερα απ' ό,τι ο νόμος""",Β
1Γ-2025-20250527-1-29,"Β. ""Επτά (7) ημέρες""",Α
