id,generated_answer,correct_answer
16,Δ,Δ
28,Δ,Γ
30,Δ,Β
37,Γ,Γ
40,Α,Γ
57,Α,Ε
58,Γ,Β
65,Β,Ε
67,Γ,Γ
70,Δ,Α
72,Γ,Ε
84,Δ,Γ
88,Ε,Α
94,Β,Β
97,Δ,Α
98,Δ,Γ
99,Γ,Α
102,Γ,Ε
107,Γ,Α
108,Γ,Γ
111,Β,Α
117,Δ,Β
121,Δ,Β
123,Β,Β
124,Ε,Α
129,Δ,Α
138,Δ,Α
146,Β,Α
154,Β,Α
163,Β,Γ
166,Δ,Δ
176,Β,Δ
179,Β,Β
181,Γ,Γ
182,Δ,Γ
187,Δ,Α
188,Ε,Ε
190,Α,Γ
191,Β,Γ
202,Δ,Α
204,Γ,Ε
207,Γ,Γ
208,Δ,Β
213,Δ,Δ
221,Γ,Γ
224,Β,Β
225,Α,Γ
229,Β,Γ
230,Γ,Γ
233,Δ,Δ
235,Δ,Δ
237,Α,Δ
240,Β,Β
247,Β,Α
252,Β,Γ
254,Β,Δ
264,Γ,Γ
267,Γ,Α
283,Δ,Δ
287,Γ,Β
289,Δ,Γ
297,Β,Β
300,Γ,Α
302,Γ,Ε
303,Δ,Β
304,Δ,Δ
308,Β,Β
312,Γ,Β
314,Δ,Δ
315,Α,Α
318,Δ,Δ
327,Δ,Β
328,Γ,Δ
331,Α,Α
332,Δ,Γ
333,Γ,Γ
335,Γ,Γ
337,Γ,Γ
339,Β,Ε
345,Α,Α
351,Δ,Γ
362,Γ,Γ
371,Γ,Δ
373,Β,Β
380,Β,Δ
389,Γ,Γ
391,Β,Β
396,Α,Α
401,Δ,Δ
403,Δ,Γ
404,Β,Α
405,Α,Δ
406,Δ,Δ
410,Δ,Δ
415,Α,Α
426,Δ,Δ
438,Δ,Ε
440,Α,Α
441,Β,Β
444,Β,Β
449,Ε,Ε
453,Γ,Γ
454,Δ,Γ
456,Γ,Γ
460,Γ,Δ
466,Γ,Α
471,Α,Α
483,Δ,Β
490,Β,Δ
499,Γ,Γ
504,Δ,Δ
507,Δ,Ε
509,Α,Α
517,Δ,Δ
521,Β,Δ
530,Β,Β
536,Β,Β
539,Β,Β
550,Β,Δ
552,Δ,Δ
566,Γ,Γ
572,Γ,Ε
574,Δ,Δ
580,Γ,Γ
583,Β,Β
590,Γ,Β
595,Β,Δ
599,Β,Δ
603,Α,Α
610,Γ,Α
616,Β,Β
617,Α,Α
623,Γ,Β
624,Γ,Β
629,Β,Ε
637,Γ,Γ
645,Β,Γ
652,Δ,Δ
655,Β,Β
659,Δ,Α
662,Β,Β
668,Β,Β
669,Δ,Β
671,Γ,Γ
676,Β,Β
688,Δ,Δ
690,Α,Α
694,Δ,Β
695,Β,Β
699,Δ,Δ
704,Δ,Α
706,Δ,Δ
707,Γ,Γ
