id,generated_answer,correct_answer
0,Β.,Α
1,"Δ
",Α
2,"Δ
",Δ
3,"Γ
",Γ
4,"Δ
",Δ
5,Α.,Α
6,"Β
",Δ
7,"Δ
",Η
8,Β.,Β
9,"Δ
",Θ
10,"Γ
",Ε
11,"Α
",Α
12,"Δ
",Δ
13,"Α
",Α
14,"Α
",Ζ
15,"Α.
",Β
16,"Γ
",Ζ
17,"Δ
",Κ
18,"Δ
",Ζ
19,"Δ
",Δ
20,"Γ
",Γ
21,"Β.
",Δ
22,Α.,Α
23,"Β
",Β
24,Γ.,Θ
25,Β.,Β
26,"Γ
",Ε
27,"Γ
",Ζ
28,Α.,Α
29,"Ζ
",Ζ
30,"Α.
",Δ
31,Ε.,Ζ
32,Α.,Α
33,"Β
",Γ
34,Α.,Γ
35,"Δ
",Ε
36,"Γ
",Γ
37,Α.,Δ
38,"Α
",Δ
39,"Δ
",Δ
40,"Ζ
",Ζ
41,"Γ.
",Ε
42,Γ.,Ε
43,"Ε.
",Ε
44,"Γ
",Ζ
45,"Α
",Β
46,"Γ
",Γ
47,Β.,Β
48,"Α
",Α
49,"Γ
",Γ
50,"Γ
",Γ
51,Γ.,Α
52,"Γ
",Β
53,Δ.,Β
54,"Ζ.
",Ζ
55,"Β
",Γ
56,"Δ
",Δ
57,"Γ
",Ε
58,"Γ
",Δ
59,"Γ
",Γ
60,"Β
",Δ
61,"Α
",Β
62,"Γ
",Γ
63,"Β
",Ε
64,"Β
",Β
65,"Γ
",Α
66,"Ε.
",Ε
67,Α.,Ε
68,"Α
",Α
69,"Γ
",Γ
70,"Γ
",Δ
71,"Γ
",Α
72,Ζ.,Ζ
73,"Α
",Ε
74,"Β
",Β
75,"Ι
",Ι
76,Α.,Θ
77,"Α.
",Α
78,"Δ
",Δ
79,"Δ
",Δ
80,Α.,Ε
81,Α.,Α
82,"Δ.
",Α
83,"Α. ""Έλον Μασκ.""
",Β
84,Γ.,Γ
85,"Γ
",Α
86,"Γ
",Γ
87,"Α
",Β
88,"Ι
",Ι
89,Α.,Α
90,"Α
",Β
91,"Α
",Ζ
92,"Δ
",Δ
93,Ε.,Ε
94,Γ,Γ
95,Β.,Ε
96,"Δ
",Δ
97,"Α
",Δ
98,"Γ
",Α
99,"Γ
",Δ
100,Γ.,Γ
101,Ε.,Δ
102,"Β.
",Β
103,Ε.,Ε
104,"Δ
",Δ
105,"Δ
",Α
106,Α.,Γ
107,"Β
",Β
108,"Γ
",Γ
109,"Β
",Β
110,"Δ
",Δ
111,"Α
",Ζ
112,"Ζ
",Γ
113,"Θ
",Α
114,"Α
",Α
115,"Β
",Β
116,"Γ
",Δ
117,Α.,Α
118,"Γ.
",Α
119,"Α
",Α
120,Δ.,Γ
121,"Γ
",Α
122,"Γ
",Γ
123,"Γ
",Β
124,"Γ
",Α
125,"Α
",Α
126,"Δ
",Β
127,Α.,Γ
128,"Β
",Ε
129,"Β
",Α
130,"Β
",Δ
131,Β.,Γ
132,"Γ
",Γ
133,"Β.
",Ε
134,"Ε.
",Α
135,"Γ
",Ζ
136,Δ.,Γ
137,"Ε.
",Α
138,"Δ
",Δ
139,"Η.
",Δ
140,"Δ
",Δ
141,"Γ
",Α
142,"Β
",Β
143,"Γ
",Γ
144,"Ζ.
",Β
145,Β.,Γ
146,Α.,Α
147,"Β
",Β
148,"Γ
",Β
149,Α.,Δ
150,"Α.
",Γ
151,"Β
",Β
152,"Γ
",Β
153,Γ.,Γ
154,"Β
",Β
155,"Α
",Γ
156,"Γ
",Α
157,"Β.
",Α
158,"Γ
",Α
159,"Α
",Α
160,Β.,Α
161,"Β
",Β
162,Δ.,Γ
163,"Γ
",Β
164,"Γ
",Ζ
165,"Α
",Β
166,"Δ
",Δ
167,"Α.
",Α
168,"Γ
",Δ
169,"Ζ.
",Ζ
170,"Γ
",Γ
171,"Δ
",Ε
172,Ε.,Ε
173,Γ.,Δ
174,"Γ
",Γ
175,Α.,Γ
176,"Δ
",Α
177,"Δ
",Δ
178,Α.,Β
179,"Δ
",Δ
180,"Γ
",Γ
181,"Α. ""Το όνομά του είναι Ντόναλντ Τραμπ.""
",Δ
182,"Δ
",Δ
183,"Β.
",Α
184,"Γ. ""Στιβ Τζομπς.""
",Α
185,Β.,Β
186,"Β
",Β
187,"Γ
",Δ
188,"Α.
",Δ
189,"Γ
",Γ
190,"Δ
",Β
191,Α.,Β
192,"Α.
",Α
193,Α.,Ε
194,Β.,Β
195,"Α. ""Ντόναλντ Τραμπ.""
",Δ
196,"Β
",Δ
197,"Β
",Α
198,"Α
",Α
199,Γ,Γ
200,"Α
",Α
201,Α.,Γ
202,Α.,Β
203,"Γ
",Ε
204,"Γ
",Β
205,Γ.,Ε
206,"Α
",Α
207,"Δ
",Δ
208,"Α
",Ε
209,"Β
",Β
210,Α.,Α
211,Α.,Δ
212,"Β
",Β
213,"Α.
",Α
214,"Α
",Δ
215,"Ζ
",Δ
216,Β.,Α
217,"Λ
",Α
218,"Γ
",Β
219,"Β
",Α
220,"Α.
",Α
221,"Δ
",Δ
222,Β.,Α
223,Γ.,Γ
224,Β.,Β
225,Β.,Α
226,Β.,Β
227,"Γ.
",Α
228,Α.,Δ
229,"Α.
",Θ
230,"Α
",Β
231,"Γ
",Γ
232,"Γ
",Γ
233,"Δ
",Δ
234,Γ.,Γ
235,"Γ
",Α
236,"Β
",Γ
237,"Γ
",Γ
238,"Α
",Β
239,"Α
",Θ
240,Β.,Θ
241,"Δ
",Β
242,"Δ
",Β
243,Γ.,Γ
244,"Β
",Β
245,"Β.
",Γ
