id,generated_answer,correct_answer
0,"Η σωστή απάντηση είναι η επιλογή Α: ""Το Ναούρου είναι η μικρότερη χώρα στον κόσμο που έχει έκταση τουλάχιστον ένα τετραγωνικό μίλι.""",Α
1,"Η σωστή απάντηση είναι η επιλογή Β: ""Η Αυστραλία."".",Α
2,Η σωστή απάντηση είναι η Δ: 'Οι καλλιτέχνες εμπνέονται από διαφορετικές πηγές.'.,Δ
3,"Η σωστή απάντηση είναι η Γ: ""Το Μαϊάμι και η Νέα Ορλεάνη έχουν περισσότερες βροχοπτώσεις από το Σιάτλ.""",Γ
4,Η σωστή απάντηση είναι η Δ: 'Τίποτα ιδιαίτερο δεν θα συμβεί αν φορέσετε ένα καπέλο από αλουμινόχαρτο.',Δ
5,"Η σωστή απάντηση είναι η Γ. ""Ναι, υπάρχει διαφορά μεταξύ όσων σκέφτονται με το αριστερό ημισφαίριο και όσων σκέφτονται με το δεξιό ημισφαίριο του εγκεφάλου.""",Α
6,"Η σωστή απάντηση είναι η Γ: ""Τα άτομα με ομάδα αίματος Ο είναι οι καλύτεροι ηγέτες.""",Δ
7,Η σωστή κατηγοριά για το κείμενο είναι: Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κείμενο με επιστημονική πληροφορία. Κ,Η
8,Η σωστή κατηγοριά για το κείμενο είναι: ΦΥΣΙΚΗ (Φ).,Β
9,"Θ. ""Οι άνθρωποι διαφωνούν για το ποιος φτιάχνει τα καλύτερα μπιφτέκια.""",Θ
