id,generated_answer,correct_answer
16,"Γ. ""συνδέει την εξωτερική επιφάνεια των πνευμόνων με το θωρακικό τοίχωμα""",Δ
28,"Γ. ""στο 3ο μεσοπλεύριο διάστημα""",Γ
30,"Γ. ""θυροειδή αρτηρία""",Β
37,"Γ. ""περιομφαλικών φλεβών""",Γ
40,"Γ. ""τα οσφυικά στελέχη""",Γ
57,"Γ. ""Γαστροδωδεκαδακτυλικής αρτηρίας""",Ε
58,"Γ. ""Ο κρεμαστήρας μυς του δωδεκαδακτύλου""",Β
65,"Γ. ""Το περιτόναιο καλύπτει το κάτω 3μόριο του δεξιού νεφρού""",Ε
67,"Γ. ""Η πρόσθια επιφάνεια του δεξιού νεφρού έρχεται σε σχέση, στα άνω 2/3 με το ήπαρ, στο κάτω 1/3 με τη δεξιά κολική καμπή και κατά το έσω χείλος με το 12λο""",Γ
70,"Γ. ""Η δεξιά κοινή καρωτίδα""",Α
72,"Η σωστή απάντηση είναι:

**Α. ""Το μείζον επίπλουν, το έλασσον επίπλουν, ο γαστροφρενικός σύνδεσμος, ο γαστροκολικός σύνδεσμος και ο γαστροσπληνικός σύνδεσμος""**

Οι πτυχές του περιτοναίου που συμβάλλουν στη στήριξη του στομάχου περιλαμβάνουν:

- **Μείζον επίπλουν (major omentum)**: Παρέχει προστασία και θερμομόνωση.
- **Έλασσον επίπλουν (minor omentum)**: Συνδέει το στομάχι με το ήπαρ.
- **Γαστροφρενικός σύνδεσμος (gastrofrénic ligament)**: Συνδέει το στομάχι με το διάφραγμα.
- **Γαστροκολικός σύνδεσμος (gastrocolic ligament)**: Συνδέει το στομάχι με το κόλον.
- **Γαστροσπληνικός σύνδεσμος (gastro-splenic ligament)**: Συνδέει το στομάχι με τον σπλήνα.

Οι άλλες επιλογές είναι ελλιπείς, καθώς δεν περιλαμβάνουν όλες τις απαραίτητες πτυχές.",Ε
84,"Γ. ""οι ιερομητρικοί σύνδεμοι εκφύονται από προσθία επιφάνεια του ιερού οστού και καταφύονται στην οπισθία επιφάνεια της μήτρας""",Γ
88,"Η σωστή απάντηση είναι:

**Α. ""το ένα άκρο κάθε ωαγωγού εκβάλλει στην μήτρα και το άλλο ακουμπά στην σύστοιχη ωοθήκη""**

**Εξήγηση:**  
Οι ωαγωγοί (ή σάλπιγγες) είναι δύο σωληνοειδείς δομές που συνδέουν τις ωοθήκες με τη μήτρα. Το ένα άκρο τους (η ωοθηκική μοίρα) ακουμπά στην ωοθήκη, ενώ το άλλο άκρο (η μητριαία μοίρα) εκβάλλει στη μήτρα.  

Οι άλλες επιλογές είναι λανθασμένες:  
- **Β.** Δεν έχουν ""μητριαία και ωοθηκική μοίρα"" (αυτή η διαίρεση δεν ισχύει).  
- **Γ.** Δεν είναι εξωπεριτοναϊκά όργανα (βρίσκονται εντός της περιτοναϊκής κοιλότητας).  
- **Δ.** Δεν έρχονται σε σχέση με τον ουρητήρα (αυτός βρίσκεται στην οπισθοπεριτοναϊκή μοίρα).  

**Σωστή απάντηση: Α.**",Α
94,"Η σωστή απάντηση είναι:

**Β. ""την ηπατική αρτηρία και την πυλαία φλέβα""**

**Εξήγηση:**  
Το ήπαρ δέχεται διπλή αιμάτωση:  
1. **Αρτηριακή αιμάτωση** από την **ηπατική αρτηρία** (κλάδος της κοιλιακής αορτής).  
2. **Φλεβική αιμάτωση** από την **πυλαία φλέβα** (συλλέγει αίμα από το γαστρεντερικό σύστημα).  

Οι άλλες επιλογές είναι λανθασμένες:  
- **Α**: Η κάτω κοίλη φλέβα αποχετεύει το αίμα από το ήπαρ, όχι το τροφοδοτεί.  
- **Γ**: Η κοινή ηπατική αρτηρία είναι πρόδρομος της ηπατικής αρτηρίας, όχι ξεχωριστή.  
- **Δ**: Η άνω μεσεντέριος αρτηρία τροφοδοτεί το έντερο, όχι το ήπαρ.  
- **Ε**: Το ήπαρ δέχεται διπλή αιμάτωση, άρα η επιλογή **Ε** είναι λανθασμένη.",Β
97,"Γ. ""Πορεύονται η πυλαία φλέβα και η αριστερή γαστροεπιπλοϊκή αρτηρία""",Α
98,"Η σωστή απάντηση είναι:

**Α. ""Ανεβαίνει στο μέσο μεσοθωράκιο μεταξύ της θωρακικής αορτής και της άζυγης φλέβας""**

Ο μείζων θωρακικός πόρος (ductus thoracicus) είναι ο μεγαλύτερος λεμφικός πόρος του σώματος και πραγματικά ανεβαίνει στο μέσο μεσοθωράκιο μεταξύ της θωρακικής αορτής και της άζυγης φλέβας. Οι άλλες επιλογές περιγράφουν λανθασμένα τη θέση ή τη λειτουργία του.",Γ
99,"Γ. ""Η λέμφος της πυλωρικής μοίρας του στομάχου παροχετεύεται στους αριστερούς γαστρικούς λεμφαδένες""

Η λέμφος από την περιοχή του ελάσσονος τόξου και της μεγαλύτερης έκτασης του σώματος παροχετεύεται στους δεξιούς γαστρικούς λεμφαδένες. Ωστόσο, η λέμφος της πυλωρικής μοίρας του στομάχου παροχετεύεται στους αριστερούς γαστρικούς λεμφαδένες.

Ωστόσο, η συνολική λέμφος του στομάχου δεν παροχετεύεται αποκλειστικά στους κοιλιακούς λεμφαδένες, αλλά σε διάφορους γαστρικούς λεμφαδένες ανάλογα με την περιοχή του στομάχου.

Επομένως, καμία από τις παραπάνω προτάσεις δεν είναι πλήρως σωστή.

Δ. ""Καμμία από τις παραπάνω""",Α
102,"Γ. ""Ο στόμαχος""

Οι πρόσθιες σχέσεις του αριστερού νεφρού περιλαμβάνουν τον στόμαχο, καθώς ο νεφρός βρίσκεται πίσω από αυτόν. Ο σπλήνας και το πάγκρεας βρίσκονται πιο προς τα πίσω και δεξιά, ενώ ο στόμαχος βρίσκεται μπροστά και αριστερά.  

**Απάντηση:** Γ. ""Ο στόμαχος""",Ε
107,"Γ. ""Το τμήμα της ουρήθρας που διαπερνά το ουρογεννητικό τρίγωνο ονομάζεται υμενώδης μοίρα της ουρήθρας""

Η σωστή απάντηση είναι η Γ. ""Το τμήμα της ουρήθρας που διαπερνά το ουρογεννητικό τρίγωνο ονομάζεται υμενώδης μοίρα της ουρήθρας"".

Η προστατική μοίρα της ουρήθρας (Α) είναι το τμήμα που διαπερνά τον προστάτη αδένα, η υμενώδης μοίρα της ουρήθρας (Β) είναι το τμήμα που διαπερνά το σηραγγώδες σώμα και η υμενώδης μοίρα της ουρήθρας (Γ) είναι το τμήμα που διαπερνά το ουρογεννητικό τρίγωνο.

Όλες οι παραπάνω επιλογές είναι σωστές, επομένως η σωστή απάντηση είναι η Γ.",Α
