id,generated_answer,correct_answer
0,Α,Α
1,Γ,Γ
2,Δ,Δ
3,Δ,Δ
4,Α,Α
5,Β,Β
6,Α,Α
7,Α,Α
8,Β,Β
9,Α,Α
10,Γ,Γ
11,Β,Β
12,Γ,Γ
13,Γ,Γ
14,Α,Α
15,Α,Α
16,Β,Β
17,Γ,Γ
18,Β,Β
19,Β,Β
20,Α,Α
21,Β,Α
22,Β,Β
23,Δ,Δ
24,Α,Α
25,Γ,Γ
26,Β,Β
27,Γ,Γ
28,Δ,Δ
29,Δ,Δ
30,Δ,Δ
31,Γ,Γ
32,Γ,Γ
33,Α,Α
34,Α,Α
35,Δ,Δ
36,Β,Β
37,Β,Β
38,Α,Α
39,Γ,Γ
40,Γ,Γ
41,Γ,Γ
42,Γ,Γ
43,Δ,Δ
44,Δ,Δ
45,Β,Β
46,Β,Β
47,Α,Α
48,Α,Α
49,Δ,Δ
50,Δ,Δ
51,Α,Α
52,Β,Β
53,Β,Β
54,Γ,Γ
55,Β,Β
56,Δ,Δ
57,Α,Α
58,Γ,Γ
59,Δ,Δ
60,Β,Β
61,Α,Α
62,Β,Β
63,Γ,Γ
64,Α,Α
65,Γ,Γ
66,Α,Α
67,Β,Β
68,Β,Β
69,Α,Α
70,Γ,Γ
71,Α,Α
72,Β,Β
73,Β,Β
74,Β,Β
75,Β,Β
76,Γ,Γ
77,Β,Β
78,Δ,Δ
79,Δ,Δ
80,Γ,Γ
81,Β,Β
82,Δ,Δ
83,Α,Α
84,Α,Α
85,Β,Β
86,Γ,Γ
87,Β,Β
88,Α,Α
89,Β,Β
90,Β,Β
91,Γ,Γ
92,Α,Δ
93,Β,Β
94,Γ,Γ
95,Δ,Δ
96,Δ,Δ
97,Γ,Γ
98,Α,Α
99,Α,Α
100,Α,Α
101,Γ,Γ
102,Γ,Γ
103,Β,Β
104,Γ,Γ
105,Α,Α
106,Β,Β
107,Δ,Δ
108,Δ,Δ
109,Γ,Γ
110,Α,Α
111,Α,Α
112,Γ,Γ
113,Α,Α
114,Α,Α
115,Β,Β
116,Δ,Δ
117,Α,Α
118,Α,Α
119,Γ,Γ
120,Α,Α
121,Β,Β
122,Δ,Δ
123,Β,Β
124,Γ,Γ
125,Γ,Γ
126,Β,Β
127,Δ,Δ
128,Δ,Δ
129,Α,Α
130,Γ,Γ
131,Α,Α
132,Β,Β
133,Β,Β
134,Γ,Γ
135,Δ,Δ
136,Γ,Γ
137,Δ,Δ
138,Δ,Δ
139,Δ,Δ
140,Δ,Δ
141,Δ,Δ
142,Α,Α
143,Β,Β
144,Δ,Δ
145,Β,Β
146,Δ,Δ
147,Δ,Δ
148,Β,Β
149,Δ,Δ
150,Α,Α
151,Α,Α
152,Β,Β
153,Γ,Γ
154,Δ,Δ
155,Δ,Δ
156,Δ,Δ
157,Α,Α
158,Β,Β
159,Β,Β
160,Α,Α
161,Β,Β
162,Γ,Γ
163,Β,Β
164,Γ,Γ
165,Β,Β
166,Δ,Δ
167,Α,Α
168,Γ,Α
169,Α,Α
170,Γ,Γ
171,Β,Β
172,Δ,Δ
173,Α,Α
174,Α,Α
175,Γ,Γ
176,Α,Α
177,Δ,Δ
178,Α,Α
179,Β,Β
180,Α,Α
181,Γ,Γ
182,Γ,Γ
183,Α,Α
184,Β,Β
185,Α,Α
186,Δ,Δ
187,Β,Β
188,Δ,Δ
189,Β,Β
190,Α,Α
191,Β,Β
192,Β,Β
193,Β,Β
194,Β,Β
195,Δ,Δ
196,Β,Β
197,Γ,Γ
198,Γ,Γ
199,Γ,Γ
200,Γ,Γ
201,Β,Β
202,Β,Β
203,Δ,Δ
204,Δ,Δ
205,Δ,Δ
206,Γ,Γ
207,Β,Β
208,Β,Β
209,Α,Α
210,Γ,Γ
211,Α,Α
212,Δ,Δ
213,Γ,Γ
214,Α,Α
215,Β,Β
216,Α,Α
217,Δ,Δ
218,Β,Β
219,Β,Β
220,Β,Β
221,Α,Α
222,Γ,Γ
223,Δ,Δ
224,Β,Β
225,Α,Α
226,Γ,Γ
227,Γ,Γ
228,Γ,Γ
229,Δ,Δ
230,Α,Α
231,Α,Α
232,Β,Β
233,Β,Β
234,Γ,Γ
235,Δ,Δ
236,Δ,Δ
237,Α,Α
238,Γ,Γ
239,Α,Α
240,Δ,Δ
241,Γ,Β
242,Α,Α
243,Β,Β
244,Δ,Δ
245,Α,Α
246,Α,Α
247,Δ,Δ
248,Γ,Γ
249,Β,Β
250,Β,Β
251,Α,Α
252,Δ,Δ
253,Γ,Γ
254,Δ,Δ
255,Γ,Γ
256,Δ,Δ
257,Α,Α
258,Α,Α
259,Γ,Γ
260,Δ,Δ
261,Α,Α
262,Β,Β
263,Α,Α
264,Α,Α
265,Γ,Γ
266,Β,Β
267,Α,Α
268,Α,Α
269,Δ,Δ
270,Α,Α
271,Γ,Γ
272,Δ,Δ
273,Δ,Δ
274,Α,Α
275,Δ,Δ
276,Γ,Γ
277,Δ,Δ
278,Β,Β
279,Γ,Γ
280,Α,Α
281,Δ,Δ
282,Δ,Δ
283,Β,Β
284,Γ,Γ
285,Γ,Γ
286,Β,Β
287,Γ,Γ
288,Δ,Δ
289,Γ,Γ
290,Γ,Γ
291,Α,Α
292,Β,Β
293,Δ,Δ
294,Α,Α
295,Α,Α
296,Γ,Γ
297,Δ,Δ
298,Β,Β
299,Α,Α
300,Γ,Γ
301,Α,Α
302,Β,Β
303,Α,Α
304,Γ,Γ
305,Β,Β
306,Δ,Δ
307,Β,Β
308,Δ,Δ
309,Α,Α
310,Α,Α
311,Β,Β
312,Α,Α
313,Α,Α
314,Α,Α
315,Β,Β
316,Γ,Γ
317,Α,Α
318,Β,Β
319,Γ,Γ
320,Α,Α
321,Δ,Δ
322,Α,Α
323,Β,Β
324,Δ,Δ
325,Β,Β
326,Γ,Γ
327,Δ,Δ
328,Β,Β
329,Α,Α
330,Α,Α
331,Β,Β
332,Β,Β
333,Γ,Γ
334,Α,Α
335,Β,Β
336,Γ,Γ
337,Γ,Γ
338,Α,Α
339,Δ,Δ
340,Γ,Γ
341,Δ,Δ
342,Β,Β
343,Β,Β
344,Β,Β
345,Α,Γ
346,Δ,Δ
347,Δ,Δ
348,Β,Β
349,Δ,Δ
350,Γ,Γ
351,Β,Β
352,Β,Β
353,Β,Β
354,Γ,Γ
355,Δ,Δ
356,Γ,Γ
357,Α,Α
358,Α,Α
359,Γ,Γ
360,Γ,Γ
361,Γ,Γ
362,Γ,Γ
363,Β,Β
364,Α,Α
365,Β,Β
366,Δ,Δ
367,Γ,Γ
368,Γ,Γ
369,Β,Β
370,Α,Α
371,Δ,Δ
372,Α,Α
373,Β,Β
374,Δ,Δ
375,Α,Α
376,Β,Β
377,Δ,Δ
378,Β,Β
379,Α,Α
380,Β,Β
381,Δ,Δ
382,Β,Β
383,Γ,Γ
