id,generated_answer,correct_answer
1,"Η σωστή απάντηση είναι η **Β**.

Εξήγηση: Το εξωτερικό κλιμακοστάσιο, που ελίσσεται κοχλιωτά, είναι ο μοναδικός τρόπος πρόσβασης στον εξώστη του Λευκού Πύργου, καθώς βρίσκεται σε επαφή με τον εξωτερικό τοίχο και προσφέρει θέα 360 μοιρών στην πόλη της Θεσσαλονίκης, που είναι και ο σκοπός επίσκεψης σε αυτόν. Το εσωτερικό κλιμακοστάσιο εξυπηρετεί την πρόσβαση στους εσωτερικούς χώρους του πύργου, όχι στον εξώστη.",Α
2,"Η σωστή απάντηση είναι η **Α: ""το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο δυτικό άκρο του Φαληρικού Όρμου.""**

Το Στάδιο Ειρήνης και Φιλίας (Σ.Ε.Φ.) βρίσκεται πράγματι στο δυτικό τμήμα του Φαληρικού όρμου, απέναντι από το Στάδιο Καραϊσκάκη.",Β
3,"Η σωστή απάντηση είναι η Β: ""λογικά θα περάσει πρώτα από το Ρίο και μετά από το Αντίρριο.""

Το Ρίο και το Αντίρριο είναι γέφυρες που συνδέουν την Πελοπόννησο με την Στερεά Ελλάδα. Η σωστή αλληλουχία για να φτάσει κανείς από την Ήπειρο στην Πελοπόννησο, περνώντας από αυτά τα σημεία, είναι πρώτα το Ρίο (βγαίνοντας από την Πελοπόννησο) και στη συνέχεια το Αντίρριο (εισερχόμενος στον αυτοκινητόδρομο Ιόνια οδός που οδηγεί στη Δυτική Ελλάδα και τελικά στην Ήπειρο).",Α
4,"Η σωστή σειρά των κτηρίων της ""Αθηναϊκής Τριλογίας"" καθώς κατεβαίνουμε την οδό Πανεπιστημίου στην Αθήνα είναι:

Β. ""Πανεπιστήμιο, Βιβλιοθήκη, Ακαδημία.""

Η Αθηναϊκή Τριλογία, από αριστερά προς τα δεξιά, αποτελείται από το κτίριο της Βιβλιοθήκης του Αδριανού, το Πανεπιστήμιο Αθηνών και την Ακαδημία Αθηνών.",Α
5,"Η σωστή απάντηση είναι το γράμμα **Β. ""το νησί Στρογγύλη.""**

Το νησί Στρογγύλη, μαζί με το Καστελλόριζο, αποτελούν τα Δωδεκάνησα τα οποία βρίσκονται στο ανατολικότερο σημείο της Ελλάδας και της Ευρωπαϊκής Ένωσης. Η Στρογγύλη είναι μάλιστα το ακριβές ανατολικότερο σημείο της χώρας μας.",Β
6,"Η σωστή απάντηση είναι το **Α. ""το νησί Οθωνοί.""**

Οι Οθωνοί είναι το δυτικότερο σημείο της Ελλάδας και βρίσκονται στο Ιόνιο πέλαγος.",Α
7,"Η σωστή απάντηση είναι η Β: ""η βορειότερη περιοχή της Ελλάδας.""

Το Ορμένιο είναι το βορειότερο σημείο της Ελλάδας με μόνιμο πληθυσμό, ενώ η φράση ""κατοικημένη περιοχή"" θα μπορούσε να περιλαμβάνει και μικρότερες οικιστικές συγκεντρώσεις νοτιότερα, που δεν έχουν μόνιμο πληθυσμό όλο το έτος.",Α
8,"Β

Η Γαύδος βρίσκεται στο νοτιότερο σημείο της Ελλάδας, γνωστό και ως Κάβο Μαλιάς.",Β
9,"Η σωστή απάντηση είναι η **Β. ""Η μαιανδρικότητα του Α είναι μικρότερη από αυτή του Β.""**

Αιτιολόγηση:
Η μαιανδρικότητα (μεανδρικότητα) ενός ποταμού σχετίζεται με το μήκος της κοίτης και την απόσταση πηγών-εκβολής (ή την έκταση του λεκανοπεδίου αν πρόκειται για κλειστή λεκάνη απορροής).

Παρότι το μήκος της σπείρας (μαιάνδρου) ανά μονάδα μήκους της κοίτης δεν μας δίνεται άμεσα, μπορούμε να κάνουμε τις εξής παρατηρήσεις:
- Ο ποταμός Β με μεγαλύτερη συνολική απόσταση από τις πηγές μέχρι την εκβολή (16 χλμ έναντι 8 χλμ του Α) σε σχέση με το μήκος της κοίτης του (18 χλμ έναντι 10 χλμ) πιθανότατα έχει διαγράψει μεγαλύτερη καμπύλη για να καλύψει αυτή την απόσταση, δημιουργώντας πιο περίπλοκη πορεία.
- Αυτό υποδεικνύει μεγαλύτερη μαιανδρικότητα για τον ποταμό Β.

Η μαιανδρικότητα αυξάνεται με την ανάγκη του ποταμού να διαγράψει μεγαλύτερη διαδρομή για να υπερβεί εμπόδια ή να διαβρώσει το έδαφος, συνθήκη που πληρείται περισσότερο στον ποταμό Β λόγω του αναλογικού μεγαλύτερου λόγου απόστασης/μήκους.",Α
10,"Η σωστή απάντηση είναι το **Α. ""Το γάλα.""**

Η παραδοσιακή διατροφή των Σαρακατσάνων, που είναι κυρίως νομαδικός πληθυσμός, βασιζόταν σε μεγάλο βαθμό στη κτηνοτροφία που ασκούσαν. Το γάλα, επομένως, αποτελούσε βασικό συστατικό των τροφών τους και φυσικά των γλυκών τους, ιδιαίτερα σε περιοχές όπου η συλλογή ή παραγωγή άλλων πρώτων υλών ήταν δυσχερής κατά τη διάρκεια των μετακινήσεών τους. Το σιτάρι, αν και σημαντικό, δεν ήταν το μοναδικό ούτε το κύριο συστατικό για την παρασκευή γλυκών, καθώς η παραγωγή του απαιτούσε μόνιμη εγκατάσταση και αγροτικές δραστηριότητες.",Α
11,"Η σωστή απάντηση είναι η Β: ""από άγριο ή ήμερο ζώο.""

Το στιφάδο είναι ένα παραδοσιακό ελληνικό φαγητό που μπορεί να παρασκευαστεί είτε με κρέας άγριων ζώων (αγριογούρουνο) είτε με ήμερο κρέας (συνήθως μοσχάρι).",Β
