id,generated_answer,correct_answer
16,Δ.,Δ
28,Α,Γ
30,Γ,Β
37,Γ,Γ
40,Γ,Γ
57,Γ,Ε
58,Α,Β
65,Β,Ε
67,Γ,Γ
70,Α,Α
72,Δ.,Ε
84,Β,Γ
88,Ε.,Α
94,Β,Β
97,Α,Α
98,Γ,Γ
99,Δ,Α
102,Ε,Ε
107,Α,Α
108,Β,Γ
111,Α,Α
117,Β,Β
121,Β,Β
123,Β,Β
124,Ε.,Α
129,Γ,Α
138,Α,Α
146,Β,Α
154,Α,Α
163,Β,Γ
166,Β,Δ
176,Δ,Δ
179,Α,Β
181,Δ,Γ
182,Γ,Γ
187,Α,Α
188,Ε,Ε
190,Γ,Γ
191,Γ,Γ
202,Β,Α
204,Α,Ε
207,Γ,Γ
208,Β,Β
213,Γ,Δ
221,Γ,Γ
224,Β,Β
225,Γ,Γ
229,Γ,Γ
230,Γ,Γ
233,Δ.,Δ
235,Δ,Δ
237,Β,Δ
240,Β,Β
247,Δ,Α
252,Γ,Γ
254,Δ.,Δ
264,Γ,Γ
267,Β,Α
283,Δ,Δ
287,Ε,Β
289,Γ,Γ
297,Β,Β
300,Δ.,Α
302,Α,Ε
303,Β,Β
304,Δ.,Δ
308,Β,Β
312,Γ,Β
314,Δ,Δ
315,Α,Α
318,Δ.,Δ
327,Β,Β
328,Β,Δ
331,Α,Α
332,Δ.,Γ
333,Γ,Γ
335,Γ,Γ
337,Γ,Γ
339,Β,Ε
345,Α,Α
351,Γ,Γ
362,Γ,Γ
371,Δ.,Δ
373,Β,Β
380,Δ.,Δ
389,Β,Γ
391,Β,Β
396,Α,Α
401,Δ.,Δ
403,Γ,Γ
404,Α,Α
405,Δ,Δ
406,Δ,Δ
410,Δ.,Δ
415,Α,Α
426,Δ,Δ
438,Ε,Ε
440,Α,Α
441,Β,Β
444,Β,Β
449,Ε,Ε
453,Γ,Γ
454,Γ,Γ
456,Γ,Γ
460,Δ,Δ
466,Α,Α
471,Α,Α
483,Ε.,Β
490,Δ,Δ
499,Γ,Γ
504,Δ.,Δ
507,Ε,Ε
509,Α,Α
517,Δ,Δ
521,Δ.,Δ
530,Β,Β
536,Β,Β
539,Β,Β
550,Δ.,Δ
552,Γ,Δ
566,Γ,Γ
572,Ε,Ε
574,Δ.,Δ
580,Γ,Γ
583,Β,Β
590,Γ,Β
595,Δ,Δ
