id,question,answers,best_answer,best_answer_index
1,"Για να επισκεφθεί κανείς τον εξώστη του Λευκού Πύργου,","Α. ""χρειάζεται να ανέβει τους έξι ορόφους του πύργου (μέσω του εσωτερικού κλιμακοστάσιου, το οποίο ελίσσεται κοχλιωτά και σε επαφή με τον εξωτερικό τοίχο).""

Β. ""χρειάζεται να ανέβει τους έξι ορόφους του πύργου (μέσω του εξωτερικού κλιμακοστάσιου, το οποίο ελίσσεται κοχλιωτά και σε επαφή με τον εξωτερικό τοίχο).""","χρειάζεται να ανέβει τους έξι ορόφους του πύργου (μέσω του εσωτερικού κλιμακοστάσιου, το οποίο ελίσσεται κοχλιωτά και σε επαφή με τον εξωτερικό τοίχο).",Α
2,Το Στάδιο Ειρήνης και Φιλίας χτίστηκε,"Α. ""το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο δυτικό άκρο του Φαληρικού Όρμου.""

Β. ""το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο ανατολικό άκρο του Φαληρικού Όρμου.""",το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο ανατολικό άκρο του Φαληρικού Όρμου.,Β
3,"Αν θέλει κανείς να ταξιδέψει από την πρωτεύουσα της Περιφέρειας Ηπείρου προς την πρωτεύουσα της Περιφέρειας Πελοποννήσου,","Α. ""λογικά θα περάσει πρώτα από το Αντίρριο και μετά από το Ρίο.""

Β. ""λογικά θα περάσει πρώτα από το Ρίο και μετά από το Αντίρριο.""",λογικά θα περάσει πρώτα από το Αντίρριο και μετά από το Ρίο.,Α
4,"Κατεβαίνοντας την οδό Πανεπιστημίου στο κέντρο της Αθήνας, θα περάσεις μπροστά από τα εξής κτήρια της ""Αθηναϊκής Τριλογίας"":","Α. ""Ακαδημία, Πανεπιστήμιο, Βιβλιοθήκη.""

Β. ""Πανεπιστήμιο, Βιβλιοθήκη, Ακαδημία.""","Ακαδημία, Πανεπιστήμιο, Βιβλιοθήκη.",Α
5,Το ανατολικότερο άκρο της Ελλάδας είναι,"Α. ""το νησί Καστελλόριζο.""

Β. ""το νησί Στρογγύλη.""",το νησί Στρογγύλη.,Β
6,Στο δυτικότερο σημείο της Ελλάδας βρίσκεται,"Α. ""το νησί Οθωνοί.""

Β. ""το νησί Ερείκουσα.""",το νησί Οθωνοί.,Α
7,Το Ορμένιο είναι,"Α. ""η βορειότερη κατοικημένη περιοχή της Ελλάδας.""

Β. ""η βορειότερη περιοχή της Ελλάδας.""",η βορειότερη κατοικημένη περιοχή της Ελλάδας.,Α
8,Ποιο νησί βρίσκεται στο νοτιότερο σημείο της Ελλάδας;,"Α. ""Το νησί Χρυσή (Γαϊδουρονήσι).""

Β. ""Το νησί Γαύδος.""",Το νησί Γαύδος.,Β
9,Οι κοίτες δύο ποταμών Α και Β έχουν μήκος 10 και 18 χιλιόμετρα αντίστοιχα. Οι πηγές του Α απέχουν από την εκβολή του 8 χιλιόμετρα. Οι πηγές του Β απέχουν από την εκβολή του 16 χιλιόμετρα.,"Α. ""Η μαιανδρικότητα του Α είναι μεγαλύτερη από αυτή του Β.""

Β. ""Η μαιανδρικότητα του Α είναι μικρότερη από αυτή του Β.""",Η μαιανδρικότητα του Α είναι μεγαλύτερη από αυτή του Β.,Α
10,Ποιο είναι το βασικό συστατικό των γλυκών που φτιάχνουν οι ορεσίβιοι Σαρακατσάνοι;,"Α. ""Το γάλα.""

Β. ""Το σιτάρι.""",Το γάλα.,Α
