id,generated_answer,correct_answer
0,Β,Α
1,Α,Α
2,Δ.,Δ
3,Γ,Γ
4,Δ.,Δ
5,Α,Α
6,Δ.,Δ
7,Η.,Η
8,Β,Β
9,Θ.,Θ
10,Ε.,Ε
11,Α,Α
12,Δ.,Δ
13,Β,Α
14,Ζ,Ζ
15,Α.,Β
16,Γ,Ζ
17,Κ.,Κ
18,Ζ,Ζ
19,Δ.,Δ
20,Γ,Γ
21,Δ,Δ
22,Α,Α
23,Β,Β
24,Θ,Θ
25,Γ,Β
26,Ε,Ε
27,Γ,Ζ
28,Α,Α
29,Ζ,Ζ
30,Δ,Δ
31,Β,Ζ
32,Α,Α
33,Α,Γ
34,Α,Γ
35,Ε.,Ε
36,Γ,Γ
37,Δ.,Δ
38,Δ,Δ
39,Δ.,Δ
40,Ζ,Ζ
41,Δ.,Ε
42,Ε,Ε
43,Ε,Ε
44,Ε.,Ζ
45,Α,Β
46,Γ,Γ
47,Β,Β
48,Α,Α
49,Γ,Γ
50,Γ,Γ
51,Α,Α
52,Β,Β
53,Β,Β
54,Α,Ζ
55,Γ,Γ
56,Δ.,Δ
57,Ε,Ε
58,Δ.,Δ
59,Γ,Γ
60,Δ,Δ
61,Α,Β
62,Γ,Γ
63,Ε.,Ε
64,Β,Β
65,Β,Α
66,Ε.,Ε
67,Ε,Ε
68,Β,Α
69,Γ,Γ
70,Δ,Δ
71,Β,Α
72,Β,Ζ
73,Β,Ε
74,Β,Β
75,Ι,Ι
76,Γ,Θ
77,Α,Α
78,Δ.,Δ
79,Δ.,Δ
80,Α,Ε
81,Α,Α
82,Δ.,Α
83,Β,Β
84,Γ,Γ
85,Ε.,Α
86,Γ,Γ
87,Γ,Β
88,Ι,Ι
89,Α,Α
90,Γ,Β
91,Α,Ζ
92,Δ.,Δ
93,Ε.,Ε
94,Γ,Γ
95,Ζ,Ε
96,Δ.,Δ
97,Β,Δ
98,Ε.,Α
99,Δ.,Δ
100,Γ,Γ
101,Δ.,Δ
102,Β,Β
103,Ε.,Ε
104,Δ,Δ
105,Δ.,Α
106,Γ,Γ
107,Β,Β
108,Γ,Γ
109,Β,Β
110,Δ.,Δ
111,Ζ,Ζ
112,Γ,Γ
113,Γ,Α
114,Α,Α
115,Β,Β
116,Δ,Δ
117,Α,Α
118,Α,Α
119,Α,Α
120,Γ,Γ
121,Α,Α
122,Γ,Γ
123,Β,Β
124,Α,Α
125,Α,Α
126,Β,Β
127,Β,Γ
128,Α,Ε
129,Β,Α
130,Β,Δ
131,Γ,Γ
132,Γ,Γ
133,Ε.,Ε
134,Α,Α
135,Γ,Ζ
136,Δ.,Γ
137,Β,Α
138,Δ.,Δ
139,Δ,Δ
140,Δ.,Δ
141,Γ,Α
142,Α,Β
143,Γ,Γ
144,Γ,Β
145,Γ,Γ
146,Α,Α
147,Β,Β
148,Β,Β
149,Δ.,Δ
150,Δ,Γ
151,Α,Β
152,Γ,Β
153,Γ,Γ
154,Β,Β
155,Β,Γ
156,Α,Α
157,Β,Α
158,Α,Α
159,Α,Α
160,Α,Α
161,Β,Β
162,Γ,Γ
163,Β,Β
164,Δ.,Ζ
165,Β,Β
166,Δ,Δ
167,Α,Α
168,Γ,Δ
169,Ζ.,Ζ
170,Γ,Γ
171,Δ.,Ε
172,Ε.,Ε
173,Δ,Δ
174,Γ,Γ
175,Α,Γ
176,Α,Α
177,Δ.,Δ
178,Β,Β
179,Δ,Δ
180,Γ,Γ
181,Β,Δ
182,Δ.,Δ
183,Β,Α
184,Β,Α
185,Β,Β
186,Β,Β
187,Δ.,Δ
188,Δ,Δ
189,Γ,Γ
190,Β,Β
191,Δ,Β
192,Α,Α
193,Ε.,Ε
194,Β,Β
195,Γ,Δ
196,Δ,Δ
197,Α,Α
198,Α,Α
199,Β,Γ
200,Α,Α
201,Α,Γ
202,Β,Β
203,Α,Ε
204,Β,Β
205,Γ,Ε
206,Α,Α
207,Δ.,Δ
208,Γ,Ε
209,Γ,Β
210,Α,Α
211,Δ.,Δ
212,Β,Β
213,Α,Α
214,Δ,Δ
215,Δ,Δ
216,Α,Α
217,Α,Α
218,Α,Β
219,Β,Α
220,Β,Α
221,Δ.,Δ
222,Α,Α
223,Γ,Γ
224,Β,Β
225,Α,Α
226,Β,Β
227,Α,Α
228,Δ.,Δ
229,Θ,Θ
230,Β,Β
231,Γ,Γ
232,Γ,Γ
233,Δ,Δ
234,Γ,Γ
235,Α.,Α
236,Γ,Γ
237,Γ,Γ
238,Β,Β
239,Θ,Θ
240,Β,Θ
241,Α,Β
242,Β,Β
243,Γ,Γ
244,Β,Β
245,Γ,Γ
246,Γ,Γ
247,Α,Α
248,Β,Β
249,Ε.,Ε
250,Γ,Γ
251,Γ,Γ
252,Β,Α
253,Β,Β
254,Δ.,Α
255,Α,Α
256,Γ,Γ
257,Ε.,Ε
258,Ε,Ε
259,Β,Β
260,Δ.,Δ
261,Β,Β
262,Γ,Γ
263,Γ,Α
264,Γ,Γ
265,Α,Β
266,Α,Α
267,Ε.,Ε
268,Δ.,Δ
269,Γ,Γ
270,Δ,Δ
271,Β,Β
