id,question,answers,best_answer,best_answer_index
1Γ-2025-20250527-1-1,Η ελευθερία έκφρασης γνώμης ασκείται:,"Α. ""Από τους/τις Έλληνες/ίδες πολίτες""

Β. ""Από όσους/ες ευρίσκονται στην Ελληνική επικράτεια""

Γ. ""Από τους/τις Έλληνες/ίδες πολίτες και τους/τις Έλληνες/ίδες ομογενείς""

Δ. ""Από τους/τις κατόχους της κοινής Ευρωπαϊκής ιθαγένειας""",Από όσους/ες ευρίσκονται στην Ελληνική επικράτεια,Β
1Γ-2025-20250527-1-2,Τα βασανιστήρια:,"Α. ""Επιτρέπονται για την αποτροπή τρομοκρατικής επίθεσης""

Β. ""Δεν επιτρέπονται σε καμία περίπτωση""

Γ. ""Επιτρέπονται με νόμο που ψηφίζει η Βουλή με τα 3/5 των μελών της""

Δ. ""Επιτρέπονται για την προστασία της εδαφικής ακεραιότητας της χώρας""",Δεν επιτρέπονται σε καμία περίπτωση,Β
1Γ-2025-20250527-1-3,Το δικαίωμα επιλογής επαγγέλματος:,"Α. ""Αποτελεί έκφραση της ελευθερίας συμμετοχής στην κοινωνική ζωή της Χώρας""

Β. ""Δεν αποτελεί έκφραση της ελευθερίας συμμετοχής στην οικονομική ζωή της Χώρας""

Γ. ""Δεν αποτελεί δικαίωμα""

Δ. ""Είναι ειδική μορφή της οικονομικής ελευθερίας""",Είναι ειδική μορφή της οικονομικής ελευθερίας,Δ
1Γ-2025-20250527-1-4,Η ελευθερία ανάπτυξης της προσωπικότητας (άρ. 5 παρ. 1 Συντ.) ασκείται:,"Α. ""Μόνο από τους/τις Έλληνες/ίδες πολίτες""

Β. ""Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς""

Γ. ""Μόνο από τους/τις Έλληνες/ίδες και Ευρωπαίους/ες πολίτες""

Δ. ""Μόνο από τους/τις Έλληνες/ίδες πολίτες και τους/τις ομογενείς""","Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς",Β
1Γ-2025-20250527-1-5,Κατοικία κατά την έννοια του άρ. 9 Συντ. αποτελεί:,"Α. ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως και εργασίας""

Β. ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως μόνο""

Γ. ""Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο εργασίας μόνο""

Δ. ""Κάθε χώρος που ο άνθρωπος διαμένει έστω και για λίγες ώρες όπως το δωμάτιο ξενοδοχείου""",Κάθε χώρος που ο άνθρωπος διαμένει έστω και για λίγες ώρες όπως το δωμάτιο ξενοδοχείου,Δ
1Γ-2025-20250527-1-6,Η ευθανασία:,"Α. ""Είναι συλλογικό δικαίωμα""

Β. ""Είναι κοινωνικό δικαίωμα""

Γ. ""Δεν αναγνωρίζεται στο ελληνικό δίκαιο""

Δ. ""Κατοχυρώνεται στο Σύνταγμα""",Δεν αναγνωρίζεται στο ελληνικό δίκαιο,Γ
1Γ-2025-20250527-1-7,Η αξία του ανθρώπου είναι:,"Α. ""Υποκειμενικό συνταγματικό δικαίωμα""

Β. ""Αντικειμενική συνταγματική αρχή""

Γ. ""Νομοθετικός κανόνας""

Δ. ""Πολιτικό δικαίωμα""",Αντικειμενική συνταγματική αρχή,Β
1Γ-2025-20250527-1-8,Το δικαίωμα στο εκλέγειν και το εκλέγεσθαι είναι:,"Α. ""Ατομικό δικαίωμα""

Β. ""Πολιτικό δικαίωμα""

Γ. ""Συλλογικό δικαίωμα""

Δ. ""Κοινωνικό δικαίωμα""",Πολιτικό δικαίωμα,Β
1Γ-2025-20250527-1-9,Η ελεύθερη ανάπτυξη της προσωπικότητας:,"Α. ""Εμπεριέχει τη σεξουαλική ελευθερία""

Β. ""Δεν εξαρτάται από τα χρηστά ήθη""

Γ. ""Είναι συλλογικό δικαίωμα""

Δ. ""Δεν περιορίζεται""",Εμπεριέχει τη σεξουαλική ελευθερία,Α
1Γ-2025-20250527-1-10,"Σύμφωνα με το άρθρο 120 του Συντάγματος, το δικαίωμα αντίστασης ασκείται σε περιπτώσεις:","Α. ""Κατάλυσης του Συντάγματος""

Β. ""Αναθεώρησης του Συντάγματος""

Γ. ""Αντισυνταγματικότητας ενός νόμου""

Δ. ""Περιορισμού των ατομικών δικαιωμάτων""",Κατάλυσης του Συντάγματος,Α
