id,generated_answer,correct_answer
1Γ-2025-20250527-1-1,Β,Β
1Γ-2025-20250527-1-2,Β,Β
1Γ-2025-20250527-1-3,Α,Δ
1Γ-2025-20250527-1-4,Β,Β
1Γ-2025-20250527-1-5,Β,Δ
1Γ-2025-20250527-1-6,Γ,Γ
1Γ-2025-20250527-1-7,Β,Β
1Γ-2025-20250527-1-8,Β,Β
1Γ-2025-20250527-1-9,Δ,Α
1Γ-2025-20250527-1-10,Α,Α
1Γ-2025-20250527-1-11,Δ,Α
1Γ-2025-20250527-1-12,Β,Β
1Γ-2025-20250527-1-13,Β,Α
1Γ-2025-20250527-1-14,Α,Α
1Γ-2025-20250527-1-15,Β,Α
1Γ-2025-20250527-1-16,Γ,Γ
1Γ-2025-20250527-1-17,Γ,Γ
1Γ-2025-20250527-1-18,Δ,Δ
1Γ-2025-20250527-1-19,Γ,Γ
1Γ-2025-20250527-1-20,Α,Α
1Γ-2025-20250527-1-21,Γ,Γ
1Γ-2025-20250527-1-22,Δ,Δ
1Γ-2025-20250527-1-23,Β,Β
1Γ-2025-20250527-1-24,Β,Α
1Γ-2025-20250527-1-25,Γ,Γ
1Γ-2025-20250527-1-26,Α,Α
1Γ-2025-20250527-1-27,Β,Β
1Γ-2025-20250527-1-28,Β,Β
1Γ-2025-20250527-1-29,Β,Α
1Γ-2025-20250527-1-30,Α,Α
1Γ-2025-20250527-1-31,Β,Δ
1Γ-2025-20250527-1-32,Γ,Γ
1Γ-2025-20250527-1-33,Β,Β
1Γ-2025-20250527-1-34,Β,Α
1Γ-2025-20250527-1-35,Δ,Δ
1Γ-2025-20250527-1-36,Δ,Α
1Γ-2025-20250527-1-37,Β,Α
1Γ-2025-20250527-1-38,Β,Α
1Γ-2025-20250527-1-39,Β,Β
1Γ-2025-20250527-1-40,Α,Β
1Γ-2025-20250527-1-41,Γ,Α
1Γ-2025-20250527-1-42,Β,Α
1Γ-2025-20250527-1-43,Β,Β
1Γ-2025-20250527-1-44,Α,Β
1Γ-2025-20250527-1-45,Δ,Δ
1Γ-2025-20250527-1-46,Β,Β
1Γ-2025-20250527-1-47,Β,Α
1Γ-2025-20250527-1-48,Β,Α
1Γ-2025-20250527-1-49,Γ,Α
1Γ-2025-20250527-1-50,Α,Α
1Γ-2025-20250527-1-51,Γ,Β
1Γ-2025-20250527-1-52,Δ,Α
1Γ-2025-20250527-1-53,Β,Β
1Γ-2025-20250527-1-54,Β,Α
1Γ-2025-20250527-1-55,Α,Α
1Γ-2025-20250527-1-56,Β,Α
1Γ-2025-20250527-1-57,Δ,Δ
1Γ-2025-20250527-1-58,Γ,Δ
1Γ-2025-20250527-1-59,Δ,Β
1Γ-2025-20250527-1-60,Β,Α
1Γ-2025-20250527-1-61,Γ,Γ
1Γ-2025-20250527-1-62,Α,Δ
1Γ-2025-20250527-1-63,Α,Α
1Γ-2025-20250527-2-1,Γ,Δ
1Γ-2025-20250527-2-2,Γ,Α
1Γ-2025-20250527-2-3,Β,Δ
1Γ-2025-20250527-2-4,Β,Β
1Γ-2025-20250527-2-5,Γ,Β
1Γ-2025-20250527-2-6,Γ,Α
1Γ-2025-20250527-2-7,Β,Β
1Γ-2025-20250527-2-8,Β,Γ
