id,generated_answer,correct_answer
0,Β,Β
1,Β,Α
2,Β,Γ
3,Β,Γ
4,Δ,Δ
5,Β,Β
6,Β,Δ
7,Α,Δ
8,Α,Α
9,Β,Β
10,Β,Β
11,Β,Δ
12,Β,Γ
13,Δ,Δ
14,Β,Δ
15,Β,Γ
16,Β,Β
17,Β,Γ
18,Β,Β
19,Β,Α
20,Δ,Δ
21,Β,Α
22,Β,Β
23,Β,Γ
24,Δ,Δ
25,Β,Β
26,Β,Β
27,Β,Δ
28,Β,Β
29,Β,Β
30,Γ,Γ
31,Β,Α
32,Β,Δ
33,Δ,Δ
34,Δ,Β
35,Β,Γ
36,Β,Γ
37,Δ,Γ
38,Γ,Γ
39,Β,Β
40,Α,Α
41,Α,Α
42,Δ,Γ
43,Β,Β
44,Α,Α
45,Β,Β
46,Γ,Δ
47,Γ,Γ
48,Γ,Α
49,Β,Δ
50,Γ,Δ
51,Γ,Γ
52,Γ,Δ
53,Δ,Α
54,Γ,Δ
55,Β,Β
56,Α,Α
57,Α,Α
58,Δ,Δ
59,Β,Β
60,Β,Β
61,Β,Β
62,Δ,Δ
63,Β,Β
64,Β,Β
65,Δ,Δ
66,Γ,Γ
67,Γ,Α
68,Β,Α
69,Γ,Γ
70,Α,Α
71,Γ,Γ
72,Β,Β
73,Α,Α
74,Β,Δ
75,Γ,Β
76,Β,Δ
77,Β,Β
78,Γ,Γ
79,Β,Β
80,Δ,Α
81,Γ,Γ
82,Α,Δ
83,Γ,Γ
84,Β,Β
85,Α,Α
86,Γ,Γ
87,Β,Β
88,Α,Α
89,Γ,Γ
90,Γ,Γ
91,Β,Β
92,Β,Γ
93,Β,Γ
94,Δ,Δ
95,Β,Β
96,Δ,Δ
97,Α,Α
98,Β,Β
99,Α,Α
100,Γ,Γ
101,Γ,Γ
102,Β,Β
103,Δ,Δ
104,Η σωστή απάντηση είναι **Γ**.,Γ
105,Β,Β
106,Α,Δ
107,Α,Δ
108,"Η σωστή απάντηση είναι **(Β) ""14""**.

**Λύση:**
1. **Δίνεται η συνάρτηση κόστους:**
   \( TC = 10 + 20L + 10Q \),
   όπου:
   - \( L \) = μονάδες εργασίας,
   - \( Q \) = ποσότητα προϊόντος.

2. **Σχέση παραγωγής:**
   Μια μονάδα εργασίας (\( L = 1 \)) παράγει \( Q = 5 \) μονάδες προϊόντος.

3. **Υπολογισμός μεταβλητού κόστους (VC):**
   Το σταθερό κόστος είναι \( 10 \), ενώ το μεταβλητό κόστος αποτελείται από τους όρους \( 20L + 10Q \).
   Για \( L = 1 \) και \( Q = 5 \):
   \( VC = 20(1) + 10(5) = 20 + 50 = 70 \).

4. **Μέσο μεταβλητό κόστος (AVC):**
   \( AVC = \frac{VC}{Q} = \frac{70}{5} = 14 \).

**Απάντηση:** **(Β)**",Β
109,Γ,Δ
110,(Β),Δ
111,Β,Β
112,Γ,Γ
113,Γ,Γ
114,Γ,Γ
115,Β,Β
116,Β,Β
117,Β,Β
118,Β,Δ
119,"Για να υπολογίσουμε την ελαστικότητα ζήτησης ως προς την τιμή στο σημείο Α, χρησιμοποιούμε τη μορφή της ελαστικότητας για γραμμική καμπύλη ζήτησης:

\[ E_d = \frac{\Delta Q}{\Delta P} \cdot \frac{P}{Q} \]

Για γραμμική καμπύλη ζήτησης, η ελαστικότητα στο σημείο Α (ή Β) μπορεί να υπολογιστεί με τη σχέση:

\[ E_d = \frac{Q_A + Q_B}{P_A + P_B} \cdot \frac{P_A}{Q_A} \]

Αλλά μια πιο απλή και κοινή μέθοδος για γραμμική καμπύλη ζήτησης είναι:

\[ E_d = \frac{\text{Μέση μεταβολή της ποσότητας}}{\text{Μέση μεταβολή της τιμής}} \cdot \frac{\text{Μέση τιμή}}{\text{Μέση ποσότητα}} \]

Αλλά για γραμμική καμπύλη ζήτησης, η ελαστικότητα στο σημείο Α υπολογίζεται ως:

\[ E_d = \frac{\Delta Q}{\Delta P} \cdot \frac{P_A}{Q_A} \]

όπου:
- \(\Delta Q = Q_B - Q_A = 30 - 50 = -20\)
- \(\Delta P = P_B - P_A = 15 - 10 = 5\)

Έτσι:

\[ E_d = \frac{-20}{5} \cdot \frac{10}{50} = -4 \cdot 0.2 = -0.8 \]

Η σωστή απάντηση είναι **Α**.",Α
120,Β,Β
121,Β,Α
122,Β,Α
123,Δ,Δ
124,Δ,Δ
125,Β,Β
126,Β,Β
127,Γ,Γ
128,Η σωστή απάντηση είναι **Δ**.,Γ
129,Γ,Γ
130,Δ,Β
131,Α,Α
132,Β,Γ
133,Β,Δ
134,Β,Β
135,Δ,Δ
136,Δ,Α
137,Β,Β
138,Γ,Γ
139,Γ,Β
140,Β,Β
141,Β,Β
142,Δ,Γ
143,Γ,Γ
144,Γ,Β
145,"Η σωστή απάντηση είναι **Δ**. Η ελαστικότητα ζήτησης για το πετρέλαιο θέρμανσης είναι **|ΕD| > 1**, καθώς οι ένοικοι αγοράζουν σταθερή ποσότητα (1.000 λίτρα) κάθε μήνα παρά τις διακυμάνσεις της τιμής, δείχνοντας ότι η ζήτητά τους είναι **ελαστική** (αποκλίνει πολύ η ποσότητα ζήτησης σε σχέση με τις μεταβολές της τιμής).

(Δ)",Γ
146,Β,Β
147,Δ,Δ
148,Γ,Γ
149,Β,Γ
150,Δ,Δ
151,Β,Γ
152,Γ,Γ
153,Δ,Β
154,Β,Β
155,Γ,Γ
156,Β,Γ
157,Β,Β
158,Γ,Γ
159,Β,Β
160,Γ,Γ
161,Β,Δ
162,Β,Γ
163,Δ,Δ
164,Γ,Γ
165,Γ,Γ
166,Β,Β
167,Α,Δ
168,Γ,Γ
169,Δ,Γ
170,Β,Β
171,Δ,Δ
172,Α,Α
173,Β,Β
174,Γ,Γ
175,Γ,Δ
176,Γ,Β
177,Δ,Β
178,Β,Γ
179,Β,Γ
180,Β,Β
181,Δ,Δ
182,Β,Γ
183,Δ,Δ
184,Α,Δ
185,Γ,Γ
186,Β,Α
187,Γ,Δ
188,Β,Β
189,Α,Α
190,Α,Α
191,Β,Δ
192,Γ,Α
193,Δ,Δ
194,Δ,Δ
195,Δ,Α
196,Γ,Γ
197,Β,Β
198,Γ,Α
199,Γ,Γ
200,Γ,Β
201,Γ,Γ
202,Γ,Γ
203,Γ,Γ
204,Δ,Γ
205,Β,Γ
206,Β,Γ
207,Γ,Γ
208,Δ,Δ
209,Γ,Γ
210,Β,Β
211,Β,Α
212,Α,Α
213,Γ,Δ
214,Β,Γ
215,Β,Β
216,Α,Α
217,Β,Δ
218,Β,Α
219,Δ,Γ
220,Β,Β
221,Δ,Δ
222,Β,Β
223,Δ,Δ
224,"Η σωστή απάντηση είναι **Δ. ""|ΕD| > 1.""**

*(Δηλαδή η ελαστικότητα ζήτησης είναι μεγαλύτερη από 1 σε απόλυτη τιμή, υποδεικνύοντας ελαστική ζήτηση.)*",Γ
225,Γ,Β
226,Β,Β
227,Δ,Δ
228,Γ,Γ
229,Δ,Δ
230,"Η ελαστικότητα ζήτησης ως προς την τιμή (IE_DI) σε ευθεία γραμμή ζήτησης που τέμνει τους άξονες είναι **μονάδα (1)** μόνο αν η γραμμή είναι **υπερβολή** (δηλαδή έχει κλίση που εξαρτάται από τις τιμές, όπως y = k/x).

Σε μια **ευθεία γραμμή** που τέμνει τους άξονες (όπως η ερώτηση περιγράφει), η ελαστικότητα **δεν είναι σταθερή** και **δεν ισούται με 1** σε όλο το μήκος της καμπύλης. Ωστόσο, **στο μέσο Μ του τμήματος ΑΒ**, η ελαστικότητα **ισούται με 1** επειδή η ευθεία είναι γραμμική και η ελαστικότητα σε τέτοια περίπτωση είναι **1 στο μέσο σημείο** (από μαθηματική άποψη, η ελαστικότητα σε ευθεία γραμμή είναι η αντίστροφη της κλίσης, και στο μέσο σημείο η κλίση ισούται με την αντίστροφη της ελαστικότητας, δηλαδή IE_DI = 1).

**Σωστή απάντηση: Γ. ""IE_DI=1""**",Γ
231,Β,Γ
232,Β,Α
233,Β,Α
234,Β,Β
235,Δ,Δ
236,Β,Β
237,Γ,Β
238,Δ,Δ
239,Β,Α
240,Β,Δ
241,Γ,Α
242,Γ,Β
243,Δ,Γ
244,Β,Α
245,Β,Δ
246,Δ,Α
247,Β,Α
248,Α,Α
249,Δ,Δ
250,Α,Α
251,Δ,Β
252,Β,Α
253,Δ,Δ
254,Δ,Α
255,Δ,Γ
256,Α,Α
257,Γ,Γ
258,Β,Β
259,Β,Δ
260,Δ,Γ
261,Γ,Δ
262,Β,Δ
263,Δ,Δ
264,Β,Δ
265,Δ,Δ
266,Α,Γ
267,Γ,Γ
268,Β,Α
269,Β,Δ
270,Δ,Δ
271,Δ,Δ
272,Β,Β
273,Δ,Δ
274,Γ,Γ
275,Β,Β
276,Γ,Γ
277,Β,Β
278,Α,Α
279,Γ,Δ
280,Β,Γ
281,Β,Α
282,Γ,Γ
283,Β,Β
284,Β,Γ
285,Γ,Γ
286,Β,Γ
287,Β,Β
288,Γ,Β
289,Β,Α
290,Β,Δ
291,Β,Δ
292,Γ,Δ
293,Γ,Γ
294,Α,Α
295,Δ,Δ
296,Β,Δ
297,Β,Δ
298,Β,Β
299,Β,Δ
300,Β,Β
301,Β,Β
302,Γ,Γ
303,Γ,Β
304,Β,Β
305,Γ,Α
306,Γ,Α
307,Β,Β
308,Γ,Γ
309,Β,Δ
310,Β,Γ
311,Β,Γ
312,Γ,Α
313,Γ,Δ
314,Γ,Γ
315,Δ,Β
316,Δ,Γ
317,Β,Δ
318,Γ,Β
319,Β,Α
320,Γ,Γ
321,Γ,Α
322,Α,Α
323,Γ,Α
324,Β,Γ
325,Β,Γ
326,Β,Α
327,Γ,Γ
328,Β,Γ
329,Β,Γ
330,Α,Α
331,Δ,Δ
332,Δ,Γ
333,Δ,Δ
334,Β,Γ
335,Β,Β
336,Δ,Δ
337,Γ,Γ
338,Γ,Γ
339,Γ,Β
340,Δ,Δ
341,Γ,Α
342,Α,Α
343,Β,Δ
344,Γ,Β
345,Β,Β
346,Δ,Δ
347,Γ,Γ
348,Γ,Β
349,Γ,Γ
350,Δ,Β
351,Β,Γ
352,Γ,Β
353,Β,Β
354,Β,Β
355,Β,Γ
356,Α,Δ
357,Δ,Δ
358,Γ,Δ
359,Δ,Δ
360,Γ,Γ
361,Β,Δ
362,Γ,Β
363,Β,Β
364,Γ,Δ
365,Β,Β
366,Β,Δ
367,Β,Β
368,Β,Α
369,Β,Α
370,Β,Β
371,Η σωστή απάντηση είναι **Β**.,Β
372,Β,Β
373,Α,Δ
374,Β,Δ
375,Δ,Δ
376,Β,Δ
377,Β,Β
378,Α,Α
379,Δ,Δ
380,Γ,Γ
381,Γ,Γ
382,Δ,Γ
383,Γ,Β
384,Β,Δ
385,Γ,Β
386,Β,Β
387,Δ,Δ
388,Β,Β
389,Γ,Γ
390,Β,Α
391,Β,Δ
392,Β,Β
393,Δ,Δ
394,Β,Β
395,Β,Γ
396,Β,Α
397,Β,Γ
398,Β,Δ
399,Β,Α
400,Β,Γ
401,Α,Δ
402,Β,Α
403,Β,Α
404,Β,Γ
405,Δ,Γ
406,Β,Γ
407,Β,Β
408,Γ,Γ
409,Β,Α
410,Γ,Γ
411,Γ,Γ
412,Β,Γ
413,Γ,Γ
414,Δ,Δ
415,Β,Γ
416,Β,Α
417,Β,Α
418,Γ,Α
419,Γ,Α
420,Α,Β
421,Γ,Β
422,Δ,Α
423,Γ,Δ
424,Γ,Γ
425,Β,Α
426,Δ,Γ
427,Β,Β
428,Β,Δ
429,Β,Γ
430,Γ,Γ
431,Β,Β
432,Δ,Δ
433,Β,Α
434,Δ,Δ
435,Γ,Α
436,Δ,Δ
437,Β,Α
438,Η σωστή απάντηση είναι **Γ**.,Β
439,Β,Β
440,Β,Γ
441,Β,Β
442,Α,Α
443,Α,Α
444,Γ,Γ
445,Β,Δ
446,Β,Β
447,Β,Α
448,Γ,Β
449,Γ,Δ
450,Α,Α
451,Β,Α
452,Β,Α
453,Γ,Δ
454,Γ,Γ
455,Α,Β
456,Α,Α
457,Β,Γ
458,Β,Β
459,Δ,Δ
460,Γ,Γ
461,Β,Β
462,Γ,Γ
463,Β,Β
464,Β,Β
465,Δ,Δ
466,Β,Β
467,Β,Α
468,Δ,Δ
469,Β,Α
470,Γ,Γ
471,Γ,Δ
472,Δ,Δ
473,Γ,Γ
474,Β,Α
475,Β,Β
476,Β,Δ
477,Β,Β
478,Β,Δ
479,Β,Α
480,Γ,Γ
481,Γ,Α
482,Β,Β
483,Δ,Β
484,Α,Α
485,Γ,Γ
486,Β,Β
487,Δ,Δ
488,Δ,Δ
489,Δ,Δ
490,Δ,Δ
491,Γ,Γ
492,Γ,Γ
493,Γ,Γ
494,Δ,Δ
495,Β,Β
496,Β,Β
497,Γ,Γ
498,Β,Β
499,Β,Β
500,Γ,Δ
501,Δ,Δ
502,Β,Α
503,Β,Γ
504,Β,Α
505,Β,Γ
506,Α,Γ
507,Β,Α
508,Β,Α
509,Β,Δ
510,Γ,Δ
511,Γ,Δ
512,Δ,Δ
513,Β,Α
514,Β,Δ
515,Β,Β
516,Β,Δ
517,Γ,Δ
518,Δ,Γ
519,Γ,Α
520,Β,Α
521,Γ,Γ
522,Β,Γ
523,Γ,Γ
524,Δ,Γ
525,Β,Δ
526,Γ,Α
527,Γ,Γ
528,(Α),Δ
529,Δ,Γ
530,Β,Β
531,Γ,Γ
532,Γ,Γ
533,Α,Α
534,Α,Α
535,Δ,Δ
536,Γ,Β
537,Δ,Δ
538,Γ,Γ
539,Δ,Α
540,Β,Α
541,Δ,Δ
542,Γ,Γ
543,Β,Α
544,Β,Β
545,Β,Δ
546,Γ,Γ
547,Γ,Γ
548,Β,Γ
549,Β,Γ
550,Β,Β
551,Β,Β
