id,question,answers,best_answer,best_answer_index
0,Τι συνέβη στη Μάχη του Πέτα (1822) κατά την Ελληνική Επανάσταση;,"Α. ""Οι Έλληνες ηττήθηκαν""

Β. ""Οι Έλληνες νίκησαν εύκολα""

Γ. ""Η μάχη έληξε ισόπαλη""

Δ. ""Δεν έγινε καμία μάχη""",Οι Έλληνες ηττήθηκαν,Α
1,Ποιος πρόδωσε τους Έλληνες στις Θερμοπύλες;,"Α. ""Ο Λεωνίδας""

Β. ""Ο Ξέρξης""

Γ. ""Ο Εφιάλτης""

Δ. ""Ένας άγνωστος στρατιώτης""",Ο Εφιάλτης,Γ
2,Ποιο ήταν το τελικό αποτέλεσμα για τους Σουλιώτες μετά τις συγκρούσεις τους με τον Αλή Πασά;,"Α. ""Έγιναν βασιλείς""

Β. ""Νίκησαν τον Αλή Πασά""

Γ. ""Έμειναν για πάντα στο Σούλι""

Δ. ""Εγκατέλειψαν το Σούλι και διασκορπίστηκαν""",Εγκατέλειψαν το Σούλι και διασκορπίστηκαν,Δ
3,Ποιες χώρες υπέγραψαν τη Συνθήκη του Λονδίνου (1827) για το ελληνικό ζήτημα;,"Α. ""Ελλάδα, Τουρκία, Ρωσία""

Β. ""Γερμανία, Ιταλία, Αυστρία""

Γ. ""ΗΠΑ, Καναδάς, Αυστραλία""

Δ. ""Αγγλία, Γαλλία, Ρωσία""","Αγγλία, Γαλλία, Ρωσία",Δ
4,Σε ποιες περιοχές οι κάτοικοι ασχολούνταν περισσότερο με το ψάρεμα;,"Α. ""Στα νησιά και τις παράλιες περιοχές""

Β. ""Στα στεριανά χωριά""

Γ. ""Στα βουνά""

Δ. ""Στις πόλεις""",Στα νησιά και τις παράλιες περιοχές,Α
5,Σε ποια σειρά εμφανίστηκαν τα πολιτεύματα στην αρχαία Αθήνα;,"Α. ""Τυραννία, βασιλεία, δημοκρατία, αριστοκρατία""

Β. ""Βασιλεία, αριστοκρατία, ολιγαρχία, τυραννία, δημοκρατία""

Γ. ""Δημοκρατία, βασιλεία, ολιγαρχία""

Δ. ""Τυραννία, δημοκρατία, βασιλεία""","Βασιλεία, αριστοκρατία, ολιγαρχία, τυραννία, δημοκρατία",Β
6,Σε ποιον πόλεμο έγινε η ναυμαχία της Σαλαμίνας;,"Α. ""Τους Περσικούς Πολέμους""

Β. ""Τον Εμφύλιο Πόλεμο""

Γ. ""Τον Πελοποννησιακό Πόλεμο""

Δ. ""Τον Τρωϊκό Πόλεμο""",Τους Περσικούς Πολέμους,Α
7,Ποιοι ήταν οι αρχιτέκτονες της Αγίας Σοφίας;,"Α. ""Ανθέμιος και Ισίδωρος""

Β. ""Παυσανίας και Θουκυδίδης""

Γ. ""Περικλής και Σωκράτης""

Δ. ""Πλάτων και Αριστοτέλης""",Ανθέμιος και Ισίδωρος,Α
8,Πότε ξεκίνησε η Τρίτη Πολιορκία του Μεσολογγίου από τον Κιουταχή;,"Α. ""Τον Δεκέμβριο του 1824""

Β. ""Τον Απρίλιο του 1825""

Γ. ""Τον Δεκέμβριο του 1825""

Δ. ""Τον Απρίλιο του 1826""",Τον Απρίλιο του 1825,Β
9,"Στις πρώτες ελληνικές παροικίες στο εξωτερικό (19ος–αρχές 20ού αι.), ποια ήταν μία από τις πρώτες ενέργειες για να οργανωθεί η κοινότητα;","Α. ""Να χτίσουν εκκλησία και να οργανώσουν την κοινότητα με καταστατικό""

Β. ""Να βρουν δουλειά""

Γ. ""Να μάθουν τη γλώσσα""

Δ. ""Να επικοινωνήσουν με την πατρίδα""",Να χτίσουν εκκλησία και να οργανώσουν την κοινότητα με καταστατικό,Α
10,"Από πού κατάγονταν οι δύο αδελφοί ιεραπόστολοι, ο Κύριλλος και ο Μεθόδιος;","Α. ""Από τη Ρώμη""

Β. ""Από την Αθήνα""

Γ. ""Από τη Θεσσαλονίκη""

Δ. ""Από τη Μοραβία""",Από τη Θεσσαλονίκη,Γ
11,"Κατά την Ιωνική Επανάσταση (499 π.Χ.), ποιες πόλεις έστειλαν στόλο να βοηθήσουν τους Έλληνες της Μικράς Ασίας;","Α. ""Σπάρτη και Θήβα""

Β. ""Αθήνα και Ερέτρια""

Γ. ""Κόρινθος και Άργος""

Δ. ""Μέγαρα και Θεσσαλονίκη""",Αθήνα και Ερέτρια,Β
12,Σε ποιον κόλπο διεξήχθη η ναυμαχία του 1824 κατά την Ελληνική Επανάσταση;,"Α. ""Κόλπος της Πάτρας""

Β. ""Κόλπος του Ναυαρίνου""

Γ. ""Κόλπος του Γέροντα""

Δ. ""Κόλπος της Σούδας""",Κόλπος του Γέροντα,Γ
13,Σε ποιον από τους παρακάτω πολέμους ηττήθηκε η Οθωμανική Αυτοκρατορία από τη Ρωσία;,"Α. ""Ελληνοτουρκικός πόλεμος""

Β. ""Κριμαϊκός πόλεμος""

Γ. ""Ρωσοτουρκικός πόλεμος""

Δ. ""Βαλκανικοί πόλεμοι""",Ρωσοτουρκικός πόλεμος,Γ
14,Πότε πέθανε ο Παύλος Μελάς;,"Α. ""13 Οκτωβρίου 1904""

Β. ""Μάρτιος 1905""

Γ. ""1908""

Δ. ""1897""",13 Οκτωβρίου 1904,Α
15,"Στα τελευταία χρόνια της Μακεδονικής Δυναστείας, τι συνέβη με τη στράτευση των ακριτών;","Α. ""Δεν επιτρεπόταν πλέον να κατατάσσονται στον στρατό""

Β. ""Επιτρεπόταν να κατατάσσονται κανονικά στον στρατό""

Γ. ""Απέκτησαν περισσότερα προνόμια και γαίες""

Δ. ""Αυξήθηκαν οι φόροι που πλήρωναν""",Δεν επιτρεπόταν πλέον να κατατάσσονται στον στρατό,Α
16,Ποιο ήταν το κυριότερο αντίπαλο κόμμα του Χαριλάου Τρικούπη;,"Α. ""Κόμμα Κωλέττη""

Β. ""Κόμμα Δηλιγιάννη""

Γ. ""Κόμμα Βενιζέλου""

Δ. ""Κόμμα Μεταξά""",Κόμμα Δηλιγιάννη,Β
17,Πότε εκδόθηκε η «Ελληνική Νομαρχία»;,"Α. ""Το 1700""

Β. ""Το 1850""

Γ. ""Το 1806""

Δ. ""Το 1920""",Το 1806,Γ
18,Ποιος εφοδίαζε τους πολιορκημένους του Μεσολογγίου με τρόφιμα και πολεμοφόδια;,"Α. ""Ιμπραήμ""

Β. ""Μιαούλης""

Γ. ""Κιουταχής""

Δ. ""Καραϊσκάκης""",Μιαούλης,Β
19,Ποια πόλη ορίστηκε ως πρωτεύουσα (έδρα της Διοίκησης) από την Α΄ Εθνοσυνέλευση της Επιδαύρου;,"Α. ""Αθήνα""

Β. ""Κόρινθος""

Γ. ""Ναύπλιο""

Δ. ""Τρίπολη""",Κόρινθος,Β
20,"Κατά την Οθωμανική περίοδο, ποιος ήταν ο κύριος λόγος που οι Οθωμανοί επέτρεψαν στους κοινοτικούς άρχοντες (προκρίτους) να αναλάβουν την τοπική διοίκηση;","Α. ""Για να εισπράττουν εύκολα τους φόρους και να διατηρούν την τάξη με μικρό κόστος""

Β. ""Επειδή δεν είχαν καθόλου υπαλλήλους στην αυτοκρατορία""

Γ. ""Για να διαδοθεί η ελληνική γλώσσα""

Δ. ""Επειδή οι Έλληνες το απαίτησαν από την αρχή""",Για να εισπράττουν εύκολα τους φόρους και να διατηρούν την τάξη με μικρό κόστος,Α
21,Ποια επιτροπή του Οικουμενικού Πατριαρχείου ανέλαβε την εκτύπωση βιβλίων στην Κωνσταντινούπολη το 1836;,"Α. ""Κεντρική Εκκλησιαστική και Εκπαιδευτική Επιτροπή""

Β. ""Κεντρική Εκπαιδευτική Επιτροπή""

Γ. ""Πνευματική Επιτροπή""

Δ. ""Σχολική Επιτροπή""",Κεντρική Εκκλησιαστική και Εκπαιδευτική Επιτροπή,Α
22,Πότε λειτούργησε για πρώτη φορά το Πανεπιστήμιο στην Αθήνα;,"Α. ""1832""

Β. ""1837""

Γ. ""1834""

Δ. ""1844""",1837,Β
23,Ποιος ήταν ο ηγέτης των Τούρκων κατά τη Μικρασιατική Εκστρατεία;,"Α. ""Ο Σουλτάνος""

Β. ""Ο Κωνσταντίνος""

Γ. ""Ο Βενιζέλος""

Δ. ""Ο Κεμάλ""",Ο Κεμάλ,Δ
24,Ποιος Βυζαντινός ηγέτης πολέμησε και νίκησε τους Ρώσους;,"Α. ""Ιωάννης Τσιμισκής""

Β. ""Βασίλειος Α΄""

Γ. ""Νικηφόρος Ουρανός""

Δ. ""Κωνσταντίνος Πορφυρογέννητος""",Ιωάννης Τσιμισκής,Α
25,Ποιο από τα παρακάτω έκανε ο Ιουστινιανός σχετικά με τους νόμους;,"Α. ""Κατάργησε όλους τους παλιούς νόμους""

Β. ""Έγραψε τους νόμους μόνο στα λατινικά""

Γ. ""Κωδικοποίησε και συμπλήρωσε τους παλιούς ρωμαϊκούς νόμους""

Δ. ""Άφησε όλους τους παλιούς νόμους ως είχαν""",Κωδικοποίησε και συμπλήρωσε τους παλιούς ρωμαϊκούς νόμους,Γ
