id,generated_answer,correct_answer
0,"Α. ""Οι Έλληνες ηττήθηκαν""",Α
1,"Γ. ""Ο Εφιάλτης""",Γ
2,"Δ. ""Εγκατέλειψαν το Σούλι και διασκορπίστηκαν""",Δ
3,"Δ. ""Αγγλία, Γαλλία, Ρωσία""",Δ
4,"Α. ""Στα νησιά και τις παράλιες περιοχές""",Α
5,"Β. ""Βασιλεία, αριστοκρατία, ολιγαρχία, τυραννία, δημοκρατία""",Β
6,"Α. ""Τους Περσικούς Πολέμους""",Α
7,"Α. ""Ανθέμιος και Ισίδωρος""",Α
8,"Δ. ""Τον Απρίλιο του 1826""",Β
9,"Α. ""Να χτίσουν εκκλησία και να οργανώσουν την κοινότητα με καταστατικό""",Α
10,"Δ. ""Από τη Μοραβία""",Γ
11,"Β. ""Αθήνα και Ερέτρια""",Β
12,"Β. ""Κόλπος του Ναυαρίνου""",Γ
13,"Β. ""Κριμαϊκός πόλεμος""",Γ
14,"Α. ""13 Οκτωβρίου 1904""",Α
15,"Η σωστή απάντηση είναι η επιλογή Α: ""Δεν επιτρεπόταν πλέον να κατατάσσονται στον στρατό"".",Α
16,"Β. ""Κόμμα Δηλιγιάννη""",Β
17,"Γ. ""Το 1806""",Γ
18,"Β. ""Μιαούλης""",Β
19,Η σωστή απάντηση είναι η Γ. 'Ναύπλιο'.,Β
20,"Η σωστή απάντηση είναι η Α: ""Για να εισπράττουν εύκολα τους φόρους και να διατηρούν την τάξη με μικρό κόστος"".",Α
21,"Α. ""Κεντρική Εκκλησιαστική και Εκπαιδευτική Επιτροπή""",Α
22,"Β. ""1837""",Β
23,"Δ. ""Ο Κεμάλ""",Δ
24,"Β. ""Βασίλειος Α΄""",Α
25,Η σωστή απάντηση είναι η Γ: 'Κωδικοποίησε και συμπλήρωσε τους παλιούς ρωμαϊκούς νόμους'.,Γ
26,"Β. ""Στη Μεθώνη""",Β
27,Η σωστή απάντηση είναι η Γ: 'Με πολεμικά και διπλωματικά μέσα'.,Γ
28,"Δ. ""1821""",Δ
29,"Δ. ""Διασπάστηκε σε ελληνιστικά βασίλεια από τους Διαδόχους του""",Δ
30,"Δ. ""Ευρωπαϊκή Οικονομική Κοινότητα (Ε.Ο.Κ.)""",Δ
31,"Β. ""Οι κόρες των εύπορων οικογενειών""",Γ
32,"Γ. ""Θήβα""",Γ
33,"Α. ""Με τον Ακάθιστο Ύμνο""",Α
34,"Β. ""25%""",Α
35,"Δ. ""Κροκόδειλος Κλαδάς""",Δ
36,"Β. ""Πεζικό, ιππικό και ελέφαντες""",Β
37,"Β. ""Τη δημιουργία της Ευρωπαϊκής Ένωσης και την πορεία προς το κοινό νόμισμα (ευρώ)""",Β
38,"Α. ""Ένας επαναστάτης και εμπνευστής του νεοελληνικού Διαφωτισμού""",Α
39,"Γ. ""Οι βασιλιάδες αναλάμβαναν την αρχηγία του στρατού""",Γ
40,"Α. ""Τον Ιούνιο του 1913""",Γ
41,"Ο νόμος που προστάτευε τους μικροϊδιοκτήτες από τους πλούσιους στη Βυζαντινή Αυτοκρατορία ήταν ο ""Γεωργικός Νόμος"". Η σωστή απάντηση είναι η επιλογή Β.",Γ
42,"Η σωστή απάντηση είναι η Γ: ""Με τη συνοδεία παιδαγωγού σε γραμματιστή"".",Γ
43,"Δ. ""Ιταλία""",Δ
44,Η σωστή απάντηση είναι η Α. 'Ο αυτοκράτορας'.,Δ
45,"Β. ""490 π.Χ.""",Β
46,"Β. ""Γερμανία""",Β
