id,generated_answer,correct_answer
0,"Α
",Α
1,"Β
",Γ
2,"Δ
",Δ
3,"Δ
",Δ
4,"Α
",Α
5,Α.,Β
6,"Α
",Α
7,"Α.
",Α
8,"Γ
",Β
9,"Α.
",Α
10,"Γ. ""Από τη Θεσσαλονίκη""
",Γ
11,"Β.
",Β
12,"Β.
",Γ
13,"Γ
",Γ
14,"Α.
",Α
15,"Α.
",Α
16,"Γ
",Β
17,"Γ
",Γ
18,"Α.
",Β
19,"Γ
",Β
20,"Α.
",Α
21,"Β.
",Α
22,"Α.
",Β
23,"Δ
",Δ
24,"Γ.
",Α
25,"Γ
",Γ
26,"Β
",Β
27,"Γ
",Γ
28,"Δ
",Δ
29,"Δ
",Δ
30,"Δ
",Δ
31,"Γ
",Γ
32,"Γ
",Γ
33,"Α.
",Α
34,"Α.
",Α
35,"Β
",Δ
36,"Β
",Β
37,"Β
",Β
38,"Α
",Α
39,"Γ
",Γ
40,"Α.
",Γ
41,"Γ
",Γ
42,"Γ
",Γ
43,"Δ
",Δ
44,"Δ
",Δ
45,"Β
",Β
46,"Α.
",Β
47,Γ,Α
48,"Β
",Α
49,"Δ
",Δ
50,"Α.
",Δ
51,"Δ
",Α
52,"Δ
",Β
53,"Β.
",Β
54,"Γ
",Γ
55,"Γ.
",Β
56,"Δ
",Δ
57,"Α.
",Α
58,"Γ
",Γ
59,"Δ
",Δ
60,"Β
",Β
61,"Β
",Α
62,"Β
",Β
63,"Γ. ""Ψηφιδωτές εικόνες""

**Εξήγηση:**

Οι Βυζαντινοί ναοί, κατά την περίοδο οικονομικής ακμής, διακοσμούονταν εκτενώς με ψηφιδωτά. Τα ψηφιδωτά ήταν μια πολύτιμη και διαρκής μορφή τέχνης, που χρησιμοποιούνταν για να απεικονίσει θρησκευτικές σκηνές και να εντυπώσουν την πίστη. Οι άλλες επιλογές (ζωγραφιές, κεραμικά πιάτα, υφαντά) δεν ήταν τόσο συνηθισμένες ή δεν είχαν την ίδια αξία και διαρκία.",Γ
64,"Γ
",Α
65,"Γ
",Γ
66,"Α
",Α
67,"Α
",Β
68,"Β
",Β
69,"Α
",Α
70,"Γ
",Γ
71,"Α.
",Α
72,"Β
",Β
73,"Β
",Β
74,"Β
",Β
75,"Α.
",Β
76,"Γ. ""Πατρίκιοι""",Γ
77,"Β. ""1985""
",Β
78,"Δ
",Δ
79,"Δ
",Δ
80,"Γ
",Γ
81,"Γ. ""Είχαν λίγα χρήματα""",Β
82,"Δ
",Δ
83,"Δ
",Α
84,"Α.
",Α
85,"Β. ""Σκλάβοι""
",Β
86,"Γ
",Γ
87,"Β.
",Β
88,"Α
",Α
89,"Α.
",Β
90,"Β.
",Β
91,"Γ
",Γ
92,"Γ
",Δ
93,"Β.
",Β
94,"Α.
",Γ
95,"Β.
",Δ
96,"Δ
",Δ
97,"Β.
",Γ
98,"Α.
",Α
99,"Α.
",Α
100,"Α.
",Α
101,"Γ
",Γ
102,"Γ
",Γ
103,"Β
",Β
104,"Γ
",Γ
105,"Α. ""Κερκόπορτα""
",Α
106,"Β
",Β
107,"Δ
",Δ
108,"Δ
",Δ
109,"Α
",Γ
110,"Α.
",Α
111,"Α.
",Α
112,"Γ. ""Για να εξασφαλίσουν ειρήνη με άλλα κράτη""

",Γ
113,"Γ
",Α
114,"Α
",Α
115,"Β.
",Β
116,"Β
",Δ
117,"Α.
",Α
118,"Α
",Α
119,"Γ
",Γ
120,"Α.
",Α
121,"Β.
",Β
122,"Δ
",Δ
123,"Β
",Β
124,"Α.
",Γ
125,"Γ
",Γ
126,"Β
",Β
127,"Δ
",Δ
128,"Δ
",Δ
129,"Α. ""Βυζαντινή λίμνη""
",Α
130,"Γ
",Γ
131,"Α.
",Α
132,"Β.
",Β
133,"Β.
",Β
134,"Γ
",Γ
135,"Δ
",Δ
136,"Α.
",Γ
137,"Δ
",Δ
138,"Δ
",Δ
139,"Δ
",Δ
140,"Β
",Δ
141,"Β
",Δ
142,"Γ
",Α
143,"Α.
",Β
144,"Δ
",Δ
145,"Β. ""Σε τέσσερις τάξεις""
",Β
146,"Α
",Δ
147,"Γ.
",Δ
148,"Β.
",Β
149,"Β.
",Δ
150,"Α.
",Α
151,"Α
",Α
152,"Β
",Β
153,"Α.
",Γ
154,"Δ
",Δ
155,"Δ
",Δ
156,"Α.
",Δ
157,"Α.
",Α
158,"Α
",Β
159,"Β
",Β
160,"Α.
",Α
161,"Γ
",Β
162,"Γ. ""Επτάλοφη""
",Γ
163,"Β
",Β
164,"Δ
",Γ
165,"Β
",Β
166,"Β
",Δ
167,"Α
",Α
168,"Α.
",Α
169,"Α
",Α
170,"Β
",Γ
171,"Β. Μαχμούτ (Δράμαλης)
",Β
172,"Γ
",Δ
173,"Γ.
",Α
174,"Α
",Α
175,"Α.
",Γ
176,"Α.
",Α
177,"Α
",Δ
178,"Α.
",Α
179,"Β
",Β
180,"Α
",Α
181,"Α.
",Γ
182,"Α.
",Γ
183,"Α.
",Α
184,"Β. ""Εθνικός Διχασμός""
",Β
185,"Β.
",Α
186,"Α
",Δ
187,"Β
",Β
188,"Δ
",Δ
189,"Β
",Β
190,"Α.
",Α
191,"Α
",Β
192,"Γ
",Β
193,"Α.
",Β
194,"Β.
",Β
195,"Δ
",Δ
196,"Β
",Β
197,"Γ
",Γ
198,"Γ.
",Γ
199,"Γ
",Γ
200,"Γ
",Γ
201,"Β
",Β
202,"Β.
",Β
203,"Δ
",Δ
204,"Δ
",Δ
205,"Δ
",Δ
206,"Γ
",Γ
207,"Β.
",Β
208,"Α
",Β
209,"Α.
",Α
210,"Γ
",Γ
211,"Α.
",Α
212,"Α.
",Δ
213,"Α.
",Γ
214,"Α
",Α
215,"Α.
",Β
216,"Β.
",Α
217,"Δ
",Δ
218,"Β. Φρούριο Ρούμελη Χισάρ
",Β
219,"Γ
",Β
220,"Β. ""1068""
",Β
221,"Α.
",Α
222,"Γ
",Γ
223,"Δ
",Δ
224,"Β
",Β
225,"Γ
",Α
226,"Γ
",Γ
227,"Γ
",Γ
228,"Γ
",Γ
229,"Δ
",Δ
230,"Β
",Α
231,"Γ
",Α
232,"Γ
",Β
233,"Α.
",Β
234,"Γ
",Γ
235,"Δ
",Δ
236,"Δ
",Δ
237,"Α.
",Α
238,"Γ
",Γ
239,"Α.
",Α
240,"Β
",Δ
241,"Γ. ""4 κράτη""
",Β
242,"Α.
",Α
