id,generated_answer,correct_answer
0,"Β

Η Μάχη του Πέτα (1822) ήταν μια σημαντική νίκη των Ελλήνων κατά την Ελληνική Επανάσταση, όπου οι Έλληνες νίκησαν τους Οθωμανούς.",Α
1,"Γ. ""Ο Εφιάλτης""",Γ
2,"Δ. ""Εγκατέλειψαν το Σούλι και διασκορπίστηκαν""",Δ
3,"Δ. ""Αγγλία, Γαλλία, Ρωσία""",Δ
4,"Α. ""Στα νησιά και τις παράλιες περιοχές""",Α
5,"Β

Η σωστή σειρά εμφάνισης των πολιτευμάτων στην αρχαία Αθήνα είναι: **βασιλεία, αριστοκρατία, ολιγαρχία, τυραννία, δημοκρατία**. Αυτή είναι η σειρά που αναφέρεται στην ιστορία της Αθήνας, όπως αναπτύχθηκε από τον Πλάτωνα στο έργο του ""Πολιτεία"".",Β
6,"Γ. ""Τον Πελοποννησιακό Πόλεμο""",Α
7,"Α. ""Ανθέμιος και Ισίδωρος""",Α
8,"Γ. ""Τον Δεκέμβριο του 1825""",Β
9,"Α. ""Να χτίσουν εκκλησία και να οργανώσουν την κοινότητα με καταστατικό""",Α
10,"Γ. ""Από τη Θεσσαλονίκη""",Γ
11,"Β. ""Αθήνα και Ερέτρια""",Β
12,"Γ

Η ναυμαχία του 1824 διεξήχθη στον **Κόλπο του Γέροντα**, κοντά στην περιοχή της Σμύρνης, κατά την Ελληνική Επανάσταση.",Γ
13,"Γ. ""Ρωσοτουρκικός πόλεμος""",Γ
14,"Α. ""13 Οκτωβρίου 1904""",Α
15,"Α. ""Δεν επιτρεπόταν πλέον να κατατάσσονται στον στρατό""",Α
16,"Γ

Η σωστή απάντηση είναι **Γ. ""Κόμμα Βενιζέλου""**.  
Ο Χαριλάος Τρικούπης ήταν ένας από τους κύριους πολιτικούς ηγέτες της Ελλάδας του 19ου αιώνα και ένας από τους πρωταρχικούς αντιπάλους του Βενιζέλου, ο οποίος ήταν ο κύριος αντίπαλος του στην πολιτική αντιπαράθεση της εποχής.",Β
17,"Γ. ""Το 1806""",Γ
18,"Γ. ""Κιουταχής""",Β
19,"Γ. ""Ναύπλιο""",Β
20,"Α. ""Για να εισπράττουν εύκολα τους φόρους και να διατηρούν την τάξη με μικρό κόστος""",Α
21,"Α. ""Κεντρική Εκκλησιαστική και Εκπαιδευτική Επιτροπή""",Α
22,"Γ. ""1834""",Β
23,"Α. ""Ο Σουλτάνος""",Δ
24,"Α. ""Ιωάννης Τσιμισκής""",Α
25,"Γ. ""Κωδικοποίησε και συμπλήρωσε τους παλιούς ρωμαϊκούς νόμους""",Γ
26,"Γ. ""Στα Ψαρά""",Β
27,"Γ. ""Με πολεμικά και διπλωματικά μέσα""",Γ
28,"Δ. ""1821""",Δ
29,"Δ. ""Διασπάστηκε σε ελληνιστικά βασίλεια από τους Διαδόχους του""",Δ
30,"Δ. ""Ευρωπαϊκή Οικονομική Κοινότητα (Ε.Ο.Κ.)""",Δ
31,"Γ

Στο Βυζάντιο, η εκπαίδευση ήταν συνήθως προσβάσιμη μόνο στις ευπορούς οικογενείες, ενώ οι φτωχές οικογενείες δεν είχαν τη δυνατότητα να παρακολουθήσουν μαθήματα. Επομένως, η σωστή απάντηση είναι:

**Γ. ""Οι κόρες των φτωχών οικογενειών""**",Γ
32,"Γ. ""Θήβα""",Γ
33,"Α. ""Με τον Ακάθιστο Ύμνο""",Α
34,"Δ. ""20%""",Α
35,"Δ. ""Κροκόδειλος Κλαδάς""",Δ
36,"Β. ""Πεζικό, ιππικό και ελέφαντες""",Β
37,"Β. ""Τη δημιουργία της Ευρωπαϊκής Ένωσης και την πορεία προς το κοινό νόμισμα (ευρώ)""",Β
38,"Α. ""Ένας επαναστάτης και εμπνευστής του νεοελληνικού Διαφωτισμού""",Α
39,"Γ. ""Οι βασιλιάδες αναλάμβαναν την αρχηγία του στρατού""",Γ
40,"Α. ""Τον Ιούνιο του 1913""",Γ
41,"Γ. ""Ο νόμος του Αλληλέγγυου""",Γ
42,Γ.,Γ
43,"Δ. ""Ιταλία""",Δ
44,"Α. ""Ο αυτοκράτορας""",Δ
45,"Γ. ""480 π.Χ.""",Β
46,"Γ. ""Καναδάς""",Β
47,"Α. ""Κυρίως παραθαλάσσιες και νησιωτικές πόλεις-κράτη""",Α
48,"Α. ""Το κοινό τους νόμισμα""",Α
49,"Δ. ""Οι άριστοι""",Δ
50,"Α. ""29 Απριλίου 1453""",Δ
51,"Δ. ""Ιταλία""",Α
52,"Γ

Η φράση «Ένα έθνος, για να γίνει έθνος, θέλει δύο πράγματα: Να μεγαλώσουν τα σύνορά του και να κάνει φιλολογία δική του» διατύπωσε ο **Κοσμάς Δουμπιώτης**.",Β
53,"Β. ""Στον ποταμό Τίβερη""",Β
54,"Γ

Η σωστή απάντηση είναι: **Γ. ""Το εμπόριο παρήκμασε""**.

Όταν οι Έλληνες της Μικράς Ασίας υποδουλώθηκαν από τους Πέρσες, η πολιτική και οικονομική τους ανεξαρτησία χάθηκε, και το εμπόριο τους παρέμεινε υπό την επίβλεψη των Περσών, που επέφερε αποτελεσματική επιβολή και αποκλεισμό. Έτσι, το εμπόριο παρήκμασε.",Γ
55,"Γ. ""Οι υψηλές στρατιωτικές δαπάνες""",Β
56,"Δ. ""Χασάν Ταχσίν Πασάς""",Δ
57,"Α. ""Γιατί συντρίβηκε η βασική στρατιωτική βάση των Τούρκων στην Πελοπόννησο""",Α
58,"Γ. ""Λεηλατήθηκε και καταστράφηκε""",Γ
59,"Δ. ""Βελισάριος""",Δ
60,"Β. ""Τραυματισμός των ιστών από υπερβολικό κρύο""",Β
61,"Β. ""Το εμπόριο""",Α
62,"Β. ""Όχι, είχε και κοσμικά έργα""",Β
63,"Γ

Οι Βυζαντινοί διακοσμούσαν το εσωτερικό των ναών με **ψηφιδωτές εικόνες** (επίσης γνωστές ως εικονοστάσια), κατά τη διάρκεια περιόδων οικονομικής ακμής. Αυτές οι εικόνες είχαν θρησκευτική σημασία και εκπροσωπούσαν τον Θεό ή τους Αγίους.",Γ
64,"Γ. ""Στην Ελλάδα""",Α
65,"Γ. ""Στο Κεφαλόβρυσο""",Γ
66,"Β. ""Να αναδείξουν τους καλύτερους αθλητές""",Α
67,"Γ. ""Κίτσος Τζαβέλας""",Β
68,"Β. ""Δίας""",Β
69,"Α. ""Φιλελεύθεροι""",Α
70,"Α. ""700 Σπαρτιάτες""",Γ
71,"Α. ""Ελληνικά, τουρκικά και αρμενικά""",Α
72,Β,Β
73,"Β. ""Ο εξαναγκασμός αγοριών σε στρατολόγηση από τους Οθωμανούς""",Β
74,"Β. ""Καταστράφηκε μεγάλο μέρος της πόλης""",Β
75,"Β. ""Δύο""",Β
76,"Γ. ""Πατρίκιοι""",Γ
77,"Β. ""1985""",Β
78,"Δ. ""Έβαλαν δικούς τους ανθρώπους να κυβερνούν τις ελληνικές πόλεις""",Δ
79,"Δ. ""Γερμανοί, Ιταλοί και Βούλγαροι""",Δ
80,"Γ. ""Να τους ελευθερώσουν από τους Τούρκους""",Γ
81,"Α. ""Ήταν πλήρη με πολλά χρήματα""",Β
82,"Α. ""Να καταργήσουν τη Βουλή""",Δ
83,"Α. ""Το 1922""",Α
84,"Α. ""Κωνσταντίνος Α΄ (ο Μέγας)""",Α
85,"Α. ""Στρατιώτες""",Β
86,"Γ

Η Βουλγαρία προσάρτησε την Ανατολική Ρωμυλία το 1885.",Γ
87,"Β. ""Λατινική""",Β
88,"Γ. ""Στρατιωτικές συμμαχίες""",Α
89,"Γ

Η σωστή απάντηση είναι: **Γ. ""Ηράκλειος""**.  

Ο Ηράκλειος ήταν Βυζαντινός αυτοκράτορας (717–719) και είναι γνωστός ως «Βουλγαροκτόνος» για την επιτυχημένη επιχείρηση εναντίον των Βουλγάρων.",Β
90,"Γ. ""1000 συνολικά""",Β
91,"Γ. ""Στην Κάτω Ιταλία και στη Σικελία""",Γ
92,"Δ. ""Τρεις συμπολιτείες""",Δ
93,"Γ. ""Στο εμπόριο""",Β
94,"Β. ""1821""",Γ
95,"Γ. ""1856""",Δ
96,"Δ. ""Ως εκδίκηση για την καταστροφή της Χίου""",Δ
97,"Δ. ""Αλέξανδρος Μαυροκορδάτος""",Γ
98,"Α. ""57 χρόνια""",Α
99,"Α. ""Αλεξάνδρεια""",Α
100,"Γ. ""Για να διαβάζεται καλύτερα""",Α
101,"Γ. ""Έσπασε τον τουρκικό θαλάσσιο αποκλεισμό""",Γ
102,"Δ. ""Με συμβιβαστική ειρήνη""",Γ
103,"Β. ""Σκοτώθηκε από έναν Σπαρτιάτη""",Β
104,"Β. ""Από το 1967 ως το 1974""",Γ
105,"Α. ""Κερκόπορτα""",Α
106,"Β. ""Ο Κύριλλος και ο Μεθόδιος""",Β
107,"Δ. ""Βελεστίνο""",Δ
108,"Δ. ""Το μυστικό της εκτροφής μεταξοσκώληκα""",Δ
109,"Δ. ""Επίσκοπος Νικόλαος""",Γ
110,"Α. ""Κάρολος Μαρτέλος""",Α
111,"Δ. ""12 φυλές""",Α
112,"Γ. ""Για να εξασφαλίσουν ειρήνη με άλλα κράτη""",Γ
113,"Α. ""Άβαροι και Σλάβοι""",Α
114,"Α. ""Τόσο ελληνικούς όσο και ανατολικούς θεούς""",Α
115,"Δ. ""Γότθους""",Β
116,"Β. ""Ο Αλέξιος Γ' Άγγελος""",Δ
117,"Α. ""Ήταν ένας εμφύλιος πόλεμος μεταξύ ελληνικών πόλεων""",Α
118,"Α. ""Ξένοι που υποστήριζαν τον αγώνα των Ελλήνων""",Α
119,"Γ. ""Προσπάθησαν να τους κρατήσουν διχασμένους""",Γ
120,"Α. ""Εξαιτίας της βαριάς φορολογίας και της καταπίεσης που επέβαλε""",Α
121,"Α. ""Δεν πληρώνονταν""",Β
122,"Β. ""Σκηνή""",Δ
123,"Α. ""Οι Σαρακηνοί""",Β
124,"Γ. ""Σολωμός""",Γ
125,"Γ. ""Τα παράλια της Μ. Ασίας""",Γ
126,"Β. ""Στον Κάρολο Μαρτέλο""",Β
127,"Δ. ""Σε γυμναστήρια και στην Αγορά""",Δ
128,"Δ. ""Απελευθέρωση της πολιορκημένης Ακρόπολης""",Δ
129,"Α. ""Βυζαντινή λίμνη""",Α
130,"Γ. ""Προσχώρηση στη μουσουλμανική θρησκεία""",Γ
131,"Α. ""Το 1914""",Α
132,Β,Β
133,"Γ. ""481 π.Χ.""",Β
134,"Γ. ""Τετραρχία""",Γ
135,"Δ. ""Αλέξανδρος Μαυροκορδάτος""",Δ
136,"Α. ""Έλληνες αντάρτες""",Γ
137,"Δ. ""Πολίτες, Μέτοικοι, Δούλοι""",Δ
