id,generated_answer,correct_answer
0,"Β. ""Η Εκκίνηση των Εθελοντών του 1792.""",Β
1,"Β

Η σωστή απάντηση είναι: **Β. ""Γένεσις-Πάθη-Προφητικόν""**. 

Το έργο «Το Άξιον Εστί» του Οδυσσέα Ελύτη διαιρείται σε τρία μέρη: Γένεσις, Πάθη, Προφητικόν.",Α
2,"Γ. ""Ζαν Ντυμπυφέ.""",Γ
3,"Δ. ""Γεώργιου Ιακωβίδη""",Γ
4,"Δ. ""χυτοσίδηρο και γυαλί""",Δ
5,"Β

Το πρώτο «ready made» έργο δημιουργήθηκε από τον **Μαρσέλ Ντυσάν**. Το έργο αυτό ήταν ένας τύπος από τον Τσελικό Τοίχο, που ονομάστηκε ""Fountain"" και ήταν μια απλή πορτοκαλιά. Αυτός ο τύπος θεωρείται η πρώτη εργασία του Ντυσάν στο πλαίσιο της αρτιστικής πρακτικής του ""ready made"".",Β
6,"Β. ""Τζιακομέτι""",Δ
7,"Α. ""την κατασκευή του σιδηροδρομικού δικτύου""",Δ
8,"Β. ""Τζέιμς Στέρλινγκ""",Α
9,"Β

Ο όρος **Ιμπρεσιονισμός** οφείλεται στον τίτλο του πίνακα **""Μονέ""** (μεγάλη αρχική), που δημιούργησε ο Κλοντ Μονέ. Αυτός ο τίτλος είναι η προέλευση του όρου ""ιμπρεσιονισμός"".",Β
10,"Γ

Η ερώτηση αφορά το έργο του Αύγουστου Ροντέν «Οι αστοί του Καλαί», όπου αναπαριστάται μια γερασμένη μορφή με το βρόγχο της αγχόνης γύρω από το λαιμό. Αυτή η αναπαράσταση αντιστοιχεί στον **""Ιωάννη από το Φιέν""**, ο οποίος είναι ένας από τους αστούς του Καλαί που εμφανίζονται στο έργο. 

Σωστή απάντηση: **Γ**.",Β
11,"Γ. ""στο τουριστικό περίπτερο γύρω από τον Άγιο Δημήτριο τον Λουμπαρδιάρη""",Δ
12,"Β. ""της ρωπογραφίας""",Γ
13,"Δ. ""στα βυρσοδεψεία""",Δ
14,"Γ. ""στο τουριστικό περίπτερο γύρω από τον Άγιο Δημήτριο τον Λουμπαρδιάρη""",Δ
15,"Δ. ""η αυστηρή μαθηματική δομή""",Γ
16,"Γ

Η σωστή απάντηση είναι: **Γ. ""Τ. Ζερικό""**.  
Ο Τζον Ζερικό (T. Zeri) είναι ισπανός καλλιτέχνης που στους πίνακές του καταγγέλλει με δραματικό τρόπο την αγριότητα, τη μισαλλοδοξία, τη βιαιότητα και τις ταλαιπωρίες του ισπανικού λαού.",Β
17,"Β. ""της ρωπογραφίας""",Γ
18,"Β

Ο όρος **Ιμπρεσιονισμός** οφείλεται στον τίτλο του πίνακα **""Μονέ""** (μεγάλη αρχική), που δημιούργησε ο Κλοντ Μονέ. Αυτός ο τίτλος είναι η προέλευση του όρου ""ιμπρεσιονισμός"".",Β
19,"Δ. ""της παρουσίας ελληνικών παροικιών στην Μεσόγειο.""",Α
20,"Γ

Η σωστή απάντηση είναι **Γ. ""«Οι ανησυχαστικές μούσες» του Τζ. Ντε Κίρικο""**. Αυτό το έργο απεικονίζει ένα ιστορικό γεγονός (την εποχή της Ανατροπής του 1917), ενώ τα άλλα έργα ανήκουν στην πολιτιστική παραγωγή και δεν απεικονίζουν ιστορικά γεγονότα.",Δ
21,Β,Α
22,"Α. ""Φρανκ Λόιντ Ράιτ""",Β
23,"Δ. ""Η κίνηση των μορφών""",Γ
24,"Γ. ""Φρανσουά Ρυντ""",Δ
25,"Β

Το πρώτο «ready made» έργο δημιουργήθηκε από τον **Μαρσέλ Ντυσάν**. Το έργο αυτό ήταν ένας τύπος από τον Τσελικό Τοίχο, που ονομάστηκε ""Fountain"" και ήταν μια απλή πορτοκαλιά. Αυτός ο τύπος θεωρείται η πρώτη εργασία του Ντυσάν στο πλαίσιο της αρτιστικής πρακτικής του ""ready made"".",Β
26,"Α. ""Βασίλυ Καντίνσκυ""",Β
27,"Γ

Η ελληνική διασπορά έστρεψε τις οικονομικές της δραστηριότητες προς την Ελλάδα **ύστερα από την ενσωμάτωση των Ιονίων Νήσων και της Θεσσαλίας**. Αυτή η περίοδος θεωρείται ως η χρονική στιγμή που η διασπορά άρχισε να εντάσσεται στην εθνική οικονομική δραστηριότητα της Ελλάδας.",Δ
28,"Β. ""Νικόλαος Λύτρας.""",Β
29,"Γ

Η ερώτηση αφορά το έργο του Αύγουστου Ροντέν «Οι αστοί του Καλαί», όπου αναπαριστάται μια γερασμένη μορφή με το βρόγχο της αγχόνης γύρω από το λαιμό. Αυτή η αναπαράσταση αντιστοιχεί στον **""Ιωάννη από το Φιέν""**, ο οποίος είναι ένας από τους αστούς του Καλαί που εμφανίζονται στο έργο. 

Σωστή απάντηση: **Γ**.",Β
30,"Γ. ""Ποπ Αρτ.""",Γ
