id,generated_answer,correct_answer
16,Δ,Δ
28,Η σωστή απάντηση είναι η **Δ**.,Γ
30,Γ,Β
37,Β,Γ
40,Γ,Γ
57,"Ε

*(Η κάτω παγκρεατοδωδεκαδακτυλική αρτηρία είναι κλάδος της Άνω μεσεντέριας αρτηρίας)*",Ε
58,Δ,Β
65,Β,Ε
67,Γ,Γ
70,Β,Α
72,Γ,Ε
84,Γ,Γ
88,"Ε

(Ε. ""όλα τα ανωτέρω"")",Α
94,Β,Β
97,Β,Α
98,Δ,Γ
99,Γ,Α
102,Β,Ε
107,Α,Α
108,Γ,Γ
111,Β,Α
117,Δ,Β
121,Δ,Β
123,Β,Β
124,Δ,Α
129,Β,Α
138,Β,Α
146,Β,Α
154,Β,Α
163,Β,Γ
166,Η σωστή απάντηση είναι **Δ**.,Δ
176,Β,Δ
179,Β,Β
181,Γ,Γ
182,Β,Γ
187,Δ,Α
188,Ε.,Ε
190,Β,Γ
191,Β,Γ
202,Β,Α
204,Γ,Ε
207,Β,Γ
208,Β,Β
213,Δ,Δ
221,Β,Γ
224,Α,Β
225,Γ,Γ
229,Β,Γ
230,Γ,Γ
233,Δ,Δ
235,Β,Δ
237,Β,Δ
240,Β,Β
247,Β,Α
252,Γ,Γ
254,Β,Δ
264,Γ,Γ
267,Γ,Α
283,Γ,Δ
287,Γ,Β
289,Β,Γ
297,Β,Β
300,Γ,Α
302,Β,Ε
303,Δ,Β
304,Η σωστή απάντηση είναι **Δ**.,Δ
308,Β,Β
312,Γ,Β
314,Δ,Δ
315,Β,Α
318,Α,Δ
327,Β,Β
328,"Η σωστή απάντηση είναι το **(Γ) ""125 l/h""**.

*(Συνοψίζοντας τα βήματα για την κάθαρση: CL = δόση × κωφ = (50mg/kg × 70kg) / (10mg/ml) = 3500mg / 10mg/ml = 350ml/min ≈ 21l/h. Ωστόσο, η ημιζωή (t1/2) και η κάθαρση συνδέονται με τον όγκο κατανομής (Vd), οπότε η ακριβής υπολογιστική δίνει CL = 0.693 × Vd / t1/2. Εδώ, με την υπολογιζόμενη συγκέντρωση και δόση, η κάθαρση είναι ~125 l/h.)*

**Απάντηση: Γ**",Δ
331,Α,Α
332,Γ,Γ
