id,generated_answer,correct_answer
0,"Η σωστή απάντηση είναι η Γ: ""Ο αγώνας επιβίωσης των ναυαγών της «Μέδουσας».""",Β
1,"Α. ""Γένεσις-Πάθη-Δοξαστικόν""",Α
2,"Α. ""Μαρκ Σαγκάλ.""",Γ
3,"Β. ""Νικολάου Λύτρα""",Γ
4,"Δ. ""χυτοσίδηρο και γυαλί""",Δ
5,"Β. ""Μαρσέλ Ντυσάν""",Β
6,"Δ. ""Ροντέν""",Δ
7,"Δ. ""τους πολεμικούς εξοπλισμούς""",Δ
8,"Α. ""Ναμ Τζουν Πάικ""",Α
9,"Β. ""Μονέ""",Β
10,"Β. ""Ευστάθιο από το Σαιν - Πιέρ""",Β
11,Η σωστή απάντηση είναι η Γ. 'Στο τουριστικό περίπτερο γύρω από τον Άγιο Δημήτριο τον Λουμπαρδιάρη'.,Δ
12,"Β. ""της ρωπογραφίας""",Γ
13,"Δ. ""στα βυρσοδεψεία""",Δ
14,Η σωστή απάντηση είναι η Γ. 'Στο τουριστικό περίπτερο γύρω από τον Άγιο Δημήτριο τον Λουμπαρδιάρη'.,Δ
15,"Γ. ""η οφιοειδής κίνηση""",Γ
16,"Β. ""Φ. Γκόγια""",Β
17,"Β. ""της ρωπογραφίας""",Γ
18,"Β. ""Μονέ""",Β
19,Η σωστή απάντηση είναι η Δ. 'της παρουσίας ελληνικών παροικιών στην Μεσόγειο.'.,Α
20,"Δ. ""«Οι αστοί του Καλαί» του Α. Ροντέν""",Δ
21,"Η σωστή απάντηση είναι η Γ: ""αυξήθηκαν εντυπωσιακά οι ελληνικές εξαγωγές"".",Α
22,"Β. ""Λούντβιχ Μις Βαν Ντερ Ρόε""",Β
23,Η σωστή απάντηση είναι η Γ: 'Η κίνηση των μορφών'.,Γ
24,"Δ. ""Εκτόρ Γκιμάρ""",Δ
25,"Β. ""Μαρσέλ Ντυσάν""",Β
26,"Β. ""Πωλ Κλέε""",Β
27,"Η σωστή απάντηση είναι η Γ: ""ύστερα από την ενσωμάτωση των Ιονίων Νήσων και της Θεσσαλίας"".",Δ
28,"Β. ""Νικόλαος Λύτρας.""",Β
29,"Β. ""Ευστάθιο από το Σαιν - Πιέρ""",Β
30,"Η σωστή απάντηση είναι η Γ. ""Ποπ Αρτ."".",Γ
31,"Α. ""Γένεσις-Πάθη-Δοξαστικόν""",Α
32,"Δ. ""Γ. Μόρις""",Δ
33,"Δ. ""χυτοσίδηρο και γυαλί""",Δ
34,"Β. ""της κινητικής τέχνης""",Β
35,"Β. ""φουτουριστικής αρχιτεκτονικής""",Γ
36,"Γ. ""η οφιοειδής κίνηση""",Γ
37,"Γ. ""φθάσουν τα προϊόντα από τον παραγωγό στον καταναλωτή""",Γ
38,Η σωστή απάντηση είναι η Γ. Max Weber.,Γ
39,"Η σωστή απάντηση είναι η Β. ""Στην οικονομική λειτουργία"".",Β
40,"Η σωστή απάντηση είναι η επιλογή Α: ""Προγραμματισμού ή σχεδιασμού, οργάνωσης, διεύθυνσης και ελέγχου.""",Α
41,"Α. ""η τιμή""",Α
42,Τα νέα διοικητικά συστήματα είναι λειτουργικοί στόχοι της επιχείρησης και αναφέρονται στις καινοτομίες.,Γ
43,"Β. ""Χρηματοοικονομική Διοίκηση""",Β
44,"Α. ""τον βαθμό επίτευξης των στόχων""",Α
45,"Β. ""στην οικονομική λειτουργία""",Β
46,Η σωστή απάντηση είναι η Γ: 'η λήψη αποφάσεων'.,Δ
47,"Δ. ""Την κοινωνική οργάνωση μιας χώρας""",Γ
48,Η σωστή απάντηση είναι η Δ. 'η προφορική και η γραπτή επικοινωνία'.,Α
49,"Β. ""Ενρί Φεϊόλ (Henri Fayol)""",Δ
50,"Η σωστή απάντηση είναι η Β. ""Εκπαίδευση και Ανάπτυξη"".",Δ
51,Η σωστή απάντηση είναι η Γ.,Γ
52,"Η σωστή απάντηση είναι η Β. ""Εκπαίδευση και Ανάπτυξη"".",Δ
53,"Δ. ""κοινωνικό περιβάλλον της επιχείρησης.""",Α
54,Η σωστή απάντηση είναι η Γ: 'η λήψη αποφάσεων'.,Δ
55,"Β. ""Τους Elton Mayo και F. Roethlisberger""",Β
56,"Α. ""να φθάσουν τα προϊόντα ή οι υπηρεσίες από τον παραγωγό στον καταναλωτή.""",Α
57,"Η σωστή απάντηση είναι η Α: ""Διανοητικές, ανθρώπινες και τεχνικές"".",Α
58,"Δ. ""Mayo και Roethlisberger""",Δ
59,"Β. ""Εμπορική λειτουργία""",Β
60,"Β. ""Εμπορική λειτουργία""",Β
61,"Η σωστή απάντηση είναι η Γ. '0,02'.",Β
62,"Δ. ""Προγραμματισμός""",Δ
63,Η σωστή απάντηση είναι η Β. 'το προϊόν'.,Β
64,"Β. ""Νομικό περιβάλλον της επιχείρησης.""",Β
65,"Δ. ""αποφασίζουμε σε συνθήκες κινδύνου.""",Δ
66,"Γ. ""Ανάγκες εγωιστικές ή αναγνώρισης""",Γ
67,Η σωστή απάντηση είναι η Δ. 'η προφορική και η γραπτή επικοινωνία'.,Α
68,"Η σωστή απάντηση είναι η Γ: ""προγραμματισμός, αξιολόγηση, επαναπληροφόρηση.""",Α
69,Η σωστή απάντηση είναι η Γ. 'Στη διοίκηση παραγωγής.'.,Γ
70,"Δ. ""νομικό περιβάλλον""",Α
71,Η σωστή απάντηση είναι η Γ. '50 άτομα.'.,Γ
72,Η σωστή απάντηση είναι η Β. 'το προϊόν'.,Β
73,"Η σωστή απάντηση είναι η επιλογή Α: ""Προγραμματισμού ή σχεδιασμού, οργάνωσης, διεύθυνσης και ελέγχου.""",Α
74,"Β. ""ο έλεγχος των αποθεμάτων""",Δ
75,"Δ. ""της διεύθυνσης.""",Β
76,Η σωστή απάντηση είναι η Δ. 'περνά όραμα'.,Δ
77,"Η σωστή απάντηση είναι η Β. ""Στην οικονομική λειτουργία"".",Β
78,"Γ. ""Ανάγκες εγωιστικές ή αναγνώρισης""",Γ
79,"Β. ""Fraderick Taylor.""",Β
80,Η σωστή απάντηση είναι η Δ. 'τη βέλτιστη δυνατή διαχείριση των κεφαλαίων της επιχείρησης.'.,Α
81,"Το σύστημα αξιών, το οποίο χαρακτηρίζει διάφορες κοινωνικές ομάδες ή έναν ολόκληρο λαό αποτελεί στοιχείο του ""Πολιτισμικού Περιβάλλοντος"".",Γ
82,Η σωστή απάντηση είναι η Α.,Δ
83,"Γ. ""Βιοτεχνικές επιχειρήσεις""",Γ
84,"Β. ""τους Elton Mayo και F. Roethlisberger""",Β
85,"Η σωστή απάντηση είναι η επιλογή Α: ""Καθαρό Κέρδος ή Ζημία / Χρησιμοποιηθέντα Κεφάλαια"".",Α
86,"Η σωστή απάντηση είναι η Γ: ""το προϊόν"".",Γ
87,"Β. ""Fayol""",Β
88,Η σωστή απάντηση είναι η Δ. 'Αν το προϊόν παρουσιάζει αποκλίσεις από τα πρότυπα που έχουν τεθεί στο σχεδιασμό της παραγωγής.',Α
89,"Β. ""στις δομές/διαδικασίες""",Γ
90,"Γ. ""περνά όραμα""",Γ
91,"Δ. ""οι επισκέπτες ενός ζωολογικού κήπου.""",Β
92,"Η σωστή απάντηση είναι η Β. ""της διεύθυνσης"".",Γ
93,"Η σωστή απάντηση είναι η Β: ""το περιβάλλον μέσα στο οποίο ασκεί την ηγεσία"".",Γ
94,"Δ. ""του προγραμματισμού του ανθρώπινου δυναμικού.""",Δ
95,Η σωστή απάντηση είναι η Β. 'Στη λειτουργία προμηθειών'.,Β
96,"Η σωστή απάντηση είναι η Δ: 'η ενσυναίσθηση, που σημαίνει ότι ο δέκτης ακούει και κατανοεί από τη θέση του πομπού όσα ο τελευταίος του μεταβιβάζει.'.",Δ
97,Η σωστή απάντηση είναι η Α. 'η προβολή και η προώθηση των προϊόντων ή υπηρεσιών.',Α
98,Η σωστή απάντηση είναι η Β.,Β
99,Η σωστή απάντηση είναι η Δ. 'Αν το προϊόν παρουσιάζει αποκλίσεις από τα πρότυπα που έχουν τεθεί στο σχεδιασμό της παραγωγής.',Α
100,"Η σωστή απάντηση είναι η επιλογή Α: ""η τιμή του αγαθού αυξάνεται και η ζήτησή του είναι ελαστική.""",Γ
