id,generated_answer,correct_answer
1,"Β. ""χρειάζεται να ανέβει τους έξι ορόφους του πύργου (μέσω του εξωτερικού κλιμακοστάσιου, το οποίο ελίσσεται κοχλιωτά και σε επαφή με τον εξωτερικό τοίχο).""",Α
2,"Β. ""το 1985 απέναντι από το Στάδιο Καραϊσκάκη στο ανατολικό άκρο του Φαληρικού Όρμου.""",Β
3,"Β. ""λογικά θα περάσει πρώτα από το Ρίο και μετά από το Αντίρριο.""",Α
4,"Β. ""Πανεπιστήμιο, Βιβλιοθήκη, Ακαδημία.""",Α
5,"Β. ""το νησί Στρογγύλη.""",Β
6,"Β. ""το νησί Ερείκουσα.""",Α
7,"Β. ""η βορειότερη περιοχή της Ελλάδας.""",Α
8,"Β. ""Το νησί Γαύδος.""",Β
9,"Β. ""Η μαιανδρικότητα του Α είναι μικρότερη από αυτή του Β.""",Α
10,"Α. ""Το γάλα.""",Α
11,"Β. ""από άγριο ή ήμερο ζώο.""",Β
12,"Β. ""τότε ο τραχανάς γίνεται πιο αραιός.""",Α
13,"Β. ""τότε ο τραχανάς γίνεται πιο ξερός.""",Β
14,"Β. ""Όταν βράσει καλά και στεγνώσει.""",Β
15,"Β. ""Γιατί η διαδικασία ολοκληρώνεται πιο εύκολα με τον ήλιο επειδή έχει φως.""",Α
16,"Β. ""το βάζουν σε τσαντίλα και το χτυπάνε καλά.""",Α
17,"Α. ""Το ξινόγαλο βράζει και η μυζήθρα βγαίνει στην επιφάνεια του δοχείου.""",Α
18,"Β. ""Να έχει λαδωθεί.""",Β
19,"Β. ""σε υψόμετρο άνω των 1.500 μέτρων.""",Α
20,"Β. ""Ωμό πλιγούρι και τυρί.""",Α
21,"Β. ""είχαν πάντα αυστηρά γεωμετρικά σχέδια.""",Α
22,Η σωστή απάντηση είναι η επιλογή Β.,Α
23,"Β. ""α) η κλίση του γηπέδου προς το νότο, β) η μικρή υψομετρική διαφορά μεταξύ ανατολικής και δυτικής πλευράς και γ) οι γειτονικές παρεμποδίσεις να βρίσκονται στο βορρά""",Β
24,"Β. ""προτιμάται ο χυτοχάλυβας από τον χυτοσίδηρο, καθώς ο πρώτος είναι περισσότερο παχύρρευστος.""",Α
25,"Β. ""Όταν η γωνία κ είναι μεγάλη, το πάχος του αποβλίττου είναι μικρό αλλά η κατανομή της φόρτισης στο εργαλείο γίνεται σε μια πολύ μικρή περιοχή του. Αυτό έχει ως συνέπεια την ελάττωση του χρόνου ζωής του κοπτικού εργαλείου.""",Β
26,"Β. ""χρησιμοποιούνται διεισδυτές από διαμάντι για τη σκληρομέτρηση.""",Α
27,"Β. ""παράγονται καπλαμάδες από κόντρα πλακέ θαλάσσης.""",Α
28,"Β. ""συνήθως αποτελείται από κωνικόμορφα κορμοτεμάχια.""",Α
29,"Β. ""το ξύλο έχει παρόμοια μηχανική αντοχή σε διαφορετικές αυξητικές διευθύνσεις (αξονικά, εγκάρσια).""",Α
30,"Β. ""Από τον δείκτη του μανόμετρου.""",Α
31,"Α. ""ελέγχω τη στάθμη λαδιού του κινητήρα.""",Α
32,"Β. ""ίδια μορφή πέλματος και ίδιο βαθμό φθοράς.""",Β
33,"Β. ""ενώ ο τροχός βρίσκεται στον αέρα.""",Α
34,"Β. ""σε ένδειξη υψηλής θερμοκρασίας.""",Β
35,"Β. ""Αντιπηκτικό νερό.""",Β
36,"Β. ""βλάβη σε κάποια ασφάλεια.""",Α
37,"Β. ""Να φοράω γάντια από καουτσούκ.""",Β
38,"Β. ""που έχουν ζημιές στην καλωδίωση.""",Α
39,"Β. ""δεν πρέπει να υπάρχει μειωμένη στάθμη καυσίμου.""",Α
40,"Β. ""45 με 50 εκατοστά.""",Β
41,"Β. ""Το αυτοκίνητο σταμάτησε σε μικρότερη απόσταση αφού πλέον η επιβράδυνση οφειλόταν στην τριβή ολίσθησης και όχι στην στατική τριβή.""",Α
42,"Β. ""Εκείνος όμως έπλυνε και το παρμπρίζ.""",Α
43,"Β. ""Στερεώνουμε κατακόρυφα στο έδαφος ένα ξύλο με τέτοιο ύψος ώστε να αφήνει μια ευδιάκριτη σκιά στο έδαφος και σημαδεύουμε την άκρη της σκιάς. Περιμένουμε ώσπου να μετακινηθεί η σκιά περίπου 40 εκ. και σημαδεύουμε τη νέα θέση. Ενώνουμε τα δύο σημεία με μια ευθεία. Το πρώτο σημείο που σημαδέψαμε είναι το Δυτικό, ενώ το δεύτερο είναι το Ανατολικό. Η ευθεία δείχνει τον άξονα Ανατολής-Δύσης.""",Β
44,"Β. ""μπορούμε να τα πλύνουμε σε πλυντήριο ρούχων.""",Β
45,"Β. ""τοποθετώντας τον αντίχειρα, τον δείκτη και τον μέσο στις δύο τρύπες.""",Α
46,"Β. ""κοντομάνικα και μακρυμάνικα μπλουζάκια.""",Β
47,"Β. ""η πόρτα της κρεβατοκάμαρας.""",Α
48,"Β. ""μήπως ο σκύλος ξηλώσει την οπτική ίνα από την κορνίζα του τοίχου.""",Α
49,"Β. ""κλείνουμε τις στρόφιγγες κατά τη φορά των δεικτών του ρολογιού.""",Β
50,"Β. ""παντελόνι και σακάκι.""",Α
51,"Β. ""είναι προτιμότερο να προσθέσετε με φειδώ και να συμπληρώσετε αργότερα.""",Β
52,"Β. ""κοντό, μικροκαμωμένο με μεγάλη μύτη.""",Β
53,"Β. ""προσέχω να έχουν μουλιάσει καλά πριν να τις ρίξω στο τηγάνι.""",Β
54,"Β. ""Μέσα στο οινόπνευμα διαλύονται διάφορες χρωστικές για να δοθεί το χρώμα του.""",Β
55,"Β. ""είναι υπεύθυνη μια ξηρή ρητίνη.""",Α
56,"Β. ""Γιατί ο αέρας που περιέχει έχει μεγαλύτερη πίεση από τον εξωτερικό αέρα της ατμόσφαιρας.""",Β
57,"Β. ""στράφηκε αριστερά για να ανάψει ένα κερί. Στη συνέχεια κοίταξε προς τα δεξιά για να θαυμάσει το τέμπλο του ιερού.""",Α
58,"Β. ""επειδή η πίεση του αέρα στα επιμέρους τμήματά του διαφέρει.""",Β
59,"Β. ""εάν δεν είναι κούφιο.""",Α
60,"Β. ""Οι πυροσβέστες αποφασίζουν να προσεγγίσουν τη φωτιά από το βορρά.""",Β
61,Η σωστή απάντηση είναι η επιλογή Β.,Β
62,"Β. ""Με τα φύλλα.""",Β
