id,generated_answer,correct_answer
0,Β,Β
1,Β,Α
2,Γ,Γ
3,Γ,Γ
4,Δ,Δ
5,Β,Β
6,Δ,Δ
7,Α,Δ
8,Α,Α
9,Β,Β
10,Β,Β
11,Α,Δ
12,Γ,Γ
13,Δ,Δ
14,Α,Δ
15,Α,Γ
16,Β,Β
17,Γ,Γ
18,Β,Β
19,Α,Α
20,Δ,Δ
21,Α,Α
22,Β,Β
23,Β,Γ
24,Δ,Δ
25,Β,Β
26,Β,Β
27,Β,Δ
28,Β,Β
29,Β,Β
30,Γ,Γ
31,Β,Α
32,Β,Δ
33,Δ,Δ
34,Β,Β
35,Α,Γ
36,Α,Γ
37,Δ,Γ
38,Γ,Γ
39,Β,Β
40,Α,Α
41,Α,Α
42,Δ,Γ
43,Β,Β
44,Α,Α
45,Β,Β
46,Γ,Δ
47,Γ,Γ
48,Γ,Α
49,Β,Δ
50,Γ,Δ
51,Γ,Γ
52,Γ,Δ
53,Γ,Α
54,Γ,Δ
55,Β,Β
56,Α,Α
57,Α,Α
58,Δ,Δ
59,Β,Β
60,Β,Β
61,Β,Β
62,Δ,Δ
63,Β,Β
64,Β,Β
65,Δ,Δ
66,Γ,Γ
67,Γ,Α
68,Α,Α
69,Γ,Γ
70,Δ,Α
71,Β,Γ
72,Β,Β
73,Α,Α
74,Β,Δ
75,Β,Β
76,Δ,Δ
77,Β,Β
78,Γ,Γ
79,Β,Β
80,Δ,Α
81,Γ,Γ
82,Α,Δ
83,Γ,Γ
84,Β,Β
85,Α,Α
86,Γ,Γ
87,Β,Β
88,Δ,Α
89,Γ,Γ
90,Γ,Γ
91,Β,Β
92,Β,Γ
93,Γ,Γ
94,Δ,Δ
95,Β,Β
96,Δ,Δ
97,Α,Α
98,Β,Β
99,Δ,Α
100,Γ,Γ
101,Γ,Γ
102,Β,Β
103,Δ,Δ
104,Γ,Γ
105,Β,Β
106,Β,Δ
107,Α,Δ
108,Β,Β
109,Α,Δ
110,Β,Δ
111,Β,Β
112,Γ,Γ
113,Β,Γ
114,Γ,Γ
115,Β,Β
116,Β,Β
117,Β,Β
118,Α,Δ
119,Γ,Α
120,Δ,Β
121,Β,Α
122,Β,Α
123,Δ,Δ
124,Δ,Δ
125,Γ,Β
126,Β,Β
127,Γ,Γ
128,Γ,Γ
129,Γ,Γ
130,Δ,Β
131,Α,Α
132,Β,Γ
133,Β,Δ
134,Β,Β
135,Δ,Δ
136,Δ,Α
137,Β,Β
138,Γ,Γ
139,Β,Β
140,Β,Β
141,Β,Β
142,Δ,Γ
143,Γ,Γ
144,Γ,Β
145,Β,Γ
146,Β,Β
147,Δ,Δ
148,Γ,Γ
149,Β,Γ
150,Δ,Δ
151,Γ,Γ
152,Γ,Γ
153,Δ,Β
154,Β,Β
155,Β,Γ
156,Γ,Γ
157,Β,Β
158,Γ,Γ
159,Β,Β
160,Γ,Γ
161,Β,Δ
162,Β,Γ
163,Δ,Δ
164,Γ,Γ
165,Γ,Γ
166,Β,Β
167,Α,Δ
168,Γ,Γ
169,Δ,Γ
170,Α,Β
171,Δ,Δ
172,Α,Α
173,Β,Β
174,Γ,Γ
175,Α,Δ
176,Γ,Β
177,Δ,Β
178,Γ,Γ
179,Γ,Γ
180,Β,Β
181,Δ,Δ
182,Γ,Γ
183,Δ,Δ
184,Α,Δ
185,Β,Γ
186,Β,Α
187,Γ,Δ
188,Δ,Β
189,Α,Α
190,Α,Α
191,Β,Δ
192,Β,Α
193,Δ,Δ
194,Δ,Δ
195,Δ,Α
196,Γ,Γ
197,Α,Β
198,Β,Α
199,Γ,Γ
200,Β,Β
201,Γ,Γ
202,Γ,Γ
203,Γ,Γ
204,Δ,Γ
205,Β,Γ
206,Α,Γ
207,Γ,Γ
208,Δ,Δ
209,Γ,Γ
210,Β,Β
211,Β,Α
212,Α,Α
213,Γ,Δ
214,Γ,Γ
215,Β,Β
216,Α,Α
217,Β,Δ
218,Β,Α
219,Γ,Γ
220,Β,Β
221,Δ,Δ
222,Β,Β
223,Δ,Δ
224,Β,Γ
225,Β,Β
226,Β,Β
227,Δ,Δ
228,Γ,Γ
229,Δ,Δ
230,Γ,Γ
231,Β,Γ
232,Β,Α
233,Β,Α
234,Α,Β
235,Α,Δ
236,Β,Β
237,Β,Β
238,Δ,Δ
239,Α,Α
240,Β,Δ
241,Γ,Α
242,Γ,Β
243,Δ,Γ
244,Β,Α
245,Β,Δ
246,Δ,Α
247,Α,Α
248,Α,Α
249,Δ,Δ
250,Α,Α
251,Δ,Β
252,Α,Α
253,Δ,Δ
254,Δ,Α
255,Δ,Γ
256,Α,Α
257,Γ,Γ
258,Β,Β
259,Γ,Δ
260,Γ,Γ
261,Γ,Δ
262,Β,Δ
263,Δ,Δ
264,Α,Δ
265,Β,Δ
266,Α,Γ
267,Γ,Γ
268,Γ,Α
269,Β,Δ
270,Δ,Δ
271,Α,Δ
272,Β,Β
273,Δ,Δ
274,Γ,Γ
275,Β,Β
276,Γ,Γ
277,Β,Β
278,Α,Α
279,Γ,Δ
280,Β,Γ
281,Β,Α
282,Γ,Γ
283,Β,Β
284,Β,Γ
285,Γ,Γ
286,Β,Γ
287,Β,Β
288,Γ,Β
289,Β,Α
290,Β,Δ
291,Β,Δ
292,Γ,Δ
293,Γ,Γ
294,Α,Α
295,Δ,Δ
296,Α,Δ
297,Β,Δ
298,Β,Β
299,Β,Δ
300,Β,Β
301,Γ,Β
302,Β,Γ
303,Γ,Β
304,Β,Β
305,Γ,Α
306,Γ,Α
307,Β,Β
308,Γ,Γ
309,Β,Δ
310,Β,Γ
311,Β,Γ
312,Α,Α
313,Γ,Δ
314,Γ,Γ
315,Δ,Β
316,Γ,Γ
317,Β,Δ
318,Β,Β
319,Β,Α
320,Γ,Γ
321,Γ,Α
322,Α,Α
323,Α,Α
324,Β,Γ
325,Β,Γ
326,Β,Α
327,Γ,Γ
328,Β,Γ
329,Β,Γ
330,Α,Α
331,Δ,Δ
332,Δ,Γ
333,Δ,Δ
334,Γ,Γ
335,Β,Β
336,Δ,Δ
337,Γ,Γ
338,Γ,Γ
339,Γ,Β
340,Δ,Δ
341,Γ,Α
342,Α,Α
343,Β,Δ
344,Γ,Β
345,Β,Β
346,Β,Δ
347,Γ,Γ
348,Γ,Β
349,Γ,Γ
350,Β,Β
351,Β,Γ
352,Γ,Β
353,Β,Β
354,Β,Β
355,Β,Γ
356,Α,Δ
357,Δ,Δ
358,Α,Δ
359,Δ,Δ
360,Γ,Γ
361,Β,Δ
362,Γ,Β
363,Β,Β
364,Β,Δ
365,Β,Β
366,Δ,Δ
367,Α,Β
368,Α,Α
369,Α,Α
370,Β,Β
371,Δ,Β
372,Β,Β
373,Δ,Δ
374,Δ,Δ
375,Δ,Δ
376,Γ,Δ
377,Β,Β
378,Δ,Α
379,Δ,Δ
380,Γ,Γ
381,Γ,Γ
382,Δ,Γ
383,Β,Β
384,Β,Δ
385,Γ,Β
386,Β,Β
387,Δ,Δ
388,Β,Β
389,Γ,Γ
390,Α,Α
391,Β,Δ
392,Β,Β
393,Δ,Δ
394,Β,Β
395,Β,Γ
396,Β,Α
397,Β,Γ
398,Δ,Δ
399,Β,Α
400,Δ,Γ
401,Δ,Δ
402,Α,Α
403,Δ,Α
404,Β,Γ
405,Δ,Γ
406,Β,Γ
407,Β,Β
408,Γ,Γ
409,Α,Α
410,Β,Γ
411,Γ,Γ
412,Β,Γ
413,Γ,Γ
414,Δ,Δ
415,Α,Γ
416,Β,Α
417,Α,Α
418,Γ,Α
419,Γ,Α
420,Β,Β
421,Β,Β
422,Δ,Α
423,Δ,Δ
424,Α,Γ
425,Β,Α
426,Δ,Γ
427,Β,Β
428,Δ,Δ
429,Β,Γ
430,Γ,Γ
431,Β,Β
432,Δ,Δ
433,Δ,Α
434,Δ,Δ
435,Γ,Α
436,Δ,Δ
437,Α,Α
438,Β,Β
439,Β,Β
440,Β,Γ
441,Β,Β
442,Α,Α
443,Α,Α
444,Γ,Γ
445,Δ,Δ
446,Β,Β
447,Β,Α
448,Γ,Β
449,Γ,Δ
450,Α,Α
451,Β,Α
452,Α,Α
453,Γ,Δ
454,Δ,Γ
455,Α,Β
456,Α,Α
457,Β,Γ
458,Β,Β
459,Δ,Δ
460,Γ,Γ
461,Β,Β
462,Γ,Γ
463,Γ,Β
464,Β,Β
465,Δ,Δ
466,Β,Β
467,Β,Α
468,Δ,Δ
469,Β,Α
470,Β,Γ
471,Β,Δ
472,Δ,Δ
473,Γ,Γ
474,Α,Α
475,Β,Β
476,Β,Δ
477,Β,Β
478,Β,Δ
479,Β,Α
480,Γ,Γ
481,Γ,Α
482,Δ,Β
483,Δ,Β
484,Α,Α
485,Γ,Γ
486,Β,Β
487,Δ,Δ
488,Δ,Δ
489,Δ,Δ
490,Δ,Δ
491,Γ,Γ
492,Γ,Γ
493,Γ,Γ
494,Δ,Δ
495,Β,Β
496,Β,Β
497,Γ,Γ
498,Β,Β
499,Β,Β
500,Γ,Δ
501,Δ,Δ
502,Β,Α
503,Β,Γ
504,Δ,Α
505,Α,Γ
506,Α,Γ
507,Δ,Α
508,Β,Α
509,Β,Δ
510,Γ,Δ
511,Γ,Δ
512,Δ,Δ
513,Β,Α
514,Β,Δ
515,Β,Β
516,Δ,Δ
517,Γ,Δ
518,Δ,Γ
519,Β,Α
520,Γ,Α
521,Γ,Γ
522,Δ,Γ
523,Α,Γ
524,Δ,Γ
525,Β,Δ
526,Γ,Α
527,Γ,Γ
528,Α,Δ
529,Δ,Γ
530,Β,Β
531,Γ,Γ
532,Β,Γ
533,Α,Α
534,Α,Α
535,Δ,Δ
536,Γ,Β
537,Δ,Δ
538,Γ,Γ
539,Δ,Α
540,Β,Α
541,Δ,Δ
542,Γ,Γ
543,Α,Α
544,Β,Β
545,Β,Δ
546,Γ,Γ
547,Γ,Γ
548,Γ,Γ
549,Β,Γ
550,Β,Β
551,Β,Β
