id,generated_answer,correct_answer
1,Β,Α
2,Β,Β
3,Α,Α
4,Β,Α
5,Β,Β
6,Β,Α
7,Β,Α
8,Β,Β
9,Β,Α
10,Α,Α
11,Β,Β
12,Β,Α
13,Β,Β
14,Α,Β
15,Β,Α
16,Α,Α
17,Β,Α
18,Β,Β
19,Β,Α
20,Β,Α
21,Β,Α
22,Α,Α
23,Β,Β
24,Β,Α
25,Β,Β
26,Β,Α
27,Β,Α
28,Β,Α
29,Α,Α
30,Α,Α
31,Α,Α
32,Β,Β
33,Β,Α
34,Β,Β
35,Β,Β
36,Β,Α
37,Β,Β
38,Β,Α
39,Β,Α
40,Β,Β
41,Β,Α
42,Β,Α
43,Β,Β
44,Β,Β
45,Β,Α
46,Β,Β
47,Β,Α
48,Β,Α
49,Β,Β
50,Β,Α
51,Β,Β
52,Β,Β
53,Α,Β
54,Β,Β
55,Α,Α
56,Β,Β
57,Β,Α
58,Β,Β
59,Α,Α
60,Β,Β
61,Β,Β
62,Β,Β
63,Α,Α
64,Β,Β
65,Β,Α
66,Β,Α
67,Β,Β
68,Β,Α
69,Β,Β
70,Β,Α
71,Β,Β
72,Α,Α
73,Β,Β
74,Β,Β
75,Β,Β
76,Β,Α
77,Α,Α
78,Β,Α
79,Β,Α
80,Β,Β
81,Β,Β
82,Β,Α
83,Β,Α
84,Β,Α
85,Β,Α
86,Β,Β
87,Β,Β
88,Β,Α
89,Β,Α
90,Β,Α
91,Β,Α
92,Β,Β
93,Β,Β
94,Β,Β
95,Α,Α
96,Β,Β
97,Α,Α
98,Β,Β
99,Β,Α
100,Β,Β
101,Β,Α
102,Β,Β
103,Α,Β
104,Β,Α
105,Β,Α
106,Β,Α
107,Β,Β
108,Β,Β
109,Β,Β
110,Γ,Α
111,Β,Α
112,Β,Α
113,Α,Α
114,Β,Β
115,Β,Β
116,Α,Α
117,Β,Α
118,Β,Β
119,Β,Α
120,Β,Α
121,Β,Β
122,Β,Α
123,Β,Α
124,Α,Α
125,Β,Β
126,Α,Α
127,Β,Β
128,Β,Β
129,Β,Α
130,Β,Β
131,Β,Α
132,Β,Β
133,Β,Α
134,Β,Α
135,Β,Β
136,Β,Α
137,Α,Α
138,Β,Β
139,Β,Β
140,Α,Β
141,Α,Α
142,Α,Α
143,Α,Α
144,Β,Α
145,Β,Β
146,Β,Β
147,Β,Α
148,Β,Α
149,Β,Β
150,Β,Α
151,Α,Α
152,Β,Β
153,Β,Β
154,Α,Α
155,Β,Β
156,Β,Α
157,Β,Β
158,Β,Β
159,Β,Α
160,Β,Β
161,Β,Β
162,Β,Β
163,Β,Α
164,Β,Β
165,Α,Α
166,Β,Β
167,Β,Β
168,Α,Α
169,Α,Α
170,Β,Β
171,Β,Α
172,Β,Α
173,Α,Α
174,Β,Β
175,Β,Α
176,Β,Β
177,Β,Α
178,Β,Β
179,Α,Α
180,Α,Α
181,Α,Α
182,Β,Β
183,Β,Α
184,Β,Α
185,Β,Β
186,Β,Β
187,Α,Α
188,Β,Α
189,Β,Β
190,Α,Α
191,Β,Α
192,Β,Α
193,Β,Β
194,Β,Β
195,Β,Α
196,Β,Β
197,Β,Α
198,Β,Β
199,Β,Α
200,"Η σωστή απάντηση είναι η **Α** και η **Β** είναι η ίδια με την **Α**, δηλαδή **Α**.

(Απάντηση: **Α**)",Α
201,Α,Α
202,Β,Α
203,Β,Β
204,Β,Β
205,Β,Α
206,Β,Β
207,Β,Β
208,Β,Β
