id,generated_answer,correct_answer
16,"Β. ""συνδέει το κάτω χείλος των πνευμόνων με το διάφραγμα""",Δ
28,"Β. ""στο 2ο μεσοπλεύριο διάστημα""",Γ
30,"Δ. ""πλάγια ιερή αρτηρία""",Β
37,"Β. ""κατώτερων οισοφαγικών φλεβών""",Γ
40,"Η σωστή απάντηση είναι η Γ: ""τα οσφυικά στελέχη"".",Γ
57,"Η σωστή απάντηση είναι η Β. ""Σπληνικής αρτηρίας"".",Ε
58,"Η σωστή απάντηση είναι η επιλογή Β: ""Η προπυλωρική φλέβα"".",Β
65,"Η σωστή απάντηση είναι η Β: ""Το περιτόναιο καλύπτει το άνω 3μόριο του δεξιού νεφρού"".",Ε
67,Η σωστή απάντηση είναι η επιλογή Α.,Γ
70,"Δ. ""Το δεξιό πνευμονογαστρικό νεύρο""",Α
72,"Η σωστή απάντηση είναι η επιλογή Β: ""Το μείζον επίπλουν, το έλασσον επίπλουν και ο γαστροφρενικός σύνδεσμος"".",Ε
84,"Ε, όλα τα ανωτέρω.",Γ
88,"Ε. ""όλα τα ανωτέρω""",Α
94,"Β. ""την ηπατική αρτηρία και την πυλαία φλέβα""",Β
97,Ε - Όλα τα παραπάνω,Α
98,"Η σωστή απάντηση είναι η Γ. Ο μείζων θωρακικός πόρος παροχετεύει την χυλοφόρο δεξαμενή, η οποία βρίσκεται μπροστά από τον Θ12 σπόνδυλο, πίσω και δεξιά από την αορτή.",Γ
99,"Ε. ""Όλες οι παραπάνω""",Α
102,"Ε. ""Όλα τα παραπάνω""",Ε
107,"Δ. ""Όλα τα παραπάνω""",Α
108,"Δ. ""Κανένα από τα παραπάνω""",Γ
111,"Δ. ""Όλα τα παραπάνω""",Α
117,"Δ. ""Όλα τα παραπάνω""",Β
121,"Δ. ""Όλα τα παραπάνω""",Β
123,"Δ. ""Όλες οι παραπάνω""",Β
124,"Δ. ""Όλες οι παραπάνω""",Α
129,"Δ. ""Όλες οι παραπάνω""",Α
138,"Δ. ""Όλα τα παραπάνω""",Α
146,Ε: Όλα τα παραπάνω,Α
154,"Η σωστή απάντηση είναι η Α: ""Πρόσθιο κατιόντα κλάδο και περισπώμενο κλάδο"".",Α
163,"Β. ""Τρία""",Γ
166,"Β. ""Πλάγια δέσμη του νωτιαίου μυελού""",Δ
176,"Β. ""του άνω λαρυγγικού νεύρου""",Δ
179,"Η σωστή απάντηση είναι η επιλογή Β: ""διέρχεται δια του αορτικού τρήματος του διαφράγματος"".",Β
181,"Β. ""το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως, τα μαστία""",Γ
182,"Β. ""η μεσολόβια αύλακα""",Γ
187,"Α. ""στο γλωσσοφαρυγγικό""",Α
188,"Β. ""Στον υποθάλαμο""",Ε
190,"Η σωστή απάντηση είναι η Γ: ""Στον υπαραχνοειδή χώρο"".",Γ
191,Η σωστή απάντηση είναι η Γ. 'Η αραχνοειδής μήνιγγα'.,Γ
202,"Η σωστή απάντηση είναι η επιλογή Β: ""Ο καταφυτικός τένοντας του άνω λόξου μυός"".",Α
204,Η σωστή απάντηση είναι η Ε. 'Στον κερατοειδή χιτώνα'.,Ε
207,Η σωστή απάντηση είναι η Γ: 'Με συνδέσμους'.,Γ
208,"Δ. ""Του τριδύμου νεύρου""",Β
213,"Δ. ""στους υγρούς ιστούς""",Δ
221,"Δ. ""οι αρτηρίες που αναστομώνονται με φλέβες""",Γ
224,"Β. ""ένα από τα περιβλήματα του νευρίτη""",Β
225,"Α. ""η λειτουργική και ανατομική μονάδα του νευρικού ιστού""",Γ
229,"Ε. ""όλα τα ανωτέρω είναι σωστά""",Γ
230,"Η σωστή απάντηση είναι η Γ: ""μυϊκών και ελαστικών στοιχείων"".",Γ
233,"Δ. ""τίποτε από τα ανωτέρω""",Δ
235,"Δ. ""ήπαρ""",Δ
237,"Β. ""αποτελούν ένα από τα επικουρικά μόρια των αρθρώσεων""",Δ
240,"Β. ""Κοινού περονιαίου νεύρου""",Β
247,"Β. ""πτερυγοϋπερώιος βόθρος – πρώτος κλάδος του τριδύμου""",Α
252,"Δ. ""ο τένοντας του περονιαίου μυός""",Γ
254,"Η σωστή απάντηση είναι η Γ: ""βλάβη ή διατομή ενός νεύρου"".",Δ
264,"Δ. ""και από τους τρεις ανωτέρω συνδέσμους""",Γ
267,Η σωστή απάντηση είναι η Ε. 'από όλα τα ανωτέρω ανατομικά στοιχεία'.,Α
283,Η αμυγδαλική αρτηρία είναι κλάδος της κάτω θυρεοειδούς αρτηρίας. Η σωστή απάντηση είναι η επιλογή Γ.,Δ
287,"Ε. ""όλα τα ανωτέρω""",Β
289,"Β. ""σπληνική αρτηρία""",Γ
297,"Β. ""8 οστά""",Β
300,"Β. ""στο κάτω τοίχωμα του οφθαλμικού κόγχου""",Α
302,"Δ. ""ο γενειοϋοειδής""",Ε
303,"Β. ""ο σφιγκτήρας μυς των βλεφάρων""",Β
304,"Η σωστή απάντηση είναι η Β. ""ο 4ος"".",Δ
308,"Β. ""Οφθαλμική""",Β
312,"Η σωστή απάντηση είναι η Γ. ""4.8 ημέρες"".",Β
314,"Η σωστή απάντηση είναι η Γ. ""60%"".",Δ
315,"Δ. ""όλα τα παραπάνω""",Α
318,Η σωστή απάντηση είναι η Ε. 'δείκτης της τοξικότητας του φαρμάκου'.,Δ
327,Η σωστή απάντηση είναι η Β. 'η καμπύλη δόσης-αποτελέσματος του αγωνιστή μεταφέρεται δεξιά'.,Β
328,"Η σωστή απάντηση είναι η Β. ""1.3 l/h"".",Δ
331,"Η σωστή απάντηση είναι η Β. ""Στα εκτελεστικά όργανα του συμπαθητικού υπάρχουν μουσκαρινικοί υποδοχείς"".",Α
332,"Η σωστή απάντηση είναι η Γ. ""σύσπαση του σφιγκτήρα της κόρης του οφθαλμού"".",Γ
333,"Γ. ""το παρασυμπαθητικό σύστημα συμμετέχει στην προσαρμογή σε εγγύς όραση, στην προώθηση της τροφής και στην ούρηση""",Γ
335,"Η σωστή απάντηση είναι η Γ: ""η ακετυλοχολίνη"".",Γ
337,"Η σωστή απάντηση είναι η Γ. ""της μυασθένειας"".",Γ
339,Η σωστή απάντηση είναι η Β. 'Καρβαχόλη: προκαλεί απελευθέρωση επινεφρίνης από το μυελό των επινεφριδίων'.,Ε
345,"Δ. ""στην οφθαλμολογία""",Α
351,"Ε. ""κανένα από τα παραπάνω""",Γ
362,"Η σωστή απάντηση είναι η Γ. ""πραζοσίνη"".",Γ
371,Η σωστή απάντηση είναι η Β. 'δεν απενεργοποιείται από το ενζυμο COMT'.,Δ
373,Η σωστή απάντηση είναι η Β. 'νευρομυϊκή πλάκα'.,Β
380,"Β. ""καρδιακοί μύες""",Δ
389,"Ε. ""όλες οι παραπάνω""",Γ
391,"Β. ""της διπολικής καταθλιπτικής διαταραχής""",Β
396,Η σωστή απάντηση είναι η Α. 'αντιψυχωσικό'.,Α
401,"Δ. ""αντικαταθλιπτική ενέργεια""",Δ
403,"Β. ""σεκοβαρβιτάλη""",Γ
404,Η σωστή απάντηση είναι η Δ: 'έχει βραχεία διάρκεια δράσης'.,Α
405,"Η σωστή απάντηση είναι η Β. ""θειοπεντάλη: είναι υπερβραχείας δράσης βαρβιτουρικό"".",Δ
406,"Δ. ""έχουν αγχολυτική, κατασταλτική και υπνωτική δράση""",Δ
410,Η σωστή απάντηση είναι η Β. 'αντιαιμοπεταλιακή δράση'.,Δ
415,"Β. ""ακετυλοσαλικυλικό οξύ""",Α
426,"Ε. ""όλα τα παραπάνω""",Δ
438,"Η σωστή απάντηση είναι η Ε. ""εμβολή"".",Ε
440,"Α. ""νιφεδιπίνη""",Α
441,"Β. ""εναλαπρίλη""",Β
444,"Η σωστή απάντηση είναι η Β. ""αμιλορίδη"".",Β
449,Η σωστή απάντηση είναι η Ε. 'η νιτρογλυκερίνη μειώνει την ανάγκη του μυοκαρδίου σε O2 μέσω αρτηριακής αγγειοδιαστολής (ελάττωση μεταφορτίου) και φλεβοδιαστολής (ελάττωση προφορτίου)'.,Ε
453,"Η σωστή απάντηση είναι η Γ: ""αναστολή της Na+/K+ ATPάσης της μεμβράνης του καρδιακού κυττάρου"".",Γ
454,"Η σωστή απάντηση είναι η Γ: ""συμπληρώματα καλίου αυξάνουν την πιθανότητα τοξικότητας"".",Γ
456,Η σωστή απάντηση είναι η Γ. 'η λιδοκαΐνη ενδείκνυται κυρίως για κολπικές αρρυθμίες'.,Γ
460,Η σωστή απάντηση είναι η Γ. 'παρεμβαίνει στη σύνθεση της αλδοστερόνης'.,Δ
466,"Η σωστή απάντηση είναι η Γ: ""διευκολύνει την απομάκρυνση των LDL"".",Α
471,Η σωστή απάντηση είναι η Β. ',Α
483,"Δ. ""το Β και το Γ""",Β
490,Η σωστή απάντηση είναι η Β. 'των β κυττάρων των νησιδίων του Langerhans στο πάγκρεας'.,Δ
499,"Η σωστή απάντηση είναι η Γ. ""Χρησιμοποιούνται στη θεραπεία του πεπτικού έλκους"".",Γ
504,Η σωστή απάντηση είναι η Δ: 'κλομιφαίνη'.,Δ
507,Η σωστή απάντηση είναι η Ε. 'αυξημένος κίνδυνος εμφάνισης καρκίνου των ωοθηκών'.,Ε
509,Η σωστή απάντηση είναι η Γ.,Α
517,Η σωστή απάντηση είναι η Β.,Δ
521,Η σωστή απάντηση είναι η Β.,Δ
530,"Β. ""βανκομυκίνη και αμινογλυκοσίδες""",Β
536,"Β. ""κλινδαμυκίνη""",Β
539,Η σωστή απάντηση είναι η Β.,Β
550,"Η σωστή απάντηση είναι η Α: ""παρεμποδίζοντας τη σύνθεση του κυτταρικού τοιχώματος"".",Δ
552,"Δ. ""κεφτριαξόνη - στρεπτοκοκκική ενδοκαρδίτιδα""",Δ
566,"Δ. ""σε οποιαδήποτε φάση, καθώς η δράση τους δεν εξαρτάται από κάποια φάση του κύκλου""",Γ
572,Η σωστή απάντηση είναι η Γ. 'η σουματριπτάνη είναι ανταγωνιστής των 5-ΗΤ2Α υποδοχέων σε αιμοπετάλια και αγγειακούς λείους μύες'.,Ε
574,"Ε. ""ονδανσετρόνη""",Δ
580,"Η σωστή απάντηση είναι η Γ. ""εναλαπρίλη"".",Γ
583,"Β. ""κάλιο""",Β
590,"Β. ""σιμετιδίνη""",Β
595,"Β. ""λοιμώξεις ουροφόρων οδών από Pseudomonas aeruginosa""",Δ
599,Η σωστή απάντηση είναι η Γ. 'την μετατροπή της 5-φθοροουρακίλης προς φθοροδεοξυουριδυλικό οξύ (FdUMP)'.,Δ
603,Η σωστή απάντηση είναι η Α. 'Ελάττωση της συσταλτικότητας του μυοκαρδίου μέχρι διαστολικής παύλας'.,Α
610,Η σωστή απάντηση είναι η Δ. 'Η σύγχρονη άρση του τόνου του συμπαθητικού και παρασυμπαθητικού ελαττώνει τη φυσιολογική καρδιακή συχνότητα'.,Α
616,Η σωστή απάντηση είναι η Δ. 'Διαστολικό φύσημα'.,Β
617,Η σωστή απάντηση είναι η Β. 'Μόνο προς τον κολποκοιλιακό κόμβο'.,Α
623,"Η σωστή απάντηση είναι η Γ: ""Κόλποι και κοιλίες πάλλονται με τον ίδιο ρυθμό"".",Β
624,Η σωστή απάντηση είναι η Ε. 'Μειώνεται με τη δράση του πνευμονογαστρικού'.,Β
629,Η σωστή απάντηση είναι η Ε. 'Ρυθμίζει την αρτηριακή πίεση'.,Ε
637,"Η σωστή απάντηση είναι η Δ: ""Στην υψηλή τριχοειδική κολλοειδωσμωτική πίεση και στην υψηλή τριχοειδική υδροστατική πίεση"".",Γ
645,"Γ. ""Οι έσω μεσοπλέυριοι και οι κοιλιακοί μύες""",Γ
652,"Η σωστή απάντηση είναι η Δ: ""Καταγράφεται κατά τη διάρκεια της κοιλιακής σύσπασης"".",Δ
655,"Β. ""Διακυμαίνεται με την αναπνοή""",Β
659,"Δ. ""Αθροιστικά σωληνάρια""",Α
662,"Β. ""Τις φωνητικές χορδές""",Β
668,"Β. ""Μονόστοιβο κροσσωτό επιθήλιο""",Β
669,"Β. ""Φάρυγγα""",Β
671,Η σωστή απάντηση είναι η Β. '15-25 ανά λεπτό'.,Γ
