id,generated_answer,correct_answer
1032ffu,Α,Β
105rtkl,Γ,Δ
105tnbp,Β,Β
1078t7k,Γ,Β
107pfq9,Β,Β
10a7u0e,Γ,Α
10afsy1,Δ,Β
10as5vv,Δ,Γ
10btf6z,Α,Β
10d9jai,Γ,Γ
10e70x8,Γ,Α
10fv1i1,Δ,Δ
10hqm4r,Δ,Α
10kgazd,Γ,Α
10o4t31,Δ,Β
10p80sj,Β,Β
10t7ht3,Β,Β
10ttshn,Α,Α
10v5erp,Β,Β
10vfuw4,Β,Δ
10vx0p8,Α,Δ
10w4mn5,Β,Α
10y1ycb,Δ,Γ
110i7o4,Α,Α
112ethz,Γ,Γ
113qzy8,Β,Β
114se0a,Δ,Δ
115dno5,Β,Β
119mqo5,Γ,Α
11e9mcl,Γ,Γ
11j5xtx,Γ,Γ
11modbe,Β,Α
11pev9z,Β,Α
11pyffg,Γ,Β
11r9k24,Δ,Δ
11rvzjw,Δ,Α
11rxfqn,Α,Α
11vf1kc,Δ,Δ
11ykfnj,Δ,Γ
121vpa7,Γ,Γ
122hozs,Γ,Α
124hxnd,Γ,Α
126fhei,Γ,Β
127e7g7,Γ,Α
127efhg,Β,Δ
129fc0g,Α,Γ
12bduvw,Β,Β
12dirn8,Δ,Β
12eia2i,Δ,Β
12eiol2,Δ,Α
12fce8d,Δ,Α
12jdk4i,Α,Α
12lr5tz,Δ,Γ
12lt31n,Β,Δ
12m142w,Δ,Δ
12navd5,Δ,Α
12qimev,Γ,Δ
12qmgcw,Δ,Γ
12tunnx,Δ,Δ
12uep07,Β,Δ
12v5xrl,Γ,Α
12x8phy,Β,Β
12yi3zq,Δ,Δ
12ypjxw,Δ,Δ
12zxy82,Γ,Γ
131l0as,Β,Α
135kry4,Α,Α
137agjv,Γ,Δ
1382jlq,Α,Γ
13ag4t8,Β,Δ
13awvlk,Γ,Γ
13b3g1f,Δ,Β
13bgljw,Δ,Α
13bxkda,Β,Γ
13crawv,Β,Α
13d1qxg,Δ,Α
13dp15j,Β,Δ
13ds3yo,Δ,Α
13eth9h,Δ,Δ
13i72el,Α,Α
13ia6wd,Δ,Δ
13m26p7,Α,Α
13ma1se,Γ,Γ
13omldq,Δ,Δ
13pf7if,Γ,Γ
13qfj3a,Α,Γ
13qjcex,Α,Γ
13rawlf,Β,Β
13tmvqs,Β,Α
13un4bi,Δ,Β
13uqw3z,Δ,Δ
13wfm8a,Δ,Β
13xb723,Δ,Β
13ylrgw,Δ,Β
13zb1jf,Β,Β
13zozxo,Δ,Δ
1415gvj,Γ,Γ
142snho,Β,Γ
145a6lr,Γ,Γ
145iqnl,Γ,Δ
145yi93,Δ,Γ
14tbg61,Β,Β
14tn34q,Γ,Γ
14uet4v,Γ,Β
14utsaz,Β,Α
14zmsh2,Β,Γ
1520kbq,Δ,Δ
155lhay,Α,Α
15a28nr,Γ,Γ
15a592c,Γ,Γ
15a75pf,Γ,Γ
15bwwns,Δ,Γ
15ed775,Δ,Δ
15enxix,Γ,Γ
15gwsl4,Δ,Δ
15ir5wc,Γ,Γ
15kmbwg,Α,Β
15lzp60,Γ,Γ
15m8hdr,Β,Α
15neehi,Γ,Α
15odjfa,Γ,Γ
15pov8a,Β,Β
15w77kr,Γ,Α
15x0y41,Γ,Γ
15xklsb,Δ,Δ
15zy0fi,Β,Β
1604hry,Β,Δ
160smzs,Δ,Α
1619a16,Δ,Δ
163ifqu,Β,Δ
164f2so,Γ,Γ
164lbd0,Δ,Β
165a7k0,Δ,Δ
1670kyk,Β,Β
168pipz,Α,Γ
169394g,Β,Γ
169y76y,Β,Β
16b06o2,Δ,Α
16boip1,Δ,Β
16dq1jq,Β,Γ
16euf3f,Γ,Γ
16ewuiy,Γ,Γ
16ezi2f,Δ,Γ
16g260d,Δ,Δ
16hlb65,Β,Β
16i4nr3,Δ,Δ
16iao1h,Β,Β
16k30j7,Δ,Γ
16kft46,Γ,Γ
16kkgth,Β,Β
16lncvy,Δ,Α
16lvkve,Δ,Δ
16m6ez9,Β,Β
16nwadw,Γ,Δ
16o3fyn,Γ,Γ
16qqvqq,Δ,Β
16qshsn,Δ,Α
16tp49p,Δ,Δ
16w3b04,Δ,Δ
16zgjif,Γ,Β
16zjuch,Δ,Δ
16zpov5,Δ,Δ
171bynv,Δ,Δ
173o1j1,Γ,Γ
17be3wj,Δ,Α
17cjpko,Β,Β
17je5jh,Β,Α
17njsfl,Δ,Δ
17nqved,Α,Α
17oky3u,Α,Α
17p1q6n,Γ,Α
17p8ywo,Β,Γ
17sq04r,Β,Β
17v3fhq,Δ,Δ
17wuxc5,Β,Β
17xam5v,Δ,Β
17y7pla,Γ,Γ
183vmp0,Δ,Δ
185tos4,Δ,Β
18b91bs,Γ,Β
18bahl7,Β,Β
18bmfuu,Δ,Δ
