id,generated_answer,correct_answer
1Γ-2025-20250527-1-1,"Γ. ""Από τους/τις Έλληνες/ίδες πολίτες και τους/τις Έλληνες/ίδες ομογενείς""",Β
1Γ-2025-20250527-1-2,Γ.,Β
1Γ-2025-20250527-1-3,"Α. ""Αποτελεί έκφραση της ελευθερίας συμμετοχής στην κοινωνική ζωή της Χώρας""",Δ
1Γ-2025-20250527-1-4,"Γ

Η ελευθερία ανάπτυξης της προσωπικότητας, όπως αναφέρεται στο άρθρο 5 παρ. 1 της Σύμβασης για τα Ανθρώπινα Δικαιώματα, εφαρμόζεται από όλους τους πολίτες, όχι μόνο τους Έλληνες. Επομένως, η σωστή απάντηση είναι:

**Γ. ""Μόνο από τους/τις Έλληνες/ίδες και Ευρωπαίους/ες πολίτες""**",Β
1Γ-2025-20250527-1-5,"Α

Η έννοια της ""κατοικίας"" στο άρθρο 9 του Συνταγματικού (προστασία της ιδιοκτησίας) περιλαμβάνει χώρους που ο άνθρωπος ορίζει ως χώρο διαβιώσεως και εργασίας, δηλαδή δεν περιορίζεται μόνο στο διαμένον χώρο αλλά και σε χώρους που χρησιμοποιούνται για εργασία. Επομένως, η σωστή απάντηση είναι:

**Α**",Δ
1Γ-2025-20250527-1-6,"Γ. ""Δεν αναγνωρίζεται στο ελληνικό δίκαιο""",Γ
1Γ-2025-20250527-1-7,"Β. ""Αντικειμενική συνταγματική αρχή""",Β
1Γ-2025-20250527-1-8,"Β. ""Πολιτικό δικαίωμα""",Β
1Γ-2025-20250527-1-9,"Δ. ""Δεν περιορίζεται""",Α
1Γ-2025-20250527-1-10,"Γ. ""Αντισυνταγματικότητας ενός νόμου""",Α
1Γ-2025-20250527-1-11,"Δ. ""Μπορεί να ακυρωθεί μόνο από τα ανώτατα δικαστήρια""",Α
1Γ-2025-20250527-1-12,"Β. ""Θεμελιώδης συνταγματική αρχή""",Β
1Γ-2025-20250527-1-13,"Δ. ""Καμία από τις λοιπές απαντήσεις""",Α
1Γ-2025-20250527-1-14,"Α. ""Εκτός εάν εξυπηρετείται υπέρτερο δημόσιο συμφέρον""",Α
1Γ-2025-20250527-1-15,"Γ

Η σωστή απάντηση είναι: **Γ. ""Ικανότητα εκλέγειν άνω των 21 ετών""**.

Σύμφωνα με το Σύνταγμα της Ελλάδας, οι Έλληνες πολίτες έχουν δικαίωμα να εκλέγονται βουλευτές αν είναι άνω των 21 ετών. Το δικαίωμα του εκλέγεσθαι είναι διαφορετικό από το δικαίωμα του ψηφίσεως, το οποίο απαιτεί ηλικία 17 ετών.",Α
1Γ-2025-20250527-1-16,"Γ

Οι δημόσιοι υπάλληλοι μπορούν να εκφράζουν τις πεποιθήσεις τους υπέρ ή κατά πολιτικού κόμματος **μόνο εκτός της άσκησης των καθηκόντων τους**. Αυτό είναι σύμφωνο με την πολιτική της Ελλάδας, η οποία προστατεύει την πολιτική ελευθερία των δημοσίων υπαλλήλων εκτός της διοργάνωσης των δημοσιογραφικών και διοικητικών δραστηριοτήτων.",Γ
1Γ-2025-20250527-1-17,"Δ. ""Που ανήκουν σε ευάλωτες πληθυσμιακές ομάδες""",Γ
1Γ-2025-20250527-1-18,"Γ

Η αναδρομική κατάργηση του επιδόματος τέκνων των δημοσίων υπαλλήλων προσκρούει στην **αρχή της αμεροληψίας των οργάνων της δημόσιας διοίκησης**. Αυτή η αρχή απαιτεί ότι η διοικητική δραστηριότητα πρέπει να είναι αμερόληπτη, δικαίωμα και υποχρέωση, χωρίς να επηρεάζεται από προσωπικές ή πολιτικές θέσεις. Η αναδρομική κατάργηση μπορεί να θεωρηθεί ως παραβίαση αυτής της αρχής, καθώς μπορεί να επηρεάζει την αμεροληψία της διοικητικής δράσης.",Δ
