id,generated_answer,correct_answer
0,Α,Α
1,Α,Α
2,Δ,Δ
3,Γ,Γ
4,Δ,Δ
5,Β,Α
6,Δ,Δ
7,Β,Η
8,Β,Β
9,Θ,Θ
10,Γ,Ε
11,Γ,Α
12,Δ,Δ
13,Β,Α
14,Δ,Ζ
15,Δ,Β
16,Γ,Ζ
17,Κ,Κ
18,Δ,Ζ
19,Δ,Δ
20,Γ,Γ
21,Δ,Δ
22,Α,Α
23,Α,Β
24,Θ,Θ
25,Β,Β
26,Γ,Ε
27,Γ,Ζ
28,Α,Α
29,Δ,Ζ
30,Β,Δ
31,Β,Ζ
32,Α,Α
33,Β,Γ
34,Α,Γ
35,Ε,Ε
36,Γ,Γ
37,Β,Δ
38,Δ,Δ
39,Γ,Δ
40,Ζ,Ζ
41,Δ,Ε
42,Γ,Ε
43,Ε,Ε
44,Ε,Ζ
45,Β,Β
46,Γ,Γ
47,Γ,Β
48,Α,Α
49,Γ,Γ
50,Γ,Γ
51,Γ,Α
52,Γ,Β
53,Γ,Β
54,Θ,Ζ
55,Β,Γ
56,Δ,Δ
57,Γ,Ε
58,Δ,Δ
59,Β,Γ
60,Δ,Δ
61,Β,Β
62,Β,Γ
63,Ε,Ε
64,Β,Β
65,Γ,Α
66,Δ,Ε
67,Ε,Ε
68,Α,Α
69,Γ,Γ
70,Δ,Δ
71,Γ,Α
72,Β,Ζ
73,Β,Ε
74,Β,Β
75,Γ,Ι
76,Ε,Θ
77,Α,Α
78,Δ,Δ
79,Δ,Δ
80,Ε,Ε
81,Α,Α
82,Δ,Α
83,Γ,Β
84,Γ,Γ
85,Δ,Α
86,Γ,Γ
87,Ε,Β
88,Ι,Ι
89,Α,Α
90,Γ,Β
91,Α,Ζ
92,Β,Δ
93,Δ,Ε
94,Β,Γ
95,Ε,Ε
96,Δ,Δ
97,Β,Δ
98,Β,Α
99,Γ,Δ
100,Γ,Γ
101,Δ,Δ
102,Β,Β
103,Ε,Ε
104,Δ,Δ
105,Δ,Α
106,Β,Γ
107,Α,Β
108,Γ,Γ
109,Β,Β
110,Δ,Δ
111,Δ,Ζ
112,Γ,Γ
113,Α,Α
114,Α,Α
115,Β,Β
116,Δ,Δ
117,Α,Α
118,Γ,Α
119,Α,Α
120,Δ,Γ
121,Α,Α
122,Γ,Γ
123,Β,Β
124,Β,Α
125,Α,Α
126,Β,Β
127,Α,Γ
128,Δ,Ε
129,Β,Α
130,Β,Δ
131,Γ,Γ
132,Α,Γ
133,Ε,Ε
134,Α,Α
135,Δ,Ζ
136,Δ,Γ
137,Α,Α
138,Δ,Δ
139,Γ,Δ
140,Δ,Δ
141,Γ,Α
142,Β,Β
143,Γ,Γ
144,Ζ,Β
145,Α,Γ
146,Α,Α
147,Β,Β
148,Β,Β
149,Δ,Δ
150,Γ,Γ
151,Β,Β
152,Δ,Β
153,Γ,Γ
154,Β,Β
155,Β,Γ
156,Γ,Α
157,Γ,Α
158,Α,Α
159,Α,Α
160,Α,Α
161,Β,Β
162,Δ,Γ
163,Γ,Β
164,Β,Ζ
165,Γ,Β
166,Δ,Δ
167,Α,Α
168,Γ,Δ
169,Ζ,Ζ
170,Β,Γ
171,Δ,Ε
172,Ε,Ε
173,Δ,Δ
174,Γ,Γ
175,Δ,Γ
176,Δ,Α
177,Δ,Δ
178,Β,Β
179,Δ,Δ
180,Γ,Γ
181,Γ,Δ
182,Δ,Δ
183,Β,Α
184,Β,Α
185,Β,Β
186,Β,Β
187,Δ,Δ
188,Δ,Δ
189,Γ,Γ
190,Γ,Β
191,Α,Β
192,Α,Α
193,Β,Ε
194,Β,Β
195,Γ,Δ
196,Β,Δ
197,Δ,Α
198,Α,Α
199,Β,Γ
200,Α,Α
201,Α,Γ
202,Δ,Β
203,Β,Ε
204,Γ,Β
205,Δ,Ε
206,Ζ,Α
207,Γ,Δ
208,Δ,Ε
209,Γ,Β
210,Α,Α
211,Δ,Δ
212,Γ,Β
213,Α,Α
214,Δ,Δ
215,Δ,Δ
216,Δ,Α
217,Α,Α
218,Γ,Β
219,Β,Α
220,Δ,Α
221,Δ,Δ
222,Α,Α
223,Γ,Γ
224,Β,Β
225,Α,Α
226,Β,Β
227,Α,Α
228,Β,Δ
229,Β,Θ
230,Α,Β
231,Γ,Γ
232,Γ,Γ
233,Δ,Δ
234,Γ,Γ
235,Δ,Α
236,Β,Γ
237,Γ,Γ
238,Β,Β
239,Β,Θ
240,Δ,Θ
241,Α,Β
242,Β,Β
243,Γ,Γ
244,Β,Β
245,Δ,Γ
246,Γ,Γ
247,Β,Α
248,Α,Β
249,Δ,Ε
250,Β,Γ
251,Α,Γ
252,Δ,Α
253,Β,Β
254,Β,Α
255,Δ,Α
256,Γ,Γ
257,Β,Ε
258,Ε,Ε
259,Β,Β
260,Δ,Δ
261,Β,Β
262,Β,Γ
263,Β,Α
264,Β,Γ
265,Β,Β
266,Α,Α
267,Γ,Ε
268,Δ,Δ
269,Γ,Γ
270,Δ,Δ
271,Β,Β
272,Γ,Γ
273,Γ,Α
274,Β,Ε
275,Β,Ζ
276,Γ,Η
277,Δ,Ζ
278,Δ,Α
279,Δ,Θ
280,Β,Α
281,Γ,Δ
282,Γ,Ζ
283,Α,Α
284,Β,Β
285,Δ,Γ
286,Δ,Α
287,Γ,Γ
288,Ε,Ε
289,Β,Β
290,Β,Γ
291,Β,Β
292,Α,Β
293,Δ,Δ
294,Β,Δ
295,Δ,Ζ
296,Α,Α
297,Β,Β
298,Β,Β
299,Ε,Ε
300,Α,Α
301,Ζ,Ζ
302,Β,Ε
303,Ζ,Β
304,Α,Α
305,Β,Β
306,Β,Β
307,Γ,Γ
308,Β,Β
309,Α,Α
310,Δ,Δ
311,Δ,Β
312,Γ,Γ
313,Δ,Δ
314,Γ,Β
315,Δ,Α
316,Δ,Δ
317,Β,Β
318,Γ,Γ
319,Α,Γ
320,Γ,Α
321,Β,Γ
322,Γ,Γ
323,Γ,Γ
324,Β,Β
325,Β,Α
326,Α,Α
327,Γ,Α
328,Γ,Α
329,Β,Γ
330,Γ,Γ
331,Δ,Γ
332,Α,Α
333,Δ,Θ
334,Β,Β
335,Β,Δ
336,Δ,Ε
337,Γ,Ζ
338,Γ,Γ
339,Β,Β
340,Β,Β
341,Β,Α
342,Β,Α
343,Α,Α
344,Ε,Ε
345,Α,Δ
346,Ζ,Ζ
347,Α,Α
348,Β,Β
349,Β,Γ
350,Δ,Α
351,Β,Γ
352,Ζ,Α
353,Γ,Δ
354,Γ,Γ
355,Γ,Γ
356,Γ,Γ
357,Δ,Β
358,Γ,Γ
359,Α,Α
360,Α,Α
361,Α,Α
362,Δ,Γ
363,Β,Δ
364,Γ,Ε
365,Α,Α
366,Α,Β
367,Δ,Γ
368,Δ,Β
369,Δ,Γ
370,Δ,Δ
371,Α,Α
372,Β,Β
373,Δ,Β
374,Β,Α
375,Β,Β
376,Δ,Δ
377,Β,Ε
378,Β,Β
379,Γ,Α
380,Γ,Γ
381,Β,Β
382,Γ,Γ
383,Δ,Δ
384,Β,Β
385,Γ,Γ
386,Α,Α
387,Α,Α
388,Β,Α
389,Β,Α
390,Α,Α
391,Β,Δ
392,Β,Β
393,Β,Γ
394,Β,Β
395,Α,Δ
396,Α,Α
397,Δ,Δ
398,Β,Ζ
399,Β,Δ
400,Α,Ε
401,Β,Α
402,Ζ,Ε
403,Δ,Δ
404,Β,Ε
405,Γ,Γ
406,Β,Β
407,Δ,Δ
408,Β,Β
409,Ε,Ε
410,Α,Α
411,Δ,Η
412,Α,Ε
413,Γ,Ε
414,Γ,Γ
415,Γ,Α
416,Β,Β
417,Β,Β
418,Γ,Γ
419,Β,Β
420,Β,Β
421,Γ,Α
422,Β,Α
423,Δ,Δ
424,Δ,Γ
425,Γ,Γ
426,Β,Ε
427,Γ,Γ
428,Β,Δ
429,Β,Β
430,Α,Β
431,Α,Α
432,Γ,Γ
433,Δ,Β
434,Γ,Β
435,Δ,Δ
436,Δ,Β
437,Β,Β
438,Α,Δ
439,Δ,Δ
440,Β,Β
441,Β,Β
442,Γ,Δ
443,Δ,Γ
444,Θ,Θ
445,Ε,Ε
446,Α,Α
447,Γ,Γ
448,Β,Β
449,Δ,Γ
450,Α,Α
451,Γ,Δ
452,Β,Α
453,Γ,Α
454,Δ,Β
455,Α,Δ
456,Β,Β
457,Ε,Α
458,Δ,Δ
459,Δ,Γ
460,Α,Α
461,Α,Β
462,Γ,Γ
463,Α,Α
464,Γ,Γ
465,Γ,Α
466,Γ,Γ
467,Β,Β
468,Γ,Γ
469,Γ,Ε
470,Β,Ε
471,Β,Δ
472,Β,Δ
473,Δ,Δ
474,Γ,Γ
475,Α,Ε
476,Γ,Γ
477,Α,Α
478,Β,Β
479,Β,Β
480,Ε,Γ
481,Α,Α
482,Δ,Η
483,Γ,Ζ
484,Β,Β
485,Γ,Ε
486,Α,Α
487,Α,Α
488,Δ,Γ
489,Β,Β
490,Ε,Β
491,Δ,Δ
492,Β,Ε
493,Δ,Β
494,Α,Ε
495,Ε,Ε
496,Θ,Θ
497,Δ,Β
498,Θ,Θ
499,Β,Δ
500,Γ,Β
501,Γ,Γ
502,Β,Β
503,Δ,Ι
504,Β,Γ
