id,generated_answer,correct_answer
1032ffu,Β,Β
105rtkl,Γ,Δ
105tnbp,Α,Β
1078t7k,Γ,Β
107pfq9,Β,Β
10a7u0e,Γ,Α
10afsy1,Δ,Β
10as5vv,Γ,Γ
10btf6z,Β,Β
10d9jai,Β,Γ
10e70x8,Η σωστή απάντηση είναι η **Γ**.,Α
10fv1i1,Δ,Δ
10hqm4r,Α,Α
10kgazd,Α,Α
10o4t31,Β,Β
10p80sj,Α,Β
10t7ht3,Α,Β
10ttshn,Α,Α
10v5erp,Δ,Β
10vfuw4,Α,Δ
10vx0p8,Δ,Δ
10w4mn5,Γ,Α
10y1ycb,Δ,Γ
110i7o4,Α,Α
112ethz,Γ,Γ
113qzy8,Β,Β
114se0a,Α,Δ
115dno5,Β,Β
119mqo5,Α,Α
11e9mcl,Β,Γ
11j5xtx,Δ,Γ
11modbe,Β,Α
11pev9z,Α,Α
11pyffg,Γ,Β
11r9k24,Α,Δ
11rvzjw,Α,Α
11rxfqn,Α,Α
11vf1kc,Δ,Δ
11ykfnj,Α,Γ
121vpa7,Γ,Γ
122hozs,Α,Α
124hxnd,Β,Α
126fhei,Β,Β
127e7g7,Γ,Α
127efhg,Β,Δ
129fc0g,Β,Γ
12bduvw,Α,Β
12dirn8,Δ,Β
12eia2i,Β,Β
12eiol2,Α,Α
12fce8d,Δ,Α
12jdk4i,Α,Α
12lr5tz,Γ,Γ
12lt31n,Δ,Δ
12m142w,Δ,Δ
12navd5,Α,Α
12qimev,Γ,Δ
12qmgcw,Β,Γ
12tunnx,Β,Δ
12uep07,Γ,Δ
12v5xrl,Α,Α
12x8phy,Β,Β
12yi3zq,Δ,Δ
12ypjxw,Δ,Δ
12zxy82,Γ,Γ
131l0as,Η σωστή απάντηση είναι η **Α**.,Α
135kry4,Α,Α
137agjv,Γ,Δ
1382jlq,Α,Γ
13ag4t8,Γ,Δ
13awvlk,Γ,Γ
13b3g1f,Δ,Β
13bgljw,Α,Α
13bxkda,Α,Γ
13crawv,Α,Α
13d1qxg,Δ,Α
13dp15j,Β,Δ
13ds3yo,Α,Α
13eth9h,Δ,Δ
13i72el,Α,Α
13ia6wd,Δ,Δ
13m26p7,Β,Α
